	SAMPLE_100008_1	SAMPLE_100008_2	SAMPLE_100008_3	SAMPLE_100137_1	SAMPLE_100137_2	SAMPLE_100137_3	SAMPLE_100177_1	SAMPLE_100177_2	SAMPLE_100177_3	SAMPLE_100200_2	SAMPLE_100200_3	SAMPLE_100206_1	SAMPLE_100206_2	SAMPLE_100206_3	SAMPLE_100217_1	SAMPLE_100217_2	SAMPLE_100217_3	SAMPLE_100248_1	SAMPLE_100248_2	SAMPLE_100248_3	SAMPLE_100255_1	SAMPLE_100255_2	SAMPLE_100255_3	SAMPLE_100256_1	SAMPLE_100256_2	SAMPLE_100256_3	SAMPLE_100257_1	SAMPLE_100257_2	SAMPLE_100257_3	SAMPLE_100261_1	SAMPLE_100261_2	SAMPLE_100261_3	SAMPLE_100267_1	SAMPLE_100267_2	SAMPLE_100267_3	SAMPLE_100306_1	SAMPLE_100306_2	SAMPLE_100306_3	SAMPLE_100337_1	SAMPLE_100337_2	SAMPLE_100337_3	SAMPLE_NTC_1	SAMPLE_NTC_2	SAMPLE_NTC_3	SAMPLE_NTC_4	SAMPLE_NTC_5	SAMPLE_NTC_6	SAMPLE_NTC_7	SAMPLE_NTC_8	SAMPLE_water1_1	SAMPLE_water2_1	SAMPLE_water3_1	SAMPLE_water4_1	SAMPLE_water5_1	SAMPLE_water6_1
Candidatus Hikarchaeia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	5.0	0.0	1.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0
Methanonatronarchaeia	3.0	5.0	0.0	0.0	0.0	1.0	0.5	0.0	0.0	0.0	6.0	0.5	0.0	9.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.5	0.0	0.0	1.0	9.0	0.0	0.0	0.0	8.0	3.0	0.0	10.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	0.0
Thermoprotei	17377.0	29970.0	194534.5	6823.5	21477.5	269203.5	101640.5	11567.5	240504.0	26589.0	207680.5	207521.5	1200.0	82862.5	22344.5	17607.0	69211.0	88886.0	185158.5	89758.0	61931.5	918.0	100599.0	69589.0	762.5	163629.5	44613.5	67796.0	226238.0	99911.0	135831.5	880544.5	11755.0	250697.0	166576.0	209078.5	106705.5	261396.0	261678.5	335462.0	361935.0	393.5	470.5	492.0	461.0	696.5	660.0	882.0	739.5	93555.5	170892.5	608.0	172365.0	91680.0	257177.0
Methanobacteria	1677.5	3883.0	19349.5	662.0	7822.0	29896.5	9106.5	704.5	15366.0	3009.5	32590.5	16280.5	164.0	15559.0	2535.5	2009.0	7775.5	16061.5	19250.5	9612.5	7656.5	109.0	11353.0	7072.0	98.0	20228.5	5243.5	5254.5	19227.0	6345.5	5175.5	23843.0	1976.5	17215.0	22341.5	28684.0	12126.0	28520.5	37684.5	36103.0	69700.5	54.5	80.0	54.0	86.5	106.0	71.0	112.0	126.0	5410.5	18784.5	95.0	8185.5	7024.5	120893.5
Methanococci	6261.0	10364.0	54097.0	2568.5	8261.5	59007.0	33469.0	4358.5	51820.5	6957.0	63520.0	63853.0	412.0	18911.0	10040.0	8179.0	28090.5	21529.0	55312.0	25888.0	20405.5	252.5	41033.0	20717.0	224.0	62260.0	18725.0	23389.5	80449.0	26902.5	18553.5	52620.0	2423.5	44896.5	26155.0	51835.5	26022.5	70682.5	57796.0	94342.0	120541.5	133.5	185.5	131.5	130.5	215.0	177.5	236.5	230.0	26187.0	36553.0	223.5	55436.5	21456.0	209665.0
Halobacteria	7275.0	13270.5	65217.5	2890.0	11467.0	86207.0	36125.5	6436.5	54130.0	9501.5	84887.5	58784.0	408.5	35822.5	7665.0	6851.0	23857.5	37228.0	74018.5	30659.5	20182.0	282.5	39265.5	22774.0	298.5	84233.5	19970.0	22098.5	65108.0	21450.5	18878.0	56593.5	4407.0	47294.5	45423.5	69464.5	30287.5	76152.5	63759.5	123690.0	154168.5	161.5	168.5	162.5	158.5	298.5	225.0	312.5	298.5	33766.0	52244.0	192.0	50882.0	23834.0	119059.5
Thermoplasmata	1068.5	1850.0	10255.5	307.0	880.0	15202.5	6914.0	835.5	8541.5	1243.0	13459.5	11595.0	53.0	5771.0	991.5	1276.0	3667.5	5743.5	11252.0	4451.5	2889.0	37.0	6019.0	3775.0	24.0	11484.5	2731.5	2705.0	11850.5	6605.5	2564.0	12658.5	857.0	8374.5	8091.5	9221.0	4757.0	12416.5	9722.0	16393.0	21304.5	23.5	17.5	29.5	31.5	41.5	31.0	47.5	49.0	2828.5	9061.5	38.0	8331.5	3662.0	15387.0
Thermococci	726.0	1121.5	7447.0	309.0	1035.0	9893.0	4853.0	590.0	8800.0	889.0	9617.5	8020.0	49.5	3049.0	885.0	688.0	3187.0	3334.0	6583.5	3481.5	2641.5	21.0	5181.0	2671.5	26.0	7524.0	1998.0	2481.0	7474.0	3897.0	2822.5	5886.5	518.5	6200.5	4082.0	7769.0	3443.5	8213.5	7061.5	13576.5	23377.0	27.0	26.5	28.0	27.5	36.0	31.5	43.5	36.0	3055.0	6577.0	36.0	5899.0	2697.5	19417.5
Archaeoglobi	581.0	1570.5	6825.0	266.5	1178.0	11111.5	3086.5	465.5	4354.5	1035.0	10179.5	5592.0	85.5	5252.5	618.5	738.5	2354.0	5155.5	6805.5	4267.0	4422.0	24.0	4268.5	2491.5	37.5	6287.0	1857.5	2347.0	6701.5	2138.5	2256.5	7468.0	683.0	5715.0	5505.0	7016.5	3888.0	9223.5	7943.5	14086.0	12595.0	28.5	31.5	18.0	18.0	28.0	35.5	20.0	30.0	2061.5	7364.5	37.0	2710.0	2265.5	67385.0
Methanopyri	580.5	1113.0	4740.5	180.5	703.0	7718.5	2380.0	328.5	6564.0	569.0	6571.5	3973.5	29.0	8520.0	498.0	477.0	2520.0	3617.5	5854.0	2719.5	3710.5	29.0	3284.5	2200.0	19.0	3982.5	1166.0	1177.5	8189.5	1995.0	1598.0	7251.5	350.0	3706.0	3184.0	5659.0	2612.0	6353.5	4662.0	10292.5	6619.5	12.5	12.5	10.0	12.0	21.5	12.0	28.0	21.0	2672.0	4512.5	15.0	7330.5	2240.5	7189.0
Methanomicrobia	14661.0	12058.0	80020.0	5207.0	11489.0	81716.5	35418.5	8126.5	74997.5	9039.0	126309.0	74779.5	383.0	39023.5	9719.5	9858.0	44849.5	35369.5	85488.5	38284.5	40389.5	319.5	85863.0	28962.0	362.0	83507.0	80440.0	37783.5	105203.0	20168.5	28547.5	87592.5	4087.0	55179.0	38655.5	77931.0	37330.0	82411.5	55890.0	144664.0	214177.5	114.5	150.0	255.0	235.0	342.0	271.5	350.0	382.0	32218.5	47432.0	200.0	42251.0	28322.5	115681.0
Candidatus Nanohaloarchaea	15.5	9.0	25.0	0.0	5.0	84.0	33.5	1.5	10.0	7.0	65.5	30.5	1.0	29.0	18.0	1.5	28.0	33.0	12.0	23.5	78.0	0.0	36.5	11.5	0.0	40.0	5.0	23.5	44.5	17.0	31.5	62.5	10.0	26.0	40.0	33.0	29.0	60.5	48.0	73.0	172.5	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	27.5	44.5	0.0	25.0	1.5	16.5
Nitrososphaeria	4571.0	9811.0	56882.0	1971.0	9938.0	75223.0	25789.5	2003.0	41243.5	6842.0	74320.0	40265.0	351.0	33881.5	5252.0	5235.5	19521.5	34879.5	48843.5	27686.0	20740.0	279.5	31612.0	19217.0	224.0	43757.0	12712.5	17661.5	55347.0	21483.5	15644.0	55295.5	4589.5	50579.0	40088.0	53282.5	31141.5	70359.5	56712.5	102782.0	90353.5	110.5	147.0	136.5	123.5	206.5	164.0	209.0	216.5	13738.0	44854.0	180.5	53312.0	19759.5	111230.5
Theionarchaea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Poseidoniia	101.0	77.5	753.5	36.5	73.5	596.0	519.5	146.0	734.5	74.5	540.0	1236.5	3.5	244.5	184.5	59.5	300.0	363.5	665.0	407.5	271.0	3.0	310.0	349.0	2.5	899.5	139.5	290.5	874.5	944.5	215.5	463.5	17.0	614.0	271.0	612.0	407.5	618.5	397.5	1697.5	1461.0	1.5	2.5	2.0	1.0	4.0	1.5	4.5	2.0	970.5	383.0	4.5	759.0	182.5	2579.0
