	SAMPLE_100008_1	SAMPLE_100008_2	SAMPLE_100008_3	SAMPLE_100137_1	SAMPLE_100137_2	SAMPLE_100137_3	SAMPLE_100177_1	SAMPLE_100177_2	SAMPLE_100177_3	SAMPLE_100200_2	SAMPLE_100200_3	SAMPLE_100206_1	SAMPLE_100206_2	SAMPLE_100206_3	SAMPLE_100217_1	SAMPLE_100217_2	SAMPLE_100217_3	SAMPLE_100248_1	SAMPLE_100248_2	SAMPLE_100248_3	SAMPLE_100255_1	SAMPLE_100255_2	SAMPLE_100255_3	SAMPLE_100256_1	SAMPLE_100256_2	SAMPLE_100256_3	SAMPLE_100257_1	SAMPLE_100257_2	SAMPLE_100257_3	SAMPLE_100261_1	SAMPLE_100261_2	SAMPLE_100261_3	SAMPLE_100267_1	SAMPLE_100267_2	SAMPLE_100267_3	SAMPLE_100306_1	SAMPLE_100306_2	SAMPLE_100306_3	SAMPLE_100337_1	SAMPLE_100337_2	SAMPLE_100337_3	SAMPLE_NTC_1	SAMPLE_NTC_2	SAMPLE_NTC_3	SAMPLE_NTC_4	SAMPLE_NTC_5	SAMPLE_NTC_6	SAMPLE_NTC_7	SAMPLE_NTC_8	SAMPLE_water1_1	SAMPLE_water2_1	SAMPLE_water3_1	SAMPLE_water4_1	SAMPLE_water5_1	SAMPLE_water6_1
Methanobacterium	33.0	124.0	528.0	31.5	82.5	1042.0	327.5	9.5	653.0	72.0	1197.5	339.5	3.5	463.0	25.0	116.0	213.0	509.0	469.0	274.5	242.5	4.0	316.0	148.0	3.5	1233.5	203.0	201.0	539.5	174.5	171.5	826.5	35.0	418.0	583.5	802.5	323.0	854.5	640.0	1172.5	943.0	2.0	2.0	0.0	3.0	4.0	4.0	5.0	2.5	152.5	832.0	4.5	177.0	205.5	261.0
Methanobrevibacter	423.5	745.0	4897.5	151.5	2825.5	6277.5	2196.5	151.0	3441.0	661.0	6361.5	5593.0	20.5	3154.0	1107.0	405.0	2124.5	3479.0	3680.0	2121.5	2257.5	19.5	1980.5	1707.5	21.0	4298.5	1245.0	1021.5	5366.0	1379.5	1364.5	5331.0	376.0	4383.0	3889.5	4217.5	2336.5	6820.0	5389.5	8107.5	10897.5	8.5	12.5	12.5	15.5	21.0	12.0	19.5	20.5	871.5	3687.5	15.0	2006.0	1521.5	3025.5
Methanohalophilus	1.0	8.0	64.0	1.0	6.0	65.0	26.0	23.5	44.0	3.0	54.0	20.0	0.0	7.0	2.0	2.0	40.5	58.5	15.0	33.5	11.5	0.0	44.0	17.0	0.0	80.0	11.0	19.0	11.0	7.0	81.5	20.0	1.0	118.5	32.0	24.5	10.0	52.0	40.0	286.5	48.5	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	14.0	15.5	0.0	29.0	19.0	73.5
Methanothermus	2.0	7.0	23.5	2.0	5.0	55.0	25.5	1.0	4.5	13.0	69.0	21.0	0.0	23.0	0.0	2.0	22.0	45.0	21.5	15.0	11.0	1.0	30.0	9.0	0.0	40.5	8.5	0.0	19.0	248.0	2.0	40.0	1.0	27.0	32.5	30.0	25.0	81.0	53.5	23.5	180.5	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	27.0	0.0	0.0	1.0	0.0
Methanococcus	728.5	1122.5	6966.5	240.0	964.0	7965.5	4661.0	753.5	7364.0	889.5	8256.0	9136.5	52.5	2277.0	1375.5	1303.0	4046.5	2586.0	6914.0	3067.5	2370.5	22.0	4830.0	2746.0	32.0	8921.5	1922.0	3320.5	11015.5	4990.5	2361.5	8752.0	303.5	5723.0	3503.0	7153.5	3100.0	8898.5	7730.0	11633.0	14521.0	15.0	17.5	17.0	15.5	22.0	32.0	31.0	24.0	4438.0	4724.0	22.5	9691.5	3274.5	19035.0
Methanocorpusculum	17.0	65.0	233.0	26.5	25.0	285.0	178.0	10.5	102.5	30.0	248.0	741.5	1.0	122.5	4.5	8.5	57.0	128.0	216.0	137.5	84.0	0.0	126.0	63.0	1.0	158.0	70.5	94.5	178.0	20.5	51.0	234.5	12.5	179.0	222.0	183.0	251.5	230.5	142.0	410.0	411.5	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	15.5	191.0	0.0	20.0	46.0	30.5
Methanogenium	4.0	3.5	34.0	3.0	5.5	47.0	21.0	0.0	94.0	3.0	106.0	16.0	0.0	45.5	0.0	6.0	10.0	48.0	83.0	40.0	0.0	0.0	21.0	8.0	0.0	14.5	12.0	64.5	13.0	0.5	4.0	21.0	1.0	61.5	43.0	52.5	26.0	64.5	52.5	29.0	160.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.5	2.0	0.0	10.0	10.0	0.0
Methanospirillum	0.0	12.5	94.0	4.0	2.0	53.5	27.0	11.5	35.0	7.5	107.0	66.5	0.0	71.0	2.0	5.0	16.0	54.0	122.0	34.0	14.0	0.0	21.0	17.5	1.0	232.5	10.0	19.0	61.0	33.5	2.0	53.0	12.0	36.0	83.5	37.0	36.0	46.5	21.5	112.5	43.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	73.0	0.0	4.0	26.0	29.5
Methanomicrobium	0.0	11.0	3.0	1.0	4.0	23.0	4.0	0.0	2.0	2.5	11.0	54.0	0.0	11.0	0.0	0.0	0.0	5.0	16.5	16.0	11.0	0.5	1.0	3.5	0.0	0.0	27.0	3.0	61.5	0.0	0.0	21.5	10.0	13.5	6.0	0.0	1.0	6.0	0.0	8.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	12.0	0.0	16.5	0.0	0.0
Methanosarcina	992.5	1781.5	8961.0	273.0	1447.5	13288.5	6234.0	884.0	6670.0	1359.0	12587.5	16916.0	44.0	5531.5	985.0	683.0	3267.5	5245.5	9948.5	5146.0	2763.5	35.5	6232.0	3405.5	35.0	8702.0	2049.0	2243.5	8904.0	4603.5	2488.0	12556.0	411.0	6039.5	5653.0	18591.5	4132.0	9890.5	8092.0	18884.5	14378.0	13.5	23.0	28.0	26.0	30.5	36.5	28.5	39.5	2813.0	8765.5	34.5	4513.0	3126.5	13103.5
