	SAMPLE_100008_1	SAMPLE_100008_2	SAMPLE_100008_3	SAMPLE_100137_1	SAMPLE_100137_2	SAMPLE_100137_3	SAMPLE_100177_1	SAMPLE_100177_2	SAMPLE_100177_3	SAMPLE_100200_2	SAMPLE_100200_3	SAMPLE_100206_1	SAMPLE_100206_2	SAMPLE_100206_3	SAMPLE_100217_1	SAMPLE_100217_2	SAMPLE_100217_3	SAMPLE_100248_1	SAMPLE_100248_2	SAMPLE_100248_3	SAMPLE_100255_1	SAMPLE_100255_2	SAMPLE_100255_3	SAMPLE_100256_1	SAMPLE_100256_2	SAMPLE_100256_3	SAMPLE_100257_1	SAMPLE_100257_2	SAMPLE_100257_3	SAMPLE_100261_1	SAMPLE_100261_2	SAMPLE_100261_3	SAMPLE_100267_1	SAMPLE_100267_2	SAMPLE_100267_3	SAMPLE_100306_1	SAMPLE_100306_2	SAMPLE_100306_3	SAMPLE_100337_1	SAMPLE_100337_2	SAMPLE_100337_3	SAMPLE_NTC_1	SAMPLE_NTC_2	SAMPLE_NTC_3	SAMPLE_NTC_4	SAMPLE_NTC_5	SAMPLE_NTC_6	SAMPLE_NTC_7	SAMPLE_NTC_8	SAMPLE_water1_1	SAMPLE_water2_1	SAMPLE_water3_1	SAMPLE_water4_1	SAMPLE_water5_1	SAMPLE_water6_1
Myxococcaceae	199.0	699.0	1834.0	108.5	341.0	5606.0	1304.5	188.5	1687.0	370.0	9224.5	1615.0	15.5	1685.5	157.0	295.5	1389.0	1695.0	2534.5	1072.0	953.5	12.0	1351.5	901.0	15.5	1897.0	627.0	1185.5	5671.0	487.5	1102.0	2178.5	211.0	1739.5	1611.5	2078.5	1010.0	4054.0	2451.0	4530.0	4927.0	1.5	6.5	8.0	6.0	8.5	7.0	9.5	8.5	661.5	1924.5	7.0	1134.0	1008.5	3140.5
Archangiaceae	128.0	444.5	1502.0	61.5	438.0	3478.5	1391.0	71.0	1364.5	373.0	6471.5	2349.5	10.5	1687.5	155.5	369.0	1036.5	1474.0	2267.5	767.5	822.0	16.5	1107.0	768.5	15.0	2351.0	732.0	1274.0	1842.0	500.5	1516.0	2225.5	132.0	1440.0	1523.5	1834.5	941.5	4513.5	2439.5	5542.0	3705.5	4.0	6.5	11.0	3.5	8.5	7.0	4.0	11.0	675.5	1979.0	1.0	764.0	924.5	2950.5
Polyangiaceae	608.5	1392.0	6780.5	634.5	3954.5	12685.0	3076.0	155.5	6364.5	1005.0	10866.0	4019.5	32.5	6301.5	698.0	562.5	2536.5	6441.0	7221.5	3534.0	4744.5	37.5	4185.0	3471.0	37.0	8322.5	1835.5	2414.0	7726.0	2485.5	1820.0	8846.5	613.5	6723.5	6689.5	7488.5	3999.0	13097.5	8552.0	17725.0	14005.5	12.5	16.0	19.0	23.5	28.0	24.0	43.5	38.5	1824.5	8560.5	11.5	2902.0	2890.5	5228.0
Planctomycetaceae	1385.5	3917.5	22213.5	703.5	2005.0	35094.5	9150.5	582.5	11879.0	2919.5	32695.5	10116.5	87.5	18335.0	917.5	1156.0	6335.0	18659.5	12668.0	8248.5	6479.0	93.5	9518.5	7699.0	89.0	16331.5	3924.0	5406.5	16493.0	6423.5	16053.5	29061.0	2247.5	17736.0	21559.5	20846.0	12822.5	25584.5	20878.5	44018.5	26832.0	19.5	23.0	60.0	48.0	67.0	64.0	80.0	77.5	2334.5	16154.5	31.5	3843.5	4792.5	10055.5
Spirochaetaceae	135.0	431.0	2077.0	87.0	289.5	3891.5	838.0	51.5	1515.5	258.0	3873.0	929.5	10.5	2187.5	94.5	85.0	688.0	1962.0	1984.0	1553.0	604.5	10.5	974.0	660.0	9.0	1640.5	345.5	475.0	1356.0	691.0	452.0	2649.5	278.0	1749.0	2013.0	2125.0	1241.0	2753.5	1901.5	3507.5	2716.0	1.0	5.5	12.5	7.5	6.0	8.0	11.5	8.5	503.0	2062.5	5.5	745.5	812.5	962.5
Leptospiraceae	426.5	785.5	4620.0	164.5	578.5	6978.5	1609.5	111.5	3777.5	570.5	5179.0	2797.5	16.0	3112.5	206.5	216.0	1137.5	2993.5	3167.5	1730.0	1178.5	18.5	1994.0	1530.0	22.0	2349.5	831.0	1176.5	3960.0	2039.0	1990.0	5334.0	414.5	3171.0	3783.5	5242.5	2167.0	8571.5	3958.5	7783.5	5150.0	8.0	7.0	10.0	9.0	18.0	16.0	8.5	11.5	1083.0	3970.5	7.5	1684.5	1383.5	2663.0
Methylococcaceae	232.0	492.5	2388.0	126.0	480.5	3925.5	1277.5	80.5	1572.0	377.5	4008.0	1342.5	16.0	1917.5	235.5	165.5	1337.0	2124.5	4029.0	1318.0	737.0	11.5	1501.0	1013.0	11.5	2086.5	841.0	779.0	2949.5	821.5	979.0	3105.5	284.0	1839.5	2221.0	2277.0	1307.0	3436.0	3230.5	4456.5	4307.0	8.0	8.0	8.5	6.0	7.0	7.0	10.0	7.5	632.5	2723.5	9.0	859.0	1007.5	1805.5
Acetobacteraceae	1150.5	2934.5	16990.0	607.5	1415.0	20790.5	6304.0	623.0	8796.0	1936.5	20686.0	9198.0	77.0	11908.0	888.5	1996.5	4498.0	10472.0	13621.0	7507.5	3775.0	66.5	6684.0	4227.0	58.0	11069.5	3086.0	3199.0	12173.0	4095.0	8041.5	15608.5	1622.5	11989.0	11519.0	13425.0	8763.5	16846.0	12977.0	21766.5	17303.5	13.5	32.5	28.5	35.5	47.5	41.5	38.0	37.0	2478.0	13045.5	21.5	6704.5	4605.5	12638.0
Legionellaceae	1396.5	3007.0	13159.5	785.5	1928.0	25163.5	4135.5	344.0	11351.0	2814.5	29935.0	9017.5	75.5	9244.5	1374.5	1059.0	5998.5	11622.0	8656.0	9356.5	6316.0	69.0	8656.0	5681.5	84.0	14710.0	3126.5	6411.5	16919.0	10143.5	5277.0	15635.5	1098.5	17024.0	11890.0	15519.0	11227.0	19463.5	16813.0	41299.0	35453.0	21.0	20.0	52.0	41.0	66.5	59.0	109.5	90.0	3156.0	12977.5	41.5	5744.5	4865.0	12577.5
Moraxellaceae	21849.5	39853.0	278529.5	7464.5	18883.5	346556.0	193140.5	9471.0	336079.0	22749.5	286624.0	513532.0	1689.0	99631.0	58436.0	72451.5	79090.5	90823.0	291241.5	101156.0	56002.0	1007.5	162845.0	94277.5	906.5	203374.5	62899.5	209545.5	234970.5	85006.5	52564.5	146545.5	10488.0	174188.0	113120.5	304821.0	98665.0	332764.0	296232.5	318608.5	381404.0	477.0	566.0	438.5	506.5	675.0	629.0	812.0	771.0	88511.5	259507.5	720.5	147825.0	99584.5	527965.0
