	SAMPLE_100008_1	SAMPLE_100008_2	SAMPLE_100008_3	SAMPLE_100137_1	SAMPLE_100137_2	SAMPLE_100137_3	SAMPLE_100177_1	SAMPLE_100177_2	SAMPLE_100177_3	SAMPLE_100200_2	SAMPLE_100200_3	SAMPLE_100206_1	SAMPLE_100206_2	SAMPLE_100206_3	SAMPLE_100217_1	SAMPLE_100217_2	SAMPLE_100217_3	SAMPLE_100248_1	SAMPLE_100248_2	SAMPLE_100248_3	SAMPLE_100255_1	SAMPLE_100255_2	SAMPLE_100255_3	SAMPLE_100256_1	SAMPLE_100256_2	SAMPLE_100256_3	SAMPLE_100257_1	SAMPLE_100257_2	SAMPLE_100257_3	SAMPLE_100261_1	SAMPLE_100261_2	SAMPLE_100261_3	SAMPLE_100267_1	SAMPLE_100267_2	SAMPLE_100267_3	SAMPLE_100306_1	SAMPLE_100306_2	SAMPLE_100306_3	SAMPLE_100337_1	SAMPLE_100337_2	SAMPLE_100337_3	SAMPLE_NTC_1	SAMPLE_NTC_2	SAMPLE_NTC_3	SAMPLE_NTC_4	SAMPLE_NTC_5	SAMPLE_NTC_6	SAMPLE_NTC_7	SAMPLE_NTC_8	SAMPLE_water1_1	SAMPLE_water2_1	SAMPLE_water3_1	SAMPLE_water4_1	SAMPLE_water5_1	SAMPLE_water6_1
Azorhizobium	222.0	540.5	3114.5	130.5	265.0	3874.0	984.5	99.0	2649.5	430.0	6357.0	1417.0	24.5	2415.5	315.5	198.5	839.0	2532.5	2517.0	1541.0	824.0	8.5	1323.0	867.5	18.5	2204.0	632.5	784.0	2247.5	877.0	655.0	3267.0	209.0	2169.0	2500.5	3091.5	1807.0	3816.5	3347.0	6381.0	3560.0	6.5	6.0	9.5	5.0	11.0	13.0	13.0	11.0	439.5	2637.5	10.5	1098.0	666.5	1794.5
Cellvibrio	4716.0	5658.0	22869.5	767.0	2794.5	45625.5	8244.5	499.0	21834.0	3207.5	70158.5	13447.0	139.5	20596.0	6656.0	1694.5	7748.5	25650.0	28048.0	22129.0	8818.0	159.0	15339.5	8848.5	104.5	18953.5	5580.5	8546.0	24919.5	6107.0	5530.5	28456.0	2749.5	19397.0	20975.5	21542.5	12471.0	29815.0	24060.5	46834.0	38715.5	50.0	59.5	72.5	81.5	93.5	72.5	119.5	94.0	4673.5	36018.0	67.5	7301.0	9308.0	15676.5
Dictyoglomus	43.0	167.0	712.0	18.0	80.5	1293.5	360.0	16.0	578.0	76.5	1143.0	275.0	3.0	705.5	25.0	16.5	156.5	638.5	1037.0	230.0	130.5	1.0	376.0	183.5	2.0	325.0	143.0	137.0	274.5	331.0	112.0	1054.5	95.5	663.0	881.5	786.0	360.0	833.5	689.0	1169.0	1724.5	2.0	2.5	2.0	3.0	3.0	3.0	3.0	3.0	90.0	716.5	1.0	94.5	307.0	146.0
Methylophilus	777.5	2174.0	9349.0	369.5	1093.5	14166.0	3909.0	197.5	7098.0	1532.0	18181.0	4679.5	55.0	8717.0	440.0	499.0	3417.0	9650.0	8432.5	4805.5	2584.5	46.5	6930.0	3875.5	51.5	7800.0	2516.0	2659.5	8138.5	3020.0	2113.0	11652.5	823.5	8180.0	8129.5	10307.5	5293.0	15694.5	11549.0	23603.0	23086.0	11.0	12.0	26.0	29.0	34.5	44.5	66.0	46.0	1555.5	11241.0	31.0	2887.5	3419.5	4548.0
Pelobacter	28.0	109.5	300.5	24.0	59.0	694.5	205.5	12.0	288.5	69.0	712.0	280.5	2.5	469.0	17.5	29.5	148.0	500.0	303.5	283.0	215.0	3.0	193.5	172.5	4.0	534.5	88.0	149.5	330.5	127.5	122.5	499.0	57.5	361.5	430.5	617.5	313.0	638.0	524.0	845.0	1114.5	0.0	1.0	1.0	1.0	0.0	1.5	0.0	3.0	92.5	545.0	0.0	154.0	100.5	189.0
Phenylobacterium	768.5	2241.0	11998.0	406.0	1258.5	15653.5	4677.0	551.0	7986.5	1304.0	15760.0	5463.5	50.0	8608.0	1204.5	716.5	3401.0	7478.0	13723.0	4322.0	3006.0	62.0	6064.0	3586.5	34.5	7735.5	2225.5	2414.0	9034.0	2423.5	2125.5	11125.0	1636.0	9795.0	8318.5	9881.5	5338.0	14953.5	10234.0	18226.0	14760.0	22.0	20.5	21.0	19.5	35.0	39.0	33.5	35.0	1737.5	9485.5	20.0	5772.5	3503.5	6917.5
Shewanella	638.5	1267.0	8895.5	416.5	663.5	9745.5	9662.5	563.0	5244.0	790.0	9879.0	43935.5	61.5	4173.0	2440.0	5073.0	2343.0	3719.5	11136.5	3489.0	1911.0	38.0	3194.5	1899.5	28.0	4430.5	2232.0	2831.0	6081.0	1398.0	1717.0	8116.0	506.0	5226.5	4793.0	4343.0	2279.5	8273.0	4843.0	9530.0	18791.0	12.5	11.0	14.5	19.5	37.0	25.0	33.0	35.0	1131.0	7562.0	16.5	3443.0	2147.5	3973.5
Myxococcus	127.0	531.5	1129.5	78.0	245.0	3647.5	890.0	121.5	967.5	247.5	6100.0	1108.5	6.0	1116.5	106.0	206.0	912.5	1130.5	1765.5	791.0	489.5	9.0	896.0	625.5	12.0	1248.5	405.0	788.0	3667.5	350.0	583.5	1424.0	163.0	1016.0	1078.5	1343.0	622.0	2687.0	1446.0	2764.0	3176.5	1.5	4.5	5.0	3.0	6.5	5.0	5.0	6.5	393.0	1289.5	4.0	527.5	635.5	1939.0
Stigmatella	54.0	201.5	778.5	29.0	354.5	1792.5	676.0	33.5	565.0	196.5	3436.5	648.0	3.5	898.5	78.5	254.0	489.0	756.0	1165.0	441.5	495.0	12.5	591.5	400.0	8.5	1190.0	274.0	754.5	1084.0	372.5	774.0	1361.5	78.0	702.5	838.0	992.0	604.0	2729.0	1414.5	2207.0	1575.5	1.0	4.0	4.5	3.0	7.5	3.0	3.0	4.5	356.0	1078.5	0.0	354.0	474.5	1461.5
Cystobacter	27.0	67.0	187.0	9.5	31.5	560.0	149.5	10.5	202.0	41.5	861.0	591.5	1.0	302.5	17.5	17.0	164.0	246.5	353.5	71.0	75.5	3.0	103.0	137.5	3.0	225.0	76.0	183.5	176.5	42.0	151.0	347.0	35.0	254.5	232.0	317.0	105.5	677.5	202.5	753.0	535.0	2.0	0.0	3.0	0.5	0.0	0.0	0.0	2.0	141.0	239.5	0.0	130.5	90.0	211.5
Melittangium	8.5	28.5	233.5	8.0	11.5	221.0	170.5	4.0	216.5	29.5	544.5	708.5	2.0	147.0	14.5	40.0	103.5	66.0	199.0	46.5	79.5	0.0	145.0	74.0	1.0	227.5	58.5	101.5	131.0	40.0	78.0	170.5	0.0	175.0	159.0	147.5	57.0	291.5	195.5	305.0	309.5	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.5	62.0	199.0	1.0	71.5	149.0	450.5
