	SAMPLE_100008_1	SAMPLE_100008_2	SAMPLE_100008_3	SAMPLE_100137_1	SAMPLE_100137_2	SAMPLE_100137_3	SAMPLE_100177_1	SAMPLE_100177_2	SAMPLE_100177_3	SAMPLE_100200_2	SAMPLE_100200_3	SAMPLE_100206_1	SAMPLE_100206_2	SAMPLE_100206_3	SAMPLE_100217_1	SAMPLE_100217_2	SAMPLE_100217_3	SAMPLE_100248_1	SAMPLE_100248_2	SAMPLE_100248_3	SAMPLE_100255_1	SAMPLE_100255_2	SAMPLE_100255_3	SAMPLE_100256_1	SAMPLE_100256_2	SAMPLE_100256_3	SAMPLE_100257_1	SAMPLE_100257_2	SAMPLE_100257_3	SAMPLE_100261_1	SAMPLE_100261_2	SAMPLE_100261_3	SAMPLE_100267_1	SAMPLE_100267_2	SAMPLE_100267_3	SAMPLE_100306_1	SAMPLE_100306_2	SAMPLE_100306_3	SAMPLE_100337_1	SAMPLE_100337_2	SAMPLE_100337_3	SAMPLE_NTC_1	SAMPLE_NTC_2	SAMPLE_NTC_3	SAMPLE_NTC_4	SAMPLE_NTC_5	SAMPLE_NTC_6	SAMPLE_NTC_7	SAMPLE_NTC_8	SAMPLE_water1_1	SAMPLE_water2_1	SAMPLE_water3_1	SAMPLE_water4_1	SAMPLE_water5_1	SAMPLE_water6_1
Bacteroidota	28838.5	105733.5	312729.5	12589.0	56217.5	546895.5	164508.5	19754.0	290999.5	47086.0	527934.0	302408.5	1783.5	245702.5	32711.0	31182.0	113138.0	247165.0	416628.0	165316.0	107563.0	1686.0	219526.5	140048.5	1669.0	477112.5	77012.0	104649.5	379785.0	142114.0	96090.0	396587.0	25381.5	299455.5	265983.5	506425.0	167519.5	489943.5	327376.0	668803.5	599296.0	542.5	600.5	927.0	828.5	1263.5	1133.5	1477.5	1414.5	100622.5	299884.5	855.5	220117.5	115256.5	209871.5
Chlorobiota	227.5	580.5	2880.0	145.5	1073.0	5414.0	1027.5	59.0	2278.0	477.0	5011.5	1561.5	14.5	2814.0	139.0	191.0	713.0	2879.0	2411.0	1327.5	1161.5	12.5	2153.0	903.0	8.0	2478.5	499.5	825.5	1917.0	1011.0	830.5	3752.0	321.0	2151.0	3090.5	3149.0	1750.0	4059.5	2593.5	4873.0	3087.0	6.0	7.0	7.0	9.0	7.0	13.5	7.5	10.5	716.5	3400.5	6.5	592.0	974.5	903.0
Cyanobacteriota	15088.0	27926.0	161600.0	6687.5	13415.0	236492.0	83866.0	7099.0	191169.0	24318.5	246226.5	94320.5	943.5	79867.0	9921.5	10175.0	49527.0	101449.5	131003.0	90711.0	61276.5	769.0	119732.5	57791.0	724.5	134804.0	44454.0	49080.5	166662.0	82464.5	43052.0	157572.0	10440.5	145107.0	105046.5	141314.0	115266.0	238840.5	207965.0	343215.5	2017496.5	321.0	432.0	1182.0	1538.0	2447.0	1665.0	2477.5	2776.0	45902.0	222481.5	492.5	71332.0	84839.5	137256.0
Pseudomonadota	342062.5	962990.0	3649754.0	180187.0	743139.0	4905544.5	1663657.5	166764.5	3067854.5	477329.5	5371875.5	3124260.0	23948.0	2320924.5	424371.5	421602.5	1655884.0	2443144.0	3700177.0	1939375.0	1225593.5	16059.0	2294779.5	1323877.0	15744.0	3076419.0	1079793.5	1334242.0	4205416.0	1090378.5	1064373.0	12100164.0	325461.0	3053305.5	2857875.0	3595300.0	2249680.5	4724688.0	3844728.5	6617982.5	6732761.0	7942.5	9691.0	9632.0	9062.5	13331.5	11682.0	16201.5	15510.5	1186585.5	3339944.0	12200.5	1961752.0	1398787.5	10266388.5
Bacillota	63893.5	358714.0	566523.0	35624.5	78717.0	1032888.0	472189.5	115284.0	582676.0	102672.5	911010.0	1171158.5	4810.5	433311.5	105313.5	94156.0	663277.0	311347.5	777021.5	356761.5	236735.5	3779.0	540855.0	302491.5	3500.5	1109309.5	196995.0	231580.0	1031077.0	331852.0	245595.0	4597704.0	37776.0	555787.0	616989.5	1136362.0	425182.5	839470.5	684092.5	1210785.5	1708627.0	2435.5	2542.5	1906.5	1847.0	2861.5	2640.5	3795.5	3221.5	678221.5	551354.0	3291.0	2076446.0	384688.5	993757.0
Deinococcota	25619.0	7418.0	28182.5	1329.5	3590.5	54411.0	12246.5	1731.0	41177.5	3910.0	60423.5	22885.0	186.5	30962.5	1943.5	12416.5	20724.0	27404.0	48355.5	18945.5	32769.5	182.0	23815.5	21078.5	193.0	36641.5	9446.5	10429.0	58107.5	17093.5	16186.0	38821.0	2358.5	30478.5	23237.5	42630.0	21305.0	51861.0	37065.5	86649.0	50697.5	83.5	77.0	87.5	85.5	142.0	115.5	157.0	139.0	37621.0	42460.0	93.0	16683.5	11720.0	40779.0
Campylobacterota	869.5	5092.0	11461.5	535.5	1908.0	22648.0	6536.5	495.0	10754.0	1716.0	23275.0	12625.5	64.0	11552.0	745.0	747.0	4230.5	10879.5	12509.0	6348.0	3523.0	70.0	7267.0	4843.5	48.0	8953.0	2466.0	4467.0	11041.0	4277.5	3482.5	18244.5	1511.0	10884.0	12867.0	13116.0	8410.5	18410.0	12594.5	22098.5	20889.0	15.5	17.5	35.0	30.0	48.0	39.5	58.0	41.5	3437.0	14233.0	20.0	3625.5	4732.0	7641.5
Fusobacteriota	1411.0	10918.5	16680.0	463.5	1156.5	23448.0	19008.5	4998.5	17918.5	1791.0	17722.5	31443.5	109.5	8683.5	1531.5	1165.5	6206.0	3862.5	19766.0	4667.5	3897.0	68.0	13412.5	4530.5	83.0	11641.5	3923.0	4160.0	38094.0	3588.0	3666.0	9207.5	406.0	6832.0	5022.0	8893.5	4988.0	12456.5	10660.0	53998.0	31461.5	45.0	35.5	48.5	48.0	76.0	75.5	71.5	93.5	10816.0	10641.5	53.0	21261.0	5144.0	16617.5
Nitrospirota	314.5	760.5	3668.5	109.5	524.0	10634.5	2195.5	96.0	2887.5	476.5	6032.5	2005.0	17.5	3345.0	987.5	172.0	1379.5	3052.0	3833.0	2345.0	1544.0	31.0	2114.5	1231.0	13.5	3317.0	777.0	968.5	3657.0	946.0	2841.5	4214.0	308.5	3213.5	3768.0	4428.5	2449.0	5568.5	3512.0	8034.0	4912.0	8.0	3.5	12.5	12.0	9.0	12.0	11.0	12.5	680.5	4107.5	12.5	1334.0	1517.0	5923.0
Acidobacteriota	1610.5	3917.0	20573.5	820.5	2465.5	40587.0	10964.0	673.5	35736.0	2566.0	28540.5	10323.5	138.0	16926.5	1012.0	1263.0	6114.0	16690.5	19173.0	9353.0	6505.0	104.5	10947.5	6592.5	84.0	14282.5	3925.0	6286.0	15444.5	6053.0	12006.0	23951.0	2076.5	16462.0	18415.5	18886.5	11812.5	26963.0	18655.0	36498.5	26253.5	31.0	47.0	53.0	33.5	49.5	71.5	68.5	87.0	4015.0	20643.5	51.5	5694.0	6876.5	33582.5
