	SAMPLE_100008_1	SAMPLE_100008_2	SAMPLE_100008_3	SAMPLE_100137_1	SAMPLE_100137_2	SAMPLE_100137_3	SAMPLE_100177_1	SAMPLE_100177_2	SAMPLE_100177_3	SAMPLE_100200_2	SAMPLE_100200_3	SAMPLE_100206_1	SAMPLE_100206_2	SAMPLE_100206_3	SAMPLE_100217_1	SAMPLE_100217_2	SAMPLE_100217_3	SAMPLE_100248_1	SAMPLE_100248_2	SAMPLE_100248_3	SAMPLE_100255_1	SAMPLE_100255_2	SAMPLE_100255_3	SAMPLE_100256_1	SAMPLE_100256_2	SAMPLE_100256_3	SAMPLE_100257_1	SAMPLE_100257_2	SAMPLE_100257_3	SAMPLE_100261_1	SAMPLE_100261_2	SAMPLE_100261_3	SAMPLE_100267_1	SAMPLE_100267_2	SAMPLE_100267_3	SAMPLE_100306_1	SAMPLE_100306_2	SAMPLE_100306_3	SAMPLE_100337_1	SAMPLE_100337_2	SAMPLE_100337_3	SAMPLE_NTC_1	SAMPLE_NTC_2	SAMPLE_NTC_3	SAMPLE_NTC_4	SAMPLE_NTC_5	SAMPLE_NTC_6	SAMPLE_NTC_7	SAMPLE_NTC_8	SAMPLE_water1_1	SAMPLE_water2_1	SAMPLE_water3_1	SAMPLE_water4_1	SAMPLE_water5_1	SAMPLE_water6_1
Poxviridae	6.5	16.5	0.0	4.5	0.0	77.5	11.5	1.0	0.0	1.5	32.5	19.5	0.0	8.0	3.0	14.0	1.5	17.5	30.0	1.0	0.0	0.0	14.0	10.5	0.0	0.5	10.5	6.0	8.0	3.0	1.0	3.0	0.5	6.0	4.0	14.0	1.0	0.0	2.5	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.5	272.0
Hepadnaviridae	5.5	5.5	1.0	34.0	66.0	40.5	1.5	13.5	3.0	13.0	9.5	2.5	0.0	1.5	182.5	24.0	5.0	1.0	6.5	29.0	1.0	0.0	14.0	4.5	0.5	2.0	12.0	23.5	1.0	62.0	113.5	1.0	1.0	13.5	0.0	363.5	10.0	2.0	13.0	1.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.5	0.0	0.0	0.0	0.0
Baculoviridae	649.0	1042.5	7276.5	313.0	584.0	16008.0	2461.5	152.0	7759.0	826.5	8966.5	3397.0	46.5	3306.0	363.5	283.0	1882.5	4677.0	5545.5	3447.5	2104.0	30.0	3256.0	2249.5	36.0	4520.0	1184.0	1506.5	13315.0	3427.5	2135.0	10663.5	531.0	5119.0	5665.5	7997.0	4545.0	11143.5	7050.0	12707.0	9607.0	10.0	10.5	14.5	17.0	21.5	26.0	27.5	18.5	1856.0	6887.0	15.5	3900.5	3029.0	4106.0
Iridoviridae	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	3.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	5.0	0.0	0.0	0.0	1.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Phycodnaviridae	19.5	54.0	265.0	24.0	13.5	538.5	236.0	8.5	263.0	49.0	391.0	124.0	2.0	93.0	11.0	13.0	38.0	222.5	224.5	109.0	71.5	0.0	76.5	59.0	0.0	184.5	34.0	88.0	172.0	108.5	67.5	397.0	12.0	333.5	294.5	217.0	407.5	437.0	337.0	428.5	383.0	1.0	1.0	1.0	0.0	2.0	1.0	2.0	3.0	55.0	580.0	3.0	62.0	177.0	89.5
Adenoviridae	12.0	6.5	0.0	0.0	0.0	19.5	0.0	2.5	30.0	6.0	27.0	0.0	0.0	25.0	4.0	0.0	0.0	0.0	0.0	0.0	92.0	0.0	0.0	13.0	0.0	0.0	0.0	37.0	7.0	0.0	5.0	8.0	0.0	58.0	3.0	6.0	0.0	28.5	0.0	29.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	241.0	321.0	1.0	475.5	67.0	326.5
Parvoviridae	4.0	45.0	114.0	6.0	13.0	231.0	67.0	0.0	30.0	37.0	162.0	96.5	0.0	190.0	4.0	0.0	16.0	133.5	217.5	33.0	12.0	1.0	71.0	33.5	1.0	81.0	14.0	0.0	35.0	17.5	23.0	177.0	5.5	71.0	131.5	178.0	38.0	117.5	67.0	205.5	216.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	7.0	202.0	0.0	2.0	79.0	41.0
Microviridae	0.0	0.0	0.0	0.0	2.0	8.0	0.0	0.0	0.0	0.0	13.0	1.5	0.0	9.0	0.0	3.0	3.0	0.0	14.0	0.0	0.0	0.0	0.5	0.5	0.0	0.5	0.0	0.0	1.0	14.0	0.5	3.0	0.0	0.0	3.0	4.0	4.0	5.0	3.0	0.0	26.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Inoviridae	0.0	1.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	24.0	4.0	0.0	6.5	1.0	0.0	0.0	0.0	14.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	6.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0
Cystoviridae	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Birnaviridae	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Partitiviridae	713.5	3186.5	7195.0	386.5	964.5	12678.5	6721.0	235.5	4155.0	742.5	12922.0	9460.0	77.0	3210.5	1015.5	5950.0	16968.5	3281.0	7769.5	14348.5	2512.0	38.0	10605.5	3682.0	58.0	10122.0	3342.5	4936.0	31234.5	2658.5	2019.5	143160.0	565.0	9400.0	4724.0	8232.0	8855.5	21211.0	6232.0	11927.0	30009.0	40.0	36.0	22.5	39.0	46.5	34.0	61.5	48.5	25051.5	18982.0	49.5	9086.5	12739.5	15596.5
Togaviridae	3.0	7.0	1.0	11.0	5.0	16.0	3.0	0.0	1.0	3.5	17.5	15.5	0.0	0.5	3.0	4.0	0.0	17.5	9.0	0.0	0.0	0.0	2.0	5.0	0.0	0.0	1.0	8.5	0.5	12.5	5.5	10.0	1.0	8.0	21.0	2.0	8.0	11.0	0.0	15.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Flaviviridae	788154.0	700363.0	2062647.0	724.0	90.0	2028.0	1997.5	1858.5	4186.5	506.0	1085.0	6650.5	5432.5	3272.5	5245047.5	443396.0	11680967.5	591538.5	1549578.0	2320453.5	285018.5	6023.5	8068322.5	9130.0	4720.0	117040.5	4564.0	7059.5	8244.0	24092.5	2394436.0	1959448.5	2099.5	2434.0	2418.0	3292.0	3098.5	1826.0	4962.5	54961.5	182.5	39.0	53.0	265.5	164.0	51.0	559.0	762.5	807.0	144.0	95.0	11.0	350.0	408.5	469.0
Coronaviridae	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	69.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	6.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
