	SAMPLE_100008_1	SAMPLE_100008_2	SAMPLE_100008_3	SAMPLE_100137_1	SAMPLE_100137_2	SAMPLE_100137_3	SAMPLE_100177_1	SAMPLE_100177_2	SAMPLE_100177_3	SAMPLE_100200_2	SAMPLE_100200_3	SAMPLE_100206_1	SAMPLE_100206_2	SAMPLE_100206_3	SAMPLE_100217_1	SAMPLE_100217_2	SAMPLE_100217_3	SAMPLE_100248_1	SAMPLE_100248_2	SAMPLE_100248_3	SAMPLE_100255_1	SAMPLE_100255_2	SAMPLE_100255_3	SAMPLE_100256_1	SAMPLE_100256_2	SAMPLE_100256_3	SAMPLE_100257_1	SAMPLE_100257_2	SAMPLE_100257_3	SAMPLE_100261_1	SAMPLE_100261_2	SAMPLE_100261_3	SAMPLE_100267_1	SAMPLE_100267_2	SAMPLE_100267_3	SAMPLE_100306_1	SAMPLE_100306_2	SAMPLE_100306_3	SAMPLE_100337_1	SAMPLE_100337_2	SAMPLE_100337_3	SAMPLE_NTC_1	SAMPLE_NTC_2	SAMPLE_NTC_3	SAMPLE_NTC_4	SAMPLE_NTC_5	SAMPLE_NTC_6	SAMPLE_NTC_7	SAMPLE_NTC_8	SAMPLE_water1_1	SAMPLE_water2_1	SAMPLE_water3_1	SAMPLE_water4_1	SAMPLE_water5_1	SAMPLE_water6_1
Negarnaviricota	558.5	625.5	1340.5	425.5	407.0	1824.5	1643.0	576.5	2578.0	503.0	1504.5	4163.5	16.0	722.5	526.5	618.5	1507.5	726.0	1309.5	1418.5	1762.0	12.0	1325.0	1638.5	10.5	813.5	731.0	790.5	2448.0	1181.0	2329.5	5436.5	272.0	1112.5	1206.0	1550.5	1508.5	2728.0	1784.0	1591.5	1494.0	3.0	1.0	2.0	2.0	3.5	7.0	3.5	3.5	313.5	912.5	6.5	855.5	545.0	3607.5
Peploviricota	26614.0	55337.5	280727.0	10832.5	45913.0	368410.5	155355.5	18317.5	231923.0	39748.0	377836.0	263261.5	1742.5	161439.0	34807.5	34593.0	125391.5	168382.0	278610.5	145739.5	110364.0	1315.5	180023.5	111337.5	1236.5	302869.5	73539.0	97968.0	347388.5	131552.5	86623.5	351695.5	20528.5	270948.0	207455.0	309626.0	152772.5	374164.0	305134.0	567385.5	569879.5	611.0	733.0	758.0	703.0	1176.0	992.0	1282.5	1248.5	103975.0	220790.5	899.5	310918.0	101108.0	536184.0
Uroviricota	97906.0	156364.5	687470.0	46486.5	124369.5	763082.0	352645.5	55976.0	644970.5	89393.0	969746.5	775233.0	4593.5	303281.5	129578.5	113417.0	357725.5	322823.0	741174.0	336614.5	304872.0	2935.5	602640.0	258849.5	3212.5	742790.5	397927.5	327161.5	933509.0	239871.5	228449.5	702807.5	46888.5	545915.5	358729.0	709526.0	328041.0	862333.5	695478.5	1268439.0	1907137.5	1533.5	2008.5	2044.5	1964.5	3047.5	2505.5	3350.5	3594.0	311717.0	455771.5	2440.0	553694.5	257026.0	1956933.5
Nucleocytoviricota	39.0	103.0	422.0	35.0	21.0	816.0	300.0	20.0	334.5	77.0	552.0	187.5	2.0	284.5	27.0	32.0	76.5	400.0	378.0	184.0	125.5	0.0	139.0	110.0	1.0	261.0	93.5	175.5	410.5	205.5	157.0	555.0	14.5	469.0	420.0	334.5	459.5	657.0	513.0	683.5	669.5	2.0	1.0	1.0	1.0	2.5	1.0	2.0	3.0	93.0	715.5	3.0	192.0	186.5	791.5
Preplasmiviricota	12.0	6.5	0.0	0.0	0.0	19.5	0.0	2.5	30.0	6.0	27.0	0.0	0.0	25.0	4.0	0.0	0.0	0.0	0.0	0.0	92.0	0.0	0.0	13.0	0.0	0.0	0.0	37.0	7.0	0.0	5.0	8.0	0.0	58.0	3.0	6.0	0.0	28.5	0.0	29.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	241.0	321.0	1.0	475.5	67.0	326.5
Dividoviricota	76.5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Duplornaviricota	1247.5	2506.5	11532.5	680.5	2311.5	17477.0	7835.5	1281.5	13275.5	2152.0	17385.0	15680.5	94.0	5904.0	1633.0	1516.5	6626.0	6628.0	13025.0	5871.5	4935.0	63.0	8365.5	5247.0	49.5	13944.5	3566.5	5268.5	15838.0	7924.0	4906.5	28306.0	907.0	11623.0	8902.0	19458.0	7155.0	16550.0	13429.5	24155.5	24549.5	35.0	33.5	35.0	24.0	42.0	57.0	59.0	51.0	9765.5	9911.0	50.5	16131.5	5081.0	37428.0
Kitrinoviricota	788914.0	702931.5	2071379.0	1090.5	1103.5	15833.5	7872.0	2334.5	9117.5	1474.5	14320.0	14356.0	5577.5	7524.5	5245675.0	445086.0	11691395.0	599149.5	1560216.0	2327880.5	288185.5	6069.5	8075661.0	20865.0	4767.0	124208.0	6562.0	13514.0	23588.5	26989.0	2396748.5	2101212.0	2723.0	13790.0	8687.0	13524.5	9968.5	14236.0	10979.0	75598.0	50656.5	88.0	124.0	311.5	221.0	137.0	618.0	866.5	893.5	9540.5	10807.0	70.5	6255.5	4062.5	103085.0
Lenarviricota	108.0	79.0	1070.0	28.0	90.0	607.5	352.5	101.0	1885.0	240.0	467.5	1606.0	7.0	91.5	101.5	50.5	1060.5	112.5	324.5	308.0	269.0	5.5	432.5	697.0	3.0	931.5	124.5	555.0	1977.5	513.0	2202.0	5418.5	8.5	658.0	468.0	602.5	748.0	2118.0	2017.5	797.5	702.5	2.0	2.0	3.0	1.0	0.0	2.0	1.5	0.5	462.5	453.5	3.0	1955.0	561.5	1980.5
Pisuviricota	4177.5	6324.5	28676.5	1963.0	2725.0	39710.5	17787.0	907.0	19400.5	3256.0	40455.5	54907.0	175.0	19572.0	3751.0	9127.5	23045.5	19646.5	23481.5	22912.5	8109.0	119.0	19885.0	10305.5	140.0	26356.0	8562.5	12536.0	52200.5	8966.0	28786.0	198888.0	2005.0	23432.0	20917.5	28120.0	19091.5	45947.5	25590.0	48378.5	55491.0	66.0	65.5	74.5	91.5	115.0	91.0	137.5	121.0	29593.5	34229.5	93.5	16327.0	18563.0	43520.5
Artverviricota	14827.5	10011.5	89697.0	6865.0	32582.5	160021.5	204576.5	20930.5	94647.0	28921.0	741798.0	573737.5	555.0	267967.5	48763.0	1969.5	62051.5	10853.5	40922.5	6893.5	57538.5	393.0	21602.5	354993.0	270.0	31618.0	8107.5	44747.5	118460.0	796999.0	65377.5	63901.0	619.0	44733.5	3034.0	82143.0	11119.0	23074.0	71320.5	130279.5	237298.5	24.5	11.0	185.5	144.5	314.5	171.5	305.0	279.0	88.5	101.5	31.5	209.0	106.0	96.0
Hofneiviricota	7.0	1.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	24.0	4.0	0.0	6.5	1.0	0.0	0.0	0.0	14.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	6.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0
Phixviricota	0.0	0.0	0.0	0.0	2.0	8.0	0.0	0.0	0.0	0.0	13.0	1.5	0.0	9.0	0.0	3.0	3.0	0.0	14.0	0.0	0.0	0.0	0.5	0.5	0.0	0.5	0.0	0.0	1.0	14.0	0.5	3.0	0.0	0.0	3.0	4.0	4.0	5.0	3.0	0.0	26.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cossaviricota	4.5	59.0	128.5	9.0	14.0	258.5	67.0	1.0	30.0	38.0	269.5	162.5	0.0	190.0	4.0	3.5	17.0	142.5	218.5	62.0	25.0	1.0	71.0	39.5	1.0	149.0	15.0	10.0	35.0	27.0	30.0	178.0	5.5	71.0	142.5	195.0	38.0	117.5	88.0	205.5	238.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0	1.0	7.0	222.0	0.0	63.5	143.5	152.0
Cressdnaviricota	160.0	249.5	2686.5	105.0	243.5	1860.0	1148.5	229.5	6213.5	175.5	1175.5	5585.5	20.0	241.0	240.0	448.0	5172.5	373.5	1118.0	1436.5	956.5	9.0	1414.0	947.5	9.5	1637.5	509.5	1390.5	4606.5	1618.0	5889.0	37341.5	74.5	1315.5	1000.0	1996.0	2682.5	3142.5	3572.0	2706.5	5146.5	4.0	12.0	2.5	7.0	6.5	3.0	15.0	7.0	1194.0	1218.0	11.5	4104.0	1391.5	10972.0
Commensaviricota	1.0	4.0	14.0	0.0	1.5	25.0	0.0	0.0	16.0	10.0	33.0	75.5	0.0	0.0	21.5	0.0	8.5	1.0	10.0	7.0	51.0	0.0	77.0	67.5	0.0	0.0	0.0	16.0	52.0	84.0	44.0	13.5	0.0	0.0	10.0	8.5	0.0	54.5	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
