NAME	platelet	erythroid	neutrophil	monocyte	macrophage	myeloid prog	dendritic cell	basophil	mast cell	b cell	plasma cell	plasmablast	t cell	nk cell	ILC	HSPC	thymocyte	adventitial cell	fibroblast/mesenchymal stem cell	pericyte cell	smooth muscle cell	stromal cell	endothelial cell
A1BG	12.2806599181456	1.0	1.0	1.0	23.8701668261089	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	25.3153666659549	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
A1BG.AS1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	42.9916193815098	1.0	7.60938486131459	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
A1CF	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
A2M	1.0	1.0	1.0	118.031353460211	210.855543345427	1.0	27.3324204760902	1.0	1.0	1.0	1.0	1.0	52.9717046048624	49.6312689494838	14.0110845511702	1.0	1.0	380.760963637796	49.7477055302268	2760.86454071181	1457.12280188791	59.6414452160456	2085.92338432862
A2M.AS1	1.0	1.0	1.0	1.0	1.0	13.4283188153418	1.0	119.402852286088	25.7156209893361	1.0	1.0	1.0	45.3645581695293	1.0	1.0	10.0699644115027	1.0	1.0	1.0	1.0	1.0	1.0	1.0
A2ML1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
A4GALT	1.0	8.00928208660557	1.0	1.0	1.0	1.0	56.7537912578055	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	76.9557722246389	33.4901529365377	162.243505564285	128.925195724883	223.416460300121	132.868672481737
A4GNT	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
AACS	1.0	8.04670042618276	1.0	1.0	1.0	32.8687018647968	1.0	1.0	1.0	1.0	23.7936082442803	9.62265747459882	28.0780427026553	25.0961495106076	1.0	24.4263923615011	1.0	41.8445209220689	94.2479172338113	1.0	1.0	11.2659424825029	1.0
AADAC	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
AADACP1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
AADAT	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	28.3267651367477	1.0	8.21716133734778	5.48371946409966	10.5698155590171	25.1361727681659	1.0	1.0
AAK1	65.1107665904518	16.1498921064105	247.596344104674	131.62688701057	183.375459668475	65.0416650556099	91.2243700155494	113.587199513367	114.255655230736	1.0	33.7622359122962	105.679908335485	491.797688795857	327.847437486703	612.959302645699	117.651957158736	711.009207823545	88.950419462754	68.1864053393159	151.037704612759	161.305640368754	79.4350692776854	237.902396248431
AAMDC	1.0	36.0824425916761	1.0	27.940462286487	45.6835522903253	66.8984403868178	58.6025735882333	83.8672606089057	60.0834562335017	1.0	1.0	9.63104213371381	28.106612544422	1.0	1.0	59.3337569332916	83.5400866887286	133.149310752905	130.755820399066	108.496519801438	140.908604554121	46.1872224143345	112.924665059457
AAMP	22.712088679781	55.1232467301196	1.0	213.791453506522	33.1805094162173	70.7507595812983	59.1665891112145	118.979364738887	24.2953665524036	79.673984763994	32.9060164404573	52.3983023204965	1.0	55.4728739226658	70.3903053485243	43.1996165219654	67.2120947343703	61.614575167244	72.3458878830559	80.1237912757382	68.5648275808561	238.867114985722	83.8845516107094
AAR2	1.0	28.7622359344006	1.0	1.0	34.3326226296662	28.9238822914629	1.0	21.9791500203874	1.0	21.5648239490537	1.0	6.4648310572951	22.0297335274295	29.8102824550114	1.0	26.2649520245315	1.0	19.8358896645627	1.0	15.6442259382862	21.9590638910266	1.0	29.8995931303385
AARD	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
