	SAMPLE_100008_1	SAMPLE_100008_2	SAMPLE_100008_3	SAMPLE_100137_1	SAMPLE_100137_2	SAMPLE_100137_3	SAMPLE_100177_1	SAMPLE_100177_2	SAMPLE_100177_3	SAMPLE_100200_2	SAMPLE_100200_3	SAMPLE_100206_1	SAMPLE_100206_2	SAMPLE_100206_3	SAMPLE_100217_1	SAMPLE_100217_2	SAMPLE_100217_3	SAMPLE_100248_1	SAMPLE_100248_2	SAMPLE_100248_3	SAMPLE_100255_1	SAMPLE_100255_2	SAMPLE_100255_3	SAMPLE_100256_1	SAMPLE_100256_2	SAMPLE_100256_3	SAMPLE_100257_1	SAMPLE_100257_2	SAMPLE_100257_3	SAMPLE_100261_1	SAMPLE_100261_2	SAMPLE_100261_3	SAMPLE_100267_1	SAMPLE_100267_2	SAMPLE_100267_3	SAMPLE_100306_1	SAMPLE_100306_2	SAMPLE_100306_3	SAMPLE_100337_1	SAMPLE_100337_2	SAMPLE_100337_3	SAMPLE_NTC_1	SAMPLE_NTC_2	SAMPLE_NTC_3	SAMPLE_NTC_4	SAMPLE_NTC_5	SAMPLE_NTC_6	SAMPLE_NTC_7	SAMPLE_NTC_8	SAMPLE_water1_1	SAMPLE_water2_1	SAMPLE_water3_1	SAMPLE_water4_1	SAMPLE_water5_1	SAMPLE_water6_1
Methanobacteriales	1677.5	3883.0	19349.5	662.0	7822.0	29896.5	9106.5	704.5	15366.0	3009.5	32590.5	16280.5	164.0	15559.0	2535.5	2009.0	7775.5	16061.5	19250.5	9612.5	7656.5	109.0	11353.0	7072.0	98.0	20228.5	5243.5	5254.5	19227.0	6345.5	5175.5	23843.0	1976.5	17215.0	22341.5	28684.0	12126.0	28520.5	37684.5	36103.0	69700.5	54.5	80.0	54.0	86.5	106.0	71.0	112.0	126.0	5410.5	18784.5	95.0	8185.5	7024.5	120893.5
Methanococcales	6261.0	10364.0	54097.0	2568.5	8261.5	59007.0	33469.0	4358.5	51820.5	6957.0	63520.0	63853.0	412.0	18911.0	10040.0	8179.0	28090.5	21529.0	55312.0	25888.0	20405.5	252.5	41033.0	20717.0	224.0	62260.0	18725.0	23389.5	80449.0	26902.5	18553.5	52616.0	2423.5	44896.5	26155.0	51835.5	26022.5	70682.5	57785.0	94312.0	120541.5	133.5	185.5	131.5	130.5	215.0	177.5	236.5	230.0	26187.0	36553.0	223.5	55436.5	21456.0	209665.0
Methanomicrobiales	12774.5	7584.5	58392.0	4336.0	4500.0	49223.5	23523.0	6676.5	58251.0	5991.5	94168.0	48488.5	271.5	23426.0	7735.0	8209.5	37860.5	20947.0	62795.5	27601.5	34032.5	228.5	72911.0	20717.5	280.5	61997.0	75329.0	32450.5	84814.0	11870.0	21818.0	58757.5	2631.5	39484.0	21542.5	39863.5	26955.5	56871.5	34936.5	104783.0	179372.5	88.5	106.5	185.0	161.5	272.0	201.0	282.5	288.0	26217.0	25412.0	135.0	32293.0	20845.5	90347.0
Archaeoglobales	581.0	1570.5	6825.0	266.5	1178.0	11110.5	3086.5	465.5	4354.5	1032.0	10179.5	5592.0	85.5	5252.5	618.5	738.5	2349.0	5155.5	6805.5	4267.0	4416.0	24.0	4268.5	2490.5	37.5	6287.0	1855.5	2347.0	6701.5	2138.5	2256.5	7468.0	683.0	5715.0	5503.0	7016.5	3884.0	9213.5	7938.0	14085.0	12594.5	28.5	31.5	18.0	18.0	28.0	35.5	20.0	30.0	2061.5	7364.5	37.0	2710.0	2265.5	67385.0
Halobacteriales	7218.0	13216.0	64888.5	2883.5	11418.0	85618.5	36007.5	6408.5	53799.0	9441.0	84366.5	58530.0	407.5	35622.0	7628.0	6829.0	23754.5	37009.0	73482.0	30380.5	20060.5	280.5	38976.5	22641.5	296.5	83900.5	19825.5	21972.0	64618.5	21282.5	18767.5	56214.0	4384.0	45517.0	45247.5	69158.5	30123.0	75528.5	63423.5	122354.5	153301.5	161.5	168.5	162.0	158.5	298.5	221.5	310.5	292.0	33608.5	51982.5	191.0	50684.5	23642.0	118636.0
Thermococcales	726.0	1121.5	7447.0	309.0	1035.0	9893.0	4853.0	590.0	8800.0	889.0	9617.5	8020.0	49.5	3049.0	885.0	688.0	3187.0	3334.0	6583.5	3481.5	2641.5	21.0	5181.0	2671.5	26.0	7524.0	1998.0	2481.0	7474.0	3897.0	2822.5	5886.5	518.5	6200.5	4082.0	7769.0	3443.5	8213.5	7061.5	13576.5	23377.0	27.0	26.5	28.0	27.5	36.0	31.5	43.5	36.0	3055.0	6577.0	36.0	5899.0	2697.5	19417.5
Thermoproteales	3585.0	6283.0	33678.0	1660.0	4951.5	50809.5	27267.0	2049.5	28474.5	5041.0	45338.5	41111.5	236.0	22415.0	5660.0	5022.0	14847.5	20553.5	42295.0	17280.0	10874.0	168.5	23051.0	14681.0	192.5	39227.0	10164.5	12297.5	43348.5	29051.5	10611.0	37421.0	3049.5	33750.5	24499.0	43672.5	18464.5	46847.5	42199.0	77015.0	67310.5	67.0	94.5	83.0	104.0	151.0	135.5	159.5	167.0	16591.0	38615.0	105.0	26681.5	15405.0	64935.0
Sulfolobales	673.5	1479.5	7691.0	248.5	783.0	10085.5	5495.5	950.5	6762.0	1257.5	8878.5	9125.0	57.0	3525.0	1152.5	1045.5	3795.0	3388.0	7746.5	3642.5	2977.0	23.0	4135.0	2909.0	35.5	6539.0	1980.0	2478.5	8890.5	7371.0	2569.0	6690.0	518.5	6660.5	4341.0	8471.5	3635.5	8692.0	8442.5	13785.5	13738.5	32.5	27.0	21.0	12.0	28.5	29.5	35.0	22.0	6457.5	6757.5	36.0	14422.5	2837.0	19508.0
Thermoplasmatales	314.0	566.5	3593.5	103.0	349.5	5687.0	1908.0	268.5	3018.5	516.5	4628.0	2369.0	15.0	2621.5	284.5	325.0	964.0	2748.5	3418.5	1711.5	1238.0	14.0	2070.5	1116.0	10.0	2733.0	755.0	1092.5	4711.5	2008.5	855.0	6936.5	410.0	3829.5	3511.0	2872.0	2182.5	4632.5	2780.0	5473.0	13483.5	4.0	8.0	17.0	18.5	17.5	14.5	24.5	27.0	782.0	3280.0	13.5	1514.5	1264.5	2660.0
Nitrosopumilales	4495.5	9542.0	55775.0	1932.5	9896.5	72793.5	25328.0	1964.5	40533.0	6745.0	73355.0	39795.0	348.5	33039.0	5155.5	5201.5	19039.0	34565.0	47196.0	27369.5	20426.5	273.5	31212.0	18939.0	219.0	42733.5	12383.0	16963.0	54733.5	21297.5	15433.0	54498.0	4475.5	49918.0	39546.0	52448.0	30619.0	69510.0	55998.0	100342.5	88651.5	110.5	144.0	133.5	119.0	204.5	162.0	205.0	211.0	12820.0	43897.5	179.5	53139.5	18739.5	110015.5
Methanopyrales	580.5	1113.0	4740.5	180.5	703.0	7718.5	2380.0	328.5	6564.0	569.0	6571.5	3973.5	29.0	8520.0	498.0	477.0	2520.0	3617.5	5854.0	2719.5	3710.5	29.0	3284.5	2200.0	19.0	3982.5	1166.0	1177.5	8189.5	1995.0	1598.0	7251.5	350.0	3706.0	3184.0	5659.0	2612.0	6353.5	4662.0	10292.5	6619.5	12.5	12.5	10.0	12.0	21.5	12.0	28.0	21.0	2672.0	4512.5	15.0	7330.5	2240.5	7189.0
Methanosarcinales	1291.5	2583.5	12769.0	403.5	5024.0	19267.0	7953.5	1149.0	9829.0	1915.0	18739.5	20418.0	61.5	8882.5	1252.0	971.0	4466.5	8374.0	14203.0	6990.5	3688.0	59.0	8270.5	4788.0	50.0	11891.5	3133.5	3186.0	13258.0	5759.5	4696.5	17570.5	854.0	9212.5	8787.0	23973.0	5851.5	15242.5	11466.0	25269.0	21945.0	17.5	32.0	41.5	46.0	41.0	47.5	42.5	57.0	3606.0	13707.5	42.0	5999.5	4286.0	15632.0
Desulfurococcales	11269.5	17283.0	130536.0	4317.0	13438.0	189465.0	61088.5	7008.0	184366.5	13934.5	139876.0	124462.0	759.5	51755.0	12575.0	9093.5	45261.0	56006.0	123446.5	58996.0	42703.0	652.0	65611.0	47665.0	476.5	104054.0	28710.5	45036.0	142518.0	55483.0	116991.0	822623.5	7479.0	174898.0	124475.5	142447.0	78293.5	181730.0	184504.0	207964.5	245270.0	265.5	304.0	347.5	298.0	452.0	430.0	619.0	490.0	65861.5	103738.5	405.5	109788.5	69200.5	142269.5
Candidatus Poseidoniales	7.0	12.0	17.0	2.0	0.0	41.0	22.0	0.0	24.5	0.0	5.0	1.5	0.0	47.5	0.0	1.0	2.0	27.5	18.5	13.0	2.0	0.0	0.0	2.0	0.0	18.0	2.0	10.0	24.0	2.5	7.0	113.0	0.0	51.0	19.0	22.0	20.0	8.0	27.0	31.0	4.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	15.0	5.0	0.0
Candidatus Cenarchaeales	2.0	14.5	44.0	0.0	7.0	137.0	34.5	3.0	138.5	6.0	81.0	85.0	0.0	94.0	5.0	3.0	3.0	38.0	55.0	22.0	22.0	0.0	25.0	22.5	0.0	31.0	8.0	1.0	28.5	38.0	2.0	76.0	9.0	110.0	73.0	59.0	24.0	40.0	55.0	174.0	104.0	0.0	0.0	0.0	0.0	0.0	1.0	0.5	0.0	18.0	63.0	0.0	17.0	0.0	82.0
