	SAMPLE_100008_1	SAMPLE_100008_2	SAMPLE_100008_3	SAMPLE_100137_1	SAMPLE_100137_2	SAMPLE_100137_3	SAMPLE_100177_1	SAMPLE_100177_2	SAMPLE_100177_3	SAMPLE_100200_2	SAMPLE_100200_3	SAMPLE_100206_1	SAMPLE_100206_2	SAMPLE_100206_3	SAMPLE_100217_1	SAMPLE_100217_2	SAMPLE_100217_3	SAMPLE_100248_1	SAMPLE_100248_2	SAMPLE_100248_3	SAMPLE_100255_1	SAMPLE_100255_2	SAMPLE_100255_3	SAMPLE_100256_1	SAMPLE_100256_2	SAMPLE_100256_3	SAMPLE_100257_1	SAMPLE_100257_2	SAMPLE_100257_3	SAMPLE_100261_1	SAMPLE_100261_2	SAMPLE_100261_3	SAMPLE_100267_1	SAMPLE_100267_2	SAMPLE_100267_3	SAMPLE_100306_1	SAMPLE_100306_2	SAMPLE_100306_3	SAMPLE_100337_1	SAMPLE_100337_2	SAMPLE_100337_3	SAMPLE_NTC_1	SAMPLE_NTC_2	SAMPLE_NTC_3	SAMPLE_NTC_4	SAMPLE_NTC_5	SAMPLE_NTC_6	SAMPLE_NTC_7	SAMPLE_NTC_8	SAMPLE_water1_1	SAMPLE_water2_1	SAMPLE_water3_1	SAMPLE_water4_1	SAMPLE_water5_1	SAMPLE_water6_1
Thermoproteota	26484.0	41247.0	264464.0	10781.0	32062.0	345239.5	137236.0	16013.0	305872.5	34521.0	291413.0	284480.0	1603.5	111816.0	35369.5	28659.0	104480.0	120049.0	252456.0	121536.5	90647.5	1184.0	155820.0	95268.0	1076.0	239731.0	77898.5	103048.0	317463.5	124802.0	158330.0	950930.5	14982.5	307522.0	199278.5	272012.5	139083.0	343489.5	326433.0	466317.0	534005.5	531.5	633.5	659.0	653.5	952.0	904.5	1188.0	1048.5	126615.0	221513.0	822.0	249108.0	117969.5	377929.0
Methanobacteriota	39449.5	81507.5	306370.0	15135.0	51217.5	400927.0	176089.5	28946.5	289763.5	41904.0	428382.5	348028.5	2029.5	169452.0	46514.5	39967.5	189728.5	154864.0	322604.0	148611.0	126895.5	1498.5	244003.0	134944.5	1455.5	357118.0	151122.0	121741.0	397642.5	117531.0	119087.0	602075.0	18542.5	252982.0	211552.5	343669.5	152654.5	393541.5	314986.0	601588.5	753537.5	788.0	952.0	913.5	849.0	1327.0	1122.5	1487.0	1461.5	153734.5	227874.0	1186.0	484116.5	120594.0	760981.0
Nanobdellota	69.5	209.0	647.0	30.0	52.0	1241.5	1029.0	53.5	322.0	113.5	1148.5	354.5	5.5	643.5	52.0	37.0	240.5	479.5	1055.5	293.0	79.5	1.0	375.5	224.0	8.0	547.5	213.5	163.5	595.5	361.5	144.5	743.0	68.0	634.5	600.5	823.0	320.5	802.5	550.5	1208.5	994.5	3.5	1.0	2.0	2.0	4.0	1.0	1.0	2.0	922.0	862.0	1.0	246.5	311.0	315.5
Nitrososphaerota	4703.5	10070.5	58478.0	2026.0	10250.5	77975.0	26594.5	2070.5	43052.5	7064.0	76143.0	41468.5	359.5	34968.0	5449.5	5370.5	20027.5	36179.0	50302.0	28265.0	21264.0	284.0	32605.0	19746.5	234.5	45171.5	13118.0	18117.5	56824.5	21984.5	16081.5	57018.5	4742.5	51836.0	41124.5	54620.0	31773.5	72266.0	58302.5	105554.0	92910.0	112.5	149.0	140.5	125.5	212.5	171.5	215.0	224.5	14403.5	46091.5	182.0	53879.0	20310.0	112910.0
Candidatus Aenigmatarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Bathyarchaeota	51.5	134.0	810.5	19.5	78.5	1419.5	305.0	15.5	544.5	105.0	1436.0	344.0	6.0	676.0	68.0	71.5	123.0	539.0	1220.5	340.5	126.5	4.0	384.5	226.5	3.0	600.5	142.5	190.5	459.0	217.5	116.0	975.5	109.0	450.0	958.5	761.5	277.0	971.5	879.5	1162.0	1096.0	2.0	0.0	1.5	2.0	2.5	3.5	2.0	3.0	86.0	793.0	1.0	72.0	142.5	691.0
Candidatus Nanohalarchaeota	0.0	2.0	0.5	0.0	0.0	5.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0	0.0	1.5	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	3.0	5.0	6.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Woesearchaeota	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	13.0	0.0	6.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0
Microcaldota	0.0	1.0	1.0	0.0	5.0	8.5	0.0	0.0	0.0	1.0	21.0	4.0	0.0	13.0	1.0	2.0	2.0	8.0	17.0	6.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	10.0	15.0	12.0	7.0	1.0	2.0	5.0	35.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	30.0
Candidatus Hydrothermarchaeota	2.0	0.0	1.0	0.0	0.0	7.0	0.0	0.0	4.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	2.0	0.0	3.0	1.0	3.0	1.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Thermoplasmatota	1326.5	2049.0	11493.0	371.0	1008.5	16289.0	7655.0	1023.5	9558.0	1410.0	15124.0	13562.5	58.5	6430.0	1232.5	1392.0	4257.5	6366.0	12694.5	5082.5	3521.0	44.0	6829.5	4353.0	27.0	12941.5	3493.5	3351.5	13139.5	7770.0	2966.5	14050.5	932.5	9452.5	8683.0	10090.0	5324.5	13771.0	10424.5	19558.0	25395.0	26.0	22.5	31.5	34.5	52.5	36.0	55.5	53.5	4110.0	9738.5	43.0	9268.5	4077.5	18418.5
