	SAMPLE_100008_1	SAMPLE_100008_2	SAMPLE_100008_3	SAMPLE_100137_1	SAMPLE_100137_2	SAMPLE_100137_3	SAMPLE_100177_1	SAMPLE_100177_2	SAMPLE_100177_3	SAMPLE_100200_2	SAMPLE_100200_3	SAMPLE_100206_1	SAMPLE_100206_2	SAMPLE_100206_3	SAMPLE_100217_1	SAMPLE_100217_2	SAMPLE_100217_3	SAMPLE_100248_1	SAMPLE_100248_2	SAMPLE_100248_3	SAMPLE_100255_1	SAMPLE_100255_2	SAMPLE_100255_3	SAMPLE_100256_1	SAMPLE_100256_2	SAMPLE_100256_3	SAMPLE_100257_1	SAMPLE_100257_2	SAMPLE_100257_3	SAMPLE_100261_1	SAMPLE_100261_2	SAMPLE_100261_3	SAMPLE_100267_1	SAMPLE_100267_2	SAMPLE_100267_3	SAMPLE_100306_1	SAMPLE_100306_2	SAMPLE_100306_3	SAMPLE_100337_1	SAMPLE_100337_2	SAMPLE_100337_3	SAMPLE_NTC_1	SAMPLE_NTC_2	SAMPLE_NTC_3	SAMPLE_NTC_4	SAMPLE_NTC_5	SAMPLE_NTC_6	SAMPLE_NTC_7	SAMPLE_NTC_8	SAMPLE_water1_1	SAMPLE_water2_1	SAMPLE_water3_1	SAMPLE_water4_1	SAMPLE_water5_1	SAMPLE_water6_1
Gammaproteobacteria	169777.5	315568.0	1617910.5	105946.5	144552.0	1985388.5	820217.5	82480.0	1497481.5	181757.0	2131786.0	1806296.0	9535.5	722273.5	263369.0	256122.0	894973.0	821161.0	1683753.5	913235.5	526766.0	6501.5	1085648.5	551650.5	6624.5	1370058.0	586489.5	732646.5	2143384.5	426161.5	537124.0	8974950.5	126163.0	1235820.0	1058758.0	1328028.5	1044433.0	2035107.0	1578676.0	2484523.5	3073348.0	3121.0	3714.0	3851.5	3798.0	5456.5	4739.5	7337.0	6274.5	676519.5	1390555.0	4863.0	855432.0	690996.5	2981969.0
Actinomycetes	148783.5	609999.5	1198608.5	39792.0	116134.0	1510208.0	1114077.0	147876.5	1245735.0	223426.0	1413256.5	1722474.0	7938.0	548797.0	146038.5	131331.5	661922.0	466692.5	1549621.0	602782.5	371666.0	5042.5	758684.5	510978.5	5234.0	1231808.0	355871.0	441374.0	1776139.5	1167298.0	423086.0	906294.5	51512.0	1215556.0	697747.5	1130746.0	550482.5	1417975.0	1212473.5	2938537.0	2464992.5	3032.0	3425.0	3455.5	3246.0	4852.5	4338.0	5184.5	5348.0	763171.5	1203661.0	4258.0	1132323.5	540560.5	2459782.5
Alphaproteobacteria	92010.5	205421.5	1092357.5	37081.5	113112.0	1450623.5	464783.0	43381.5	795997.0	146656.5	1516366.5	653133.0	5370.0	762938.0	85252.0	90944.5	372826.5	757296.5	1049523.0	537206.0	328099.5	4803.0	612794.0	387842.5	4354.0	821310.5	240505.5	304949.0	1060919.0	354994.5	259244.5	1149861.5	104537.0	1025515.0	837922.0	1000796.0	602914.5	1322515.0	1049358.0	2075491.5	1788217.0	1874.5	2003.5	2803.0	2527.5	3821.5	3412.0	4197.0	4297.5	242866.0	960691.5	2593.0	742934.5	340241.5	1065062.0
Betaproteobacteria	77465.5	437789.0	914627.0	36080.5	479645.5	1435081.0	368000.5	39812.0	755632.0	145767.5	1670241.5	646847.5	8816.0	817686.5	71847.0	70571.5	377951.0	846481.0	944607.0	477357.5	362967.5	4659.0	580909.5	376609.0	4645.5	863802.0	245649.0	287727.0	976244.5	302153.5	261202.0	1939120.5	92148.5	771435.5	930058.0	1243070.5	588150.0	1331841.5	1117235.0	2016506.0	1802199.0	2896.5	3908.5	2914.0	2659.0	3952.0	3440.0	4534.5	4801.5	259160.5	968197.5	4674.0	349269.5	359107.5	6182084.5
Deltaproteobacteria	959.5	2706.0	13023.5	520.0	5126.5	25073.0	6011.0	334.0	10285.0	1928.5	23153.0	6332.5	66.5	13073.5	732.5	906.5	3537.5	13248.0	12711.0	7530.0	8316.0	70.0	7214.0	4781.0	44.5	9747.5	2542.0	3736.0	10774.5	3958.0	4109.0	18246.5	1294.5	11456.5	14208.0	14976.5	8323.5	20184.5	14964.0	27609.5	19385.0	13.5	27.0	42.5	49.0	31.5	47.5	52.5	68.5	2502.0	15702.5	35.0	2945.0	4925.5	7944.5
Mollicutes	402.5	1201.5	5171.5	188.5	994.5	8982.5	2743.0	219.0	4670.0	752.5	13227.0	3832.0	28.5	6866.5	343.5	412.0	1306.0	4321.5	4894.0	2304.5	1572.5	59.5	3560.5	1750.0	28.0	4380.5	970.5	1369.0	3301.0	1648.5	1376.5	7778.0	452.5	4476.5	5898.5	7571.5	2522.5	6042.0	4466.5	8891.0	7026.5	47.0	54.0	10.5	17.5	9.0	23.5	20.0	19.5	1172.5	5301.0	78.5	87569.0	1736.0	2399.0
Myxococcia	646.0	1970.0	6967.5	305.5	1927.0	16292.5	4735.0	418.5	7421.5	1340.0	22145.5	6174.5	44.0	6916.5	546.5	970.5	4007.5	6986.5	9145.0	3892.5	3979.5	50.5	4462.5	3339.5	63.0	7529.0	2262.5	3845.5	11495.0	2323.5	4200.5	9502.5	734.0	8490.5	6896.0	7964.0	4357.0	14781.0	9951.5	20160.5	15361.5	11.5	23.5	27.0	22.5	35.5	35.5	32.5	47.5	1977.5	8553.0	12.5	3109.0	3473.0	9521.5
Chloroflexia	146.5	331.5	1671.5	76.0	209.5	2258.5	1368.0	235.0	1260.5	230.5	2636.5	1321.0	9.0	1360.0	71.5	131.5	1998.5	1612.0	1903.0	719.5	501.0	11.5	963.0	555.0	5.0	1925.5	351.5	467.5	1627.0	606.0	527.0	1854.5	151.0	1929.0	1509.5	1840.0	1086.5	3519.5	1421.5	3570.5	2186.0	4.5	4.5	6.0	3.0	6.0	12.0	6.5	5.0	445.0	2042.0	5.0	713.0	801.5	1967.0
Thermodesulfobacteria	28.5	89.0	476.0	31.0	62.0	818.0	130.5	11.0	366.5	59.0	706.5	250.5	4.0	403.5	24.5	29.0	117.0	547.5	378.5	361.5	81.0	5.0	240.5	144.0	3.0	324.0	64.5	103.0	366.0	167.5	94.0	689.0	47.5	412.5	560.0	512.5	365.0	578.5	476.5	1004.5	712.5	0.0	0.0	0.0	3.0	1.0	1.0	2.0	3.0	41.5	616.0	1.5	121.5	211.0	205.5
Deferribacteres	114.5	203.5	1135.0	62.5	138.5	2088.5	603.0	30.0	793.5	193.0	1852.0	794.0	3.0	843.0	82.0	42.5	333.0	870.5	1066.5	530.5	315.5	8.0	497.0	508.0	1.0	803.5	202.5	319.5	897.0	446.0	339.5	1614.0	117.0	866.0	1034.0	1160.0	782.5	1752.5	1180.0	1815.0	1533.0	1.0	3.0	3.0	3.0	5.5	1.0	1.5	3.0	250.5	1233.0	0.0	250.0	418.0	668.0
Acidimicrobiia	397.0	1015.5	4570.5	204.5	478.0	6455.0	3710.5	278.5	5587.5	661.5	5362.5	3526.0	43.0	2886.0	311.5	479.5	1906.0	3198.0	6190.0	4506.5	1344.5	19.0	2722.5	2022.0	22.0	3960.5	1074.5	2192.0	5566.5	2010.5	1513.5	5296.5	308.5	4714.5	3145.0	3808.0	2117.0	7396.5	4471.5	10266.0	7635.0	7.5	8.0	12.0	14.0	16.5	15.0	23.5	18.5	1789.0	4939.0	16.5	1973.5	1986.5	6394.0
Rubrobacteria	335.0	358.0	2546.5	88.0	222.0	3503.0	1413.0	527.0	1997.5	246.5	2762.0	3131.0	17.0	1413.5	242.5	222.0	1393.5	1117.5	2733.0	1181.0	1086.5	8.0	1412.5	1264.5	13.0	1844.0	641.0	1157.0	2912.5	1124.0	856.5	2825.0	157.0	2811.5	2158.5	1487.0	1165.0	11391.0	5602.5	3442.5	3890.0	8.5	11.5	7.0	5.0	7.5	4.5	8.5	14.5	996.5	2519.5	9.0	2362.0	1975.5	8690.5
Coriobacteriia	472.0	992.5	4520.5	174.5	435.5	12028.0	4823.5	609.0	2948.0	454.5	4737.5	35095.0	28.0	2651.5	487.0	612.5	1512.5	2678.0	3300.5	1534.0	1138.5	26.0	2220.0	1641.0	10.5	3157.5	892.5	988.0	2894.5	1614.5	5349.0	36037.5	400.5	3650.0	2958.5	26115.5	2044.0	6785.5	4953.0	7448.5	10480.0	11.5	12.0	7.5	15.5	15.5	20.0	24.5	15.5	1443.0	3545.5	19.5	10563.5	3137.5	5811.0
Bacilli	44568.5	297471.0	345256.0	23628.5	54776.0	630222.5	287539.0	86947.5	403932.5	65860.0	580138.5	514609.5	2928.0	324364.0	86625.5	62466.0	425224.5	178931.5	474107.0	206549.0	149093.0	2663.5	344591.5	196058.5	2167.5	786965.0	142491.0	159047.5	578008.5	212339.0	171340.0	1758439.0	22814.0	366809.5	444586.0	387153.0	235190.0	539277.5	479466.0	787315.5	1023738.5	1765.0	1807.5	1222.5	1130.5	1758.0	1674.5	2016.0	1979.5	433520.5	337093.5	2370.0	1871354.5	178564.5	619172.0
Flavobacteriia	9551.5	51107.0	96557.5	4162.0	15125.0	168926.5	42508.5	6784.0	81786.0	14099.0	175094.5	77520.5	593.5	74564.5	14863.5	14733.0	38649.0	78854.5	201638.5	59005.5	31211.5	531.5	88359.0	41755.0	637.5	281322.5	26895.5	34668.5	124116.5	30251.0	35447.5	110318.5	7952.5	84992.0	79041.0	96802.5	53915.0	176107.5	109871.0	207617.5	207239.5	149.0	187.5	284.5	273.5	403.5	364.5	445.0	441.5	28454.5	93885.0	257.0	72738.5	38859.0	72134.5
Sphingobacteriia	2285.0	4227.5	24416.0	841.5	3315.5	31336.5	12074.0	794.0	15670.0	3077.5	35543.0	16100.0	144.0	19665.5	3521.0	2636.5	9666.0	16783.5	30530.5	10841.5	8854.0	130.5	11131.5	9307.5	119.0	21644.0	6503.0	7646.0	30646.0	6754.0	5095.5	22819.0	1802.0	27321.0	20214.0	21361.5	11283.0	29503.5	26250.5	40780.5	34095.5	44.5	42.5	54.0	48.0	63.0	59.5	84.5	84.0	5680.0	20724.5	60.0	26098.5	6370.0	9881.5
Chrysiogenia	17.0	37.0	202.0	11.5	32.0	339.5	110.0	3.5	162.5	43.0	308.0	150.0	1.0	203.5	6.0	15.0	44.0	175.0	231.5	128.5	99.5	1.0	146.0	68.0	0.0	165.0	80.5	42.0	97.5	39.0	105.5	278.5	28.0	143.5	227.5	282.5	92.0	254.5	199.0	242.0	374.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	81.5	237.0	1.0	212.0	44.0	67.0
Spartobacteria	86.5	182.0	654.5	26.5	143.5	1200.0	466.0	21.5	506.0	136.0	1355.5	565.0	5.0	653.5	85.5	75.0	425.5	689.0	751.0	441.5	228.0	5.0	874.5	445.5	2.0	744.0	357.0	344.0	690.5	386.0	255.0	927.0	89.5	690.0	758.0	807.0	400.5	1147.0	1056.0	2172.0	1496.0	0.0	1.0	3.0	3.5	2.0	3.0	3.0	4.5	358.0	1142.5	2.5	171.5	230.0	376.5
Clostridia	14835.5	38330.5	175992.0	10242.0	18339.5	316293.5	144251.5	22253.0	145157.5	28353.0	278557.0	536787.0	1507.5	86721.5	13908.0	28522.0	212251.5	109977.5	257743.5	127730.5	61919.5	902.0	163942.0	67860.0	1085.5	267161.5	43435.0	59872.0	407097.0	83201.5	59407.5	2793398.0	12364.5	148874.5	133758.0	629052.0	171316.0	247574.5	161659.5	296183.5	584451.5	566.5	582.5	560.5	568.0	889.0	760.5	1515.0	1019.5	221583.5	178760.0	758.0	156447.5	180609.5	296615.0
Aquificia	296.0	159.0	873.0	35.5	140.5	1367.5	324.0	32.0	556.5	106.0	1451.0	534.5	5.0	891.0	39.5	52.5	259.5	808.0	993.5	307.5	238.5	5.5	404.0	246.0	3.0	455.0	163.5	201.5	633.0	325.0	292.0	1232.0	115.0	790.0	1028.5	899.5	491.0	991.0	850.0	1462.0	1052.0	1.0	1.0	5.0	4.0	2.0	1.0	4.5	3.5	177.5	1049.5	2.0	98.0	284.5	389.5
Thermotogae	119.5	382.5	1792.5	82.5	192.5	3868.0	918.5	162.0	1074.5	274.0	3286.0	911.5	7.0	2104.5	209.0	102.5	449.5	1970.0	1771.5	783.0	570.5	8.5	882.5	632.5	6.0	1287.5	275.5	279.0	1240.5	584.0	496.5	2607.0	277.5	1718.0	2151.0	2262.0	1132.5	2604.5	1758.5	3452.5	1972.5	1.0	3.0	3.0	5.5	9.0	7.0	5.5	6.0	398.0	2191.5	4.0	413.0	745.0	830.0
Deinococci	25578.5	7389.5	27942.5	1326.0	3565.5	54078.0	12164.0	1726.0	40993.5	3903.0	59900.5	22763.0	186.5	30811.0	1928.0	12258.5	20645.0	27242.0	48161.0	18808.0	32707.0	182.0	23736.0	21001.0	193.0	36480.0	9419.5	10348.0	57921.5	16992.0	16096.5	38587.5	2330.5	30269.0	23105.5	42436.5	21197.0	51477.0	36871.0	86277.5	50474.0	81.5	77.0	87.0	85.5	141.0	114.5	155.0	139.0	37458.5	42224.0	92.0	16536.5	11584.5	40646.0
Thermomicrobia	221.0	388.5	1622.5	55.5	108.5	2088.5	1307.5	76.5	960.5	172.5	1587.5	1170.0	7.5	854.0	113.0	95.5	732.5	859.5	2468.0	808.0	733.0	6.5	939.5	668.0	7.0	1385.0	479.5	523.5	1709.5	638.0	454.5	1598.5	82.5	1078.0	840.5	1131.5	702.0	1851.5	1483.0	3863.5	2931.5	4.5	1.5	3.0	2.5	4.0	4.5	3.5	10.0	811.0	1337.0	7.5	766.5	785.0	3465.5
Chlorobiia	156.5	409.0	2207.5	110.0	855.5	4069.5	735.0	44.0	1765.5	363.0	3556.5	1172.5	11.5	1975.5	117.0	133.0	488.0	2015.5	1723.0	1055.0	805.5	10.5	1177.0	692.0	7.0	1805.5	347.0	567.5	1446.5	774.5	647.0	2726.5	264.0	1617.0	2184.0	2316.0	1376.0	2952.5	1984.0	3667.0	2135.0	4.5	6.0	5.0	8.0	6.0	9.5	5.5	8.5	588.5	2680.0	3.5	419.5	737.0	722.5
Bacteroidia	3121.0	20522.5	34976.5	1981.0	10097.5	72106.0	45850.0	6294.0	62145.5	6402.5	74747.5	93368.5	273.0	21757.0	5245.5	2799.0	14506.0	20307.5	34769.5	15094.0	12024.0	202.5	28350.0	19319.5	166.5	44845.0	8104.0	11393.5	43074.5	17608.0	10664.5	38748.0	2196.0	24983.0	23070.0	212773.5	15638.5	36792.5	34955.0	100544.5	98898.0	80.0	79.0	123.0	103.0	197.5	171.0	263.5	199.5	12762.0	25186.5	108.0	47401.5	17394.5	33282.5
Dictyoglomia	43.0	167.0	712.0	18.0	80.5	1293.5	360.0	16.0	578.0	76.5	1143.0	275.0	3.0	705.5	25.0	16.5	156.5	638.5	1037.0	230.0	130.5	1.0	376.0	183.5	2.0	325.0	143.0	137.0	274.5	331.0	112.0	1054.5	95.5	663.0	881.5	786.0	360.0	833.5	689.0	1169.0	1724.5	2.0	2.5	2.0	3.0	3.0	3.0	3.0	3.0	90.0	716.5	1.0	94.5	307.0	146.0
Fusobacteriia	1408.5	10876.0	16625.5	460.5	1149.5	23216.0	18843.0	4982.5	17824.0	1777.0	17582.0	31358.5	109.5	8536.5	1521.0	1153.0	6136.0	3809.0	19678.0	4653.5	3795.5	66.0	13383.5	4442.0	83.0	11574.5	3894.0	4120.0	37935.0	3564.5	3623.0	8759.0	403.0	6708.0	4941.0	8806.5	4938.5	12030.5	10548.0	53674.0	31218.0	45.0	35.0	47.5	48.0	74.0	75.5	70.5	91.5	10803.0	10547.0	52.5	21233.0	5093.5	16483.5
Verrucomicrobiia	717.0	1128.5	6626.0	245.5	721.0	12508.0	3183.0	204.5	4202.0	972.0	10712.5	3754.0	41.0	5610.0	397.5	514.0	3196.5	6256.0	5493.0	2980.5	2234.5	32.5	4050.0	2868.5	33.0	5085.5	1693.0	1739.5	5958.0	2751.0	2118.5	11645.5	715.5	4932.0	6268.0	8141.5	3592.5	8594.0	6449.5	12312.5	9262.5	5.5	10.5	11.5	17.5	19.5	29.0	26.5	15.0	1648.0	6194.0	17.5	1563.5	2369.0	5013.5
Planctomycetia	5837.5	16237.0	96828.0	3088.5	8317.5	142152.0	32328.5	2054.0	50065.0	12841.5	141551.5	43575.0	419.0	77534.0	3601.5	5045.0	23516.0	78139.5	40836.0	34403.0	25347.5	393.0	37469.0	32262.0	388.0	72067.0	16505.0	22442.0	74633.5	25919.0	41304.5	135633.5	10523.5	68346.5	92835.5	88632.0	53848.5	106279.5	95248.0	192994.5	110023.5	90.0	94.5	213.5	199.5	300.5	273.5	343.0	302.5	9640.0	61709.0	139.5	15829.0	19921.0	37024.0
Spirochaetia	906.5	3331.5	11168.5	484.0	1451.0	22307.0	8303.0	343.0	13964.0	1678.0	22478.5	8463.5	48.5	9099.5	815.0	502.0	3029.5	8473.0	9258.0	5534.5	3087.5	49.5	5479.0	4577.0	49.0	9313.5	2220.0	2998.0	8729.5	5045.5	3418.0	13892.0	1110.5	8695.0	10165.5	11734.5	6722.0	18014.5	9855.0	22437.0	18725.0	21.0	24.0	38.0	33.5	42.5	42.5	46.0	47.5	2461.5	11302.5	25.0	3545.5	4092.5	6950.5
Nitrospiria	226.0	562.0	2705.5	85.5	368.0	8733.5	1715.0	73.0	2176.5	356.5	4331.5	1485.5	10.5	2535.5	902.0	121.5	1081.0	2239.0	2835.5	1823.5	875.0	25.0	1521.5	942.0	11.5	2609.0	656.5	727.0	2878.0	706.0	2492.0	3068.5	232.5	2348.5	2714.5	3430.0	1813.0	4293.5	2706.5	6211.0	3841.5	6.5	2.0	10.5	9.0	6.0	8.0	8.0	9.5	544.5	2983.5	8.0	1114.5	1081.0	5284.5
Chlamydiia	882.5	1766.5	8964.0	454.5	1379.0	15917.5	2833.5	241.5	6267.0	1625.0	18799.0	7484.5	49.5	7044.5	652.5	645.0	3365.5	8607.5	7555.5	6441.5	4374.5	45.5	5967.0	4205.0	43.5	8248.0	2085.5	4174.5	11462.0	3639.0	3757.0	12157.5	723.5	9115.5	8289.0	11608.5	7530.0	16640.0	10906.5	24588.0	18017.5	16.0	8.0	34.5	27.0	33.5	38.0	47.5	72.0	1748.5	7769.5	19.5	2398.5	2775.0	5414.5
Fibrobacteria	31.0	106.0	907.5	23.0	118.5	1032.5	187.0	30.0	483.5	69.0	868.5	387.0	3.0	677.5	19.0	26.5	120.5	977.0	598.5	497.5	150.5	3.0	353.0	183.5	4.0	423.0	114.0	131.5	335.0	154.5	106.5	599.0	70.0	770.0	651.5	561.0	424.5	744.0	525.5	2250.5	826.5	2.0	1.0	3.0	2.0	0.0	2.0	4.0	3.0	36.0	1027.0	0.0	105.0	241.0	173.5
Terriglobia	407.0	1023.0	4830.0	189.5	570.5	9746.0	2278.5	184.5	21164.0	591.5	7189.5	2061.0	36.5	4359.5	280.0	238.0	1258.0	4167.0	4243.0	2225.5	1473.5	33.5	2262.0	1594.0	22.0	3201.5	844.5	1315.5	3016.5	1320.5	3431.0	6042.0	519.0	3649.5	4437.5	5006.0	2868.0	6272.0	4152.5	8296.0	5941.5	4.5	6.5	11.0	11.0	10.5	17.5	19.0	19.5	757.0	4577.5	7.0	1170.0	1692.0	3899.0
Gemmatimonadia	421.0	758.5	3269.5	136.0	400.0	6896.5	1975.0	233.0	4905.5	828.0	6015.0	2294.0	22.5	3093.5	219.0	1029.5	1505.5	3019.5	4072.5	2480.0	1462.0	23.0	1885.0	1817.5	24.0	3967.0	1198.5	1382.5	3708.5	1379.5	1719.0	3875.5	303.0	4213.5	2570.5	3793.5	2123.0	5217.0	3537.0	8850.0	9835.5	8.0	5.0	16.0	4.0	26.5	18.0	17.0	28.0	1250.5	3742.5	15.0	2934.0	1264.0	3761.5
