	SAMPLE_100008_1	SAMPLE_100008_2	SAMPLE_100008_3	SAMPLE_100137_1	SAMPLE_100137_2	SAMPLE_100137_3	SAMPLE_100177_1	SAMPLE_100177_2	SAMPLE_100177_3	SAMPLE_100200_2	SAMPLE_100200_3	SAMPLE_100206_1	SAMPLE_100206_2	SAMPLE_100206_3	SAMPLE_100217_1	SAMPLE_100217_2	SAMPLE_100217_3	SAMPLE_100248_1	SAMPLE_100248_2	SAMPLE_100248_3	SAMPLE_100255_1	SAMPLE_100255_2	SAMPLE_100255_3	SAMPLE_100256_1	SAMPLE_100256_2	SAMPLE_100256_3	SAMPLE_100257_1	SAMPLE_100257_2	SAMPLE_100257_3	SAMPLE_100261_1	SAMPLE_100261_2	SAMPLE_100261_3	SAMPLE_100267_1	SAMPLE_100267_2	SAMPLE_100267_3	SAMPLE_100306_1	SAMPLE_100306_2	SAMPLE_100306_3	SAMPLE_100337_1	SAMPLE_100337_2	SAMPLE_100337_3	SAMPLE_NTC_1	SAMPLE_NTC_2	SAMPLE_NTC_3	SAMPLE_NTC_4	SAMPLE_NTC_5	SAMPLE_NTC_6	SAMPLE_NTC_7	SAMPLE_NTC_8	SAMPLE_water1_1	SAMPLE_water2_1	SAMPLE_water3_1	SAMPLE_water4_1	SAMPLE_water5_1	SAMPLE_water6_1
Myxococcales	646.0	1970.0	6967.5	305.5	1927.0	16292.5	4735.0	418.5	7421.5	1340.0	22145.5	6174.5	44.0	6916.5	546.5	970.5	4007.0	6986.5	9145.0	3892.5	3979.5	50.5	4462.5	3338.5	63.0	7529.0	2262.5	3845.5	11495.0	2323.5	4200.5	9502.5	734.0	8490.5	6896.0	7964.0	4356.0	14781.0	9951.5	20160.5	15361.5	11.5	23.5	27.0	22.5	35.5	35.5	32.5	47.5	1977.5	8553.0	12.5	3109.0	3473.0	9521.5
Planctomycetales	1668.5	4919.0	27802.5	843.0	2385.0	44009.5	10863.0	640.5	14494.0	3600.5	39522.0	11852.5	107.5	23562.5	1023.0	1332.5	7308.0	23095.0	15936.5	10295.5	7426.0	129.0	10891.0	8960.5	108.0	19440.5	4656.5	6314.5	18837.5	7435.5	17275.0	47674.5	2883.5	21799.0	28520.5	25088.5	15767.5	32110.0	24366.5	51299.0	31050.5	24.5	26.0	72.5	59.0	74.5	78.5	94.5	87.0	2784.0	20538.0	39.0	4481.0	6094.5	11045.5
Spirochaetales	430.5	2419.0	5949.5	297.5	790.5	14112.0	6448.5	218.5	9572.5	937.5	16232.5	5148.0	30.0	5400.0	574.0	251.5	1660.5	4968.0	5545.0	3476.5	1772.5	29.0	3210.5	2881.5	25.0	6492.5	1098.0	1706.0	4247.5	2769.5	1265.0	7651.5	625.0	4944.0	5648.0	5791.5	4163.5	8395.0	5083.5	13366.0	12791.0	6.0	15.0	25.0	22.5	22.0	25.5	34.5	33.0	1178.0	6387.0	13.5	1689.5	2495.0	3856.5
Hyphomicrobiales	33092.5	80437.5	447121.0	17366.5	55658.5	654795.0	166576.0	14030.5	293151.5	67424.5	687176.5	235307.5	2205.5	342410.5	29519.0	36433.5	127074.0	366411.5	301870.5	247358.5	136924.5	1911.0	209700.5	168842.5	1917.5	326270.0	90492.0	123148.5	412050.5	163693.0	106456.0	584846.5	47919.0	429304.5	421953.0	456838.5	265664.5	637903.0	480118.5	921417.5	700626.0	646.5	668.0	1235.0	1072.5	1636.5	1564.5	1835.0	1863.5	68752.5	367454.5	872.0	161589.0	118051.5	361930.0
Rickettsiales	729.5	2042.0	10584.5	422.0	1361.0	17808.0	4093.0	221.0	6559.0	1525.5	18312.5	4956.0	55.0	10093.5	590.5	550.5	3027.0	10160.5	7929.0	5420.0	2807.5	56.5	4771.5	3219.5	56.0	7371.0	1817.5	2516.0	7315.5	2982.0	2638.0	17084.0	1600.5	28948.5	11930.5	10325.0	6407.5	15495.5	9716.0	19978.0	13220.0	29.5	20.5	32.0	24.5	46.0	41.0	51.5	41.0	1254.0	9409.5	20.5	9831.5	2916.0	6162.5
Chroococcales	1004.5	2083.0	12082.0	402.5	913.5	14023.0	4796.5	371.0	7757.0	1788.0	19159.5	5824.0	60.0	7037.0	518.5	584.5	3694.5	7974.5	6410.5	5786.0	4583.0	51.5	6898.0	4129.0	54.5	11404.0	2433.5	3091.0	8865.0	3597.5	2526.5	11177.5	809.0	9310.5	7388.5	10128.5	6862.0	14428.5	9909.0	23600.0	80456.0	23.5	17.5	55.5	72.0	114.0	71.0	104.5	110.0	2603.0	12153.5	23.5	5134.0	5000.0	8941.0
Oscillatoriales	1959.5	2719.5	17122.0	647.0	1457.5	27877.0	11815.0	911.0	85616.5	2048.5	24468.5	13099.0	143.5	8467.5	1412.0	930.5	6121.5	9615.5	17489.5	9893.5	6003.5	117.0	9850.0	6010.0	79.5	15355.0	7060.5	5696.5	20092.0	5294.0	4894.5	14762.5	957.0	16400.5	9843.0	13219.0	9909.5	20420.5	17544.5	37010.0	104320.5	31.5	49.5	67.5	107.0	135.0	120.0	170.5	184.5	5609.0	23982.0	65.0	9683.0	10122.5	16321.5
Nostocales	1457.5	3605.0	15300.5	669.0	1358.5	23241.0	8726.5	577.0	15811.5	4085.5	23888.0	9252.5	161.0	7714.5	1065.0	1381.0	5027.5	11061.0	16915.5	9309.5	6300.5	71.5	11610.0	6122.5	77.5	13607.0	5074.5	5743.0	16519.5	9624.5	4056.0	16830.0	1234.5	14151.0	11413.0	14277.0	11626.0	24897.0	66713.0	34926.0	481999.5	44.0	62.5	215.0	349.5	510.5	325.0	497.0	604.5	6127.0	21350.0	50.5	9743.0	8766.0	18217.5
Bacillales	23952.5	69074.5	201492.5	17499.5	38027.0	332401.0	145665.0	69126.5	250789.5	37826.0	359105.5	264476.5	1548.5	118077.5	31975.5	33439.5	152286.5	123616.0	291853.0	124308.5	85210.0	1276.0	149922.5	86004.0	1144.5	556074.5	88480.5	106713.5	299830.5	116148.0	85187.0	383014.0	14509.5	237936.0	359820.5	205621.0	171763.0	332550.5	336114.5	368831.5	716491.5	785.0	891.5	668.0	687.0	1035.0	916.5	1099.5	1232.5	264957.5	222373.5	1023.5	517835.0	105854.5	415001.5
Actinomycetales	3937.5	25971.5	38497.5	1091.0	3153.5	58310.0	33831.0	8218.0	42072.5	4959.0	42946.5	65912.0	269.0	16320.0	3497.5	3577.5	19980.5	12498.5	36699.0	13920.5	9090.0	137.0	28167.0	12454.5	139.0	35596.0	8710.5	10730.5	63812.5	30477.5	8432.5	28414.5	1596.5	26355.0	17973.5	25389.0	14933.0	35945.5	30421.0	94761.0	67502.0	78.5	91.0	87.0	102.5	152.0	130.0	152.5	146.5	13292.5	31566.0	119.5	25530.5	14339.5	72642.0
