	SAMPLE_100008_1	SAMPLE_100008_2	SAMPLE_100008_3	SAMPLE_100137_1	SAMPLE_100137_2	SAMPLE_100137_3	SAMPLE_100177_1	SAMPLE_100177_2	SAMPLE_100177_3	SAMPLE_100200_2	SAMPLE_100200_3	SAMPLE_100206_1	SAMPLE_100206_2	SAMPLE_100206_3	SAMPLE_100217_1	SAMPLE_100217_2	SAMPLE_100217_3	SAMPLE_100248_1	SAMPLE_100248_2	SAMPLE_100248_3	SAMPLE_100255_1	SAMPLE_100255_2	SAMPLE_100255_3	SAMPLE_100256_1	SAMPLE_100256_2	SAMPLE_100256_3	SAMPLE_100257_1	SAMPLE_100257_2	SAMPLE_100257_3	SAMPLE_100261_1	SAMPLE_100261_2	SAMPLE_100261_3	SAMPLE_100267_1	SAMPLE_100267_2	SAMPLE_100267_3	SAMPLE_100306_1	SAMPLE_100306_2	SAMPLE_100306_3	SAMPLE_100337_1	SAMPLE_100337_2	SAMPLE_100337_3	SAMPLE_NTC_1	SAMPLE_NTC_2	SAMPLE_NTC_3	SAMPLE_NTC_4	SAMPLE_NTC_5	SAMPLE_NTC_6	SAMPLE_NTC_7	SAMPLE_NTC_8	SAMPLE_water1_1	SAMPLE_water2_1	SAMPLE_water3_1	SAMPLE_water4_1	SAMPLE_water5_1	SAMPLE_water6_1
Monjiviricetes	3.0	1.0	1.0	1.0	0.5	10.5	1.5	0.5	0.5	2.0	1.0	16.0	0.0	1.5	0.0	1.0	2.0	7.5	2.0	0.0	0.5	1.0	0.5	2.5	0.0	0.0	1.5	1.0	13.5	0.5	1.0	0.5	0.5	0.0	4.5	0.5	0.0	2.0	1.0	2.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Insthoviricetes	0.0	0.0	30.0	0.0	1.0	9.0	0.0	2.0	0.0	2.0	4.0	0.0	0.0	5.0	0.0	0.0	1.0	28.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	10.0	4.0	1.0	6.0	0.0	0.0	5.0	0.0	0.0	2.0	7.0	3.0	5.0	5.0	10.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0
Herviviricetes	26614.0	55337.5	280727.0	10832.5	45913.0	368410.5	155355.5	18317.5	231923.0	39748.0	377836.0	263261.5	1742.5	161439.0	34807.5	34593.0	125391.5	168382.0	278610.5	145739.5	110364.0	1315.5	180023.5	111337.5	1236.5	302869.5	73539.0	97968.0	347388.5	131552.5	86623.5	351695.5	20528.5	270948.0	207455.0	309626.0	152772.5	374164.0	305134.0	567385.5	569879.5	611.0	733.0	758.0	703.0	1176.0	992.0	1282.5	1248.5	103975.0	220790.5	899.5	310918.0	101108.0	536184.0
Caudoviricetes	97906.0	156364.5	687470.0	46486.5	124369.5	763082.0	352645.5	55976.0	644970.5	89393.0	969746.5	775233.0	4593.5	303281.5	129578.5	113417.0	357725.5	322823.0	741174.0	336614.5	304872.0	2935.5	602640.0	258849.5	3212.5	742790.5	397927.5	327161.5	933509.0	239871.5	228449.5	702807.5	46888.5	545915.5	358729.0	709526.0	328041.0	862333.5	695478.5	1268439.0	1907137.5	1533.5	2008.5	2044.5	1964.5	3047.5	2505.5	3350.5	3594.0	311717.0	455771.5	2440.0	553694.5	257026.0	1956933.5
Laserviricetes	76.5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Faserviricetes	7.0	1.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	24.0	4.0	0.0	6.5	1.0	0.0	0.0	0.0	14.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	6.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0
Malgrandaviricetes	0.0	0.0	0.0	0.0	2.0	8.0	0.0	0.0	0.0	0.0	13.0	1.5	0.0	9.0	0.0	3.0	3.0	0.0	14.0	0.0	0.0	0.0	0.5	0.5	0.0	0.5	0.0	0.0	1.0	14.0	0.5	3.0	0.0	0.0	3.0	4.0	4.0	5.0	3.0	0.0	26.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Papovaviricetes	0.5	14.0	14.5	3.0	1.0	27.5	0.0	1.0	0.0	1.0	107.5	66.0	0.0	0.0	0.0	3.5	1.0	9.0	1.0	29.0	13.0	0.0	0.0	6.0	0.0	68.0	1.0	10.0	0.0	9.5	7.0	1.0	0.0	0.0	11.0	17.0	0.0	0.0	21.0	0.0	22.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	61.5	64.5	111.0
Quintoviricetes	4.0	45.0	114.0	6.0	13.0	231.0	67.0	0.0	30.0	37.0	162.0	96.5	0.0	190.0	4.0	0.0	16.0	133.5	217.5	33.0	12.0	1.0	71.0	33.5	1.0	81.0	14.0	0.0	35.0	17.5	23.0	177.0	5.5	71.0	131.5	178.0	38.0	117.5	67.0	205.5	216.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	7.0	202.0	0.0	2.0	79.0	41.0
Arfiviricetes	0.0	0.5	24.5	0.0	0.0	9.5	9.0	0.0	5.0	2.0	3.0	0.0	0.0	3.5	0.0	1.0	2.0	1.5	14.5	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.5	0.0	1.0	78.5	0.0	4.0	8.5	1.0	13.0	26.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Repensiviricetes	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	3.0	11.5	0.0	0.0	4.0	0.0	0.0	0.0	1.0	6.0	0.0	0.0	0.0	261.5	0.0	0.0	0.0	0.0	0.0	16.0	0.0	6.0	7.0	1.0	15.0	3.0	0.0	0.0	1.0	0.0	40.0	150.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0
Chrymotiviricetes	28.0	53.5	20.0	0.0	0.0	24.0	0.0	11.0	0.0	1.0	30.0	60.0	1.0	13.0	10.0	5.0	6.5	7.0	74.5	14.0	15.0	1.0	359.5	125.5	0.0	203.0	28.0	54.0	40.5	20.0	159.0	59.0	1.0	552.5	0.0	67.0	0.0	59.0	28.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
Resentoviricetes	1219.5	2453.0	11501.5	680.5	2311.5	17453.0	7835.5	1270.5	13275.5	2151.0	17355.0	15620.5	93.0	5891.0	1623.0	1511.5	6619.5	6621.0	12934.5	5857.5	4920.0	62.0	8005.0	5121.5	49.5	13741.5	3538.5	5214.5	15797.5	7904.0	4742.5	28247.0	906.0	11070.5	8902.0	19391.0	7155.0	16491.0	13401.5	24155.5	24535.5	35.0	33.5	35.0	24.0	42.0	57.0	59.0	51.0	9764.5	9911.0	50.5	16131.5	5080.0	37428.0
Vidaverviricetes	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alsuviricetes	746.0	2543.5	8474.0	358.5	982.5	13545.5	5825.5	476.0	4813.0	941.5	13025.0	7628.0	143.0	4134.0	622.5	1678.0	10365.5	7451.0	10563.0	7382.0	3083.0	46.0	7300.5	11650.0	46.0	7143.5	1963.0	6419.5	15178.5	2846.5	2262.5	141519.0	606.5	11280.0	6126.0	10092.0	6649.5	12129.0	5840.0	20202.5	50292.0	49.0	71.0	46.0	57.0	86.0	58.0	104.0	84.5	9373.5	10559.0	58.5	5892.5	3563.5	102537.5
Flasuviricetes	788154.0	700363.0	2062647.0	724.0	90.0	2028.0	1997.5	1858.5	4186.5	506.0	1085.0	6650.5	5432.5	3272.5	5245047.5	443396.0	11680967.5	591538.5	1549578.0	2320453.5	285018.5	6023.5	8068322.5	9130.0	4720.0	117040.5	4564.0	7059.5	8244.0	24092.5	2394436.0	1959448.5	2099.5	2434.0	2418.0	3292.0	3098.5	1826.0	4962.5	54961.5	182.5	39.0	53.0	265.5	164.0	51.0	559.0	762.5	807.0	144.0	95.0	11.0	350.0	408.5	469.0
Tolucaviricetes	13.0	21.0	258.0	8.0	31.0	260.0	43.0	0.0	118.0	27.0	210.0	72.5	2.0	112.0	5.0	12.0	50.0	155.0	75.0	45.0	84.0	0.0	38.0	83.0	0.0	14.0	35.0	35.0	154.0	50.0	50.0	244.5	17.0	73.0	135.0	139.5	220.5	271.0	156.5	434.0	182.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	23.0	153.0	1.0	13.0	83.0	78.5
Magsaviricetes	1.0	4.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	5.0	0.0	6.0	0.0	0.0	12.0	5.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	10.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	3.0	8.0	1.0	0.0	10.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.5	0.0
Amabiliviricetes	8.0	7.0	7.5	1.0	1.0	21.0	6.5	1.5	6.0	196.5	53.5	10.0	0.0	11.0	0.0	1.0	0.0	19.0	27.0	18.0	9.5	0.0	4.0	6.0	0.0	15.0	0.0	12.5	18.0	0.0	9.0	53.0	0.0	36.0	22.0	17.5	4.0	8.5	13.0	37.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	25.0	0.0
Howeltoviricetes	83.5	68.0	910.5	27.0	88.0	537.5	345.0	98.0	1828.0	42.5	329.0	1590.0	6.0	63.5	101.5	45.5	1055.5	65.5	283.5	281.0	259.5	4.5	423.5	675.0	3.0	906.5	124.5	472.0	1941.0	502.0	2183.0	5298.0	8.5	389.0	432.0	552.5	732.0	2109.5	1998.5	738.5	682.5	2.0	2.0	3.0	1.0	0.0	2.0	1.5	0.5	458.5	453.5	3.0	1920.0	531.5	1935.0
Miaviricetes	16.5	0.0	86.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	11.0	9.0	0.0	0.0	74.5	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Duplopiviricetes	1440.0	4609.5	18567.0	1521.0	1980.0	23546.5	11917.5	668.5	13849.5	1807.0	22017.5	23741.5	118.5	8005.5	3294.5	7729.5	19879.5	8353.0	16569.5	18364.0	4684.0	69.0	15167.0	6396.5	89.5	18148.5	6501.5	9624.0	43855.0	5949.0	15579.0	169279.5	1375.0	16732.5	10731.0	18060.5	12807.0	34549.5	15961.0	24378.0	43369.0	50.5	56.0	45.5	57.0	74.0	57.0	93.5	79.5	28279.0	28098.0	72.5	14851.0	16204.5	29497.0
Pisoniviricetes	2735.5	1679.5	10066.5	439.0	741.0	16045.0	5843.5	234.5	5455.0	1446.0	17816.5	31069.5	55.5	11548.5	444.0	1383.5	3139.0	11256.5	6758.0	4378.5	3408.0	50.0	4319.5	3908.0	50.5	8121.5	2053.0	2890.5	8274.5	3002.0	13174.0	29384.5	624.0	6622.0	10102.5	9951.5	6157.0	11353.0	9549.5	23620.5	12000.0	15.0	9.0	29.0	34.5	41.0	34.0	43.5	40.0	1162.0	6040.5	21.0	1371.5	2333.5	13857.0
