	SAMPLE_100008_1	SAMPLE_100008_2	SAMPLE_100008_3	SAMPLE_100137_1	SAMPLE_100137_2	SAMPLE_100137_3	SAMPLE_100177_1	SAMPLE_100177_2	SAMPLE_100177_3	SAMPLE_100200_2	SAMPLE_100200_3	SAMPLE_100206_1	SAMPLE_100206_2	SAMPLE_100206_3	SAMPLE_100217_1	SAMPLE_100217_2	SAMPLE_100217_3	SAMPLE_100248_1	SAMPLE_100248_2	SAMPLE_100248_3	SAMPLE_100255_1	SAMPLE_100255_2	SAMPLE_100255_3	SAMPLE_100256_1	SAMPLE_100256_2	SAMPLE_100256_3	SAMPLE_100257_1	SAMPLE_100257_2	SAMPLE_100257_3	SAMPLE_100261_1	SAMPLE_100261_2	SAMPLE_100261_3	SAMPLE_100267_1	SAMPLE_100267_2	SAMPLE_100267_3	SAMPLE_100306_1	SAMPLE_100306_2	SAMPLE_100306_3	SAMPLE_100337_1	SAMPLE_100337_2	SAMPLE_100337_3	SAMPLE_NTC_1	SAMPLE_NTC_2	SAMPLE_NTC_3	SAMPLE_NTC_4	SAMPLE_NTC_5	SAMPLE_NTC_6	SAMPLE_NTC_7	SAMPLE_NTC_8	SAMPLE_water1_1	SAMPLE_water2_1	SAMPLE_water3_1	SAMPLE_water4_1	SAMPLE_water5_1	SAMPLE_water6_1
Methanobacteriaceae	1322.0	3070.0	15551.5	543.0	7327.0	24446.0	7513.5	535.0	12475.0	2405.0	26408.5	13609.5	139.0	12807.0	2242.5	1693.5	6043.0	13477.0	15655.0	7734.5	5796.0	85.5	8707.0	5615.0	70.0	15046.5	4226.5	3858.5	15400.5	4735.5	4009.5	20116.0	1407.5	13941.5	19026.0	23640.0	9622.5	23691.0	31826.5	28585.5	36205.0	44.0	63.0	37.0	50.0	72.5	49.5	70.0	85.0	4470.0	15259.5	75.5	6450.5	5620.0	98334.0
Methanothermaceae	2.0	7.0	23.5	2.0	5.0	55.0	25.5	1.0	4.5	13.0	69.0	21.0	0.0	23.0	0.0	2.0	22.0	45.0	21.5	15.0	11.0	1.0	30.0	9.0	0.0	40.5	8.5	0.0	19.0	248.0	2.0	40.0	1.0	27.0	32.5	30.0	25.0	81.0	53.5	23.5	180.5	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	27.0	0.0	0.0	1.0	0.0
Methanococcaceae	932.5	1478.5	9074.0	343.5	1185.0	10852.0	6003.0	935.0	9624.0	1164.0	10747.0	12256.0	70.5	3102.5	1811.5	1639.0	5365.0	3536.5	8886.0	4145.5	3164.0	31.0	6387.0	3581.5	43.0	11491.0	2490.0	4282.5	15123.0	6363.5	3245.5	10741.5	352.5	7496.5	4684.0	9629.5	4216.5	11471.5	10433.5	16478.5	19076.0	19.5	21.5	22.5	21.5	30.5	41.0	46.0	33.0	5585.5	6435.0	34.5	11775.0	4149.5	24754.0
Methanomicrobiaceae	244.0	407.0	1808.5	177.5	110.0	1799.5	1137.0	105.0	2386.0	223.5	2420.5	2693.5	12.5	1242.5	289.5	208.5	583.5	730.5	3168.5	775.0	795.5	11.5	1406.0	804.0	6.5	3489.5	1538.0	659.0	1535.0	286.5	335.5	1237.5	105.0	919.0	868.5	857.5	688.0	1401.0	990.5	3982.5	1915.5	2.5	2.0	7.0	3.5	4.0	3.0	6.5	5.5	387.5	1404.5	3.5	5165.0	482.5	900.5
Methanosarcinaceae	1286.0	2564.5	12674.5	401.5	5018.0	19108.0	7833.5	1144.5	9800.0	1901.0	18482.0	20388.5	61.5	8751.5	1249.0	970.0	4424.5	8249.5	13972.5	6969.5	3667.5	58.0	8242.5	4765.5	49.0	11758.5	3120.0	3160.0	13198.0	5728.0	4684.0	17277.5	841.0	9122.5	8659.0	23891.0	5797.5	15122.5	11380.5	25141.5	21834.0	17.5	32.0	41.5	45.0	41.0	47.5	42.5	57.0	3599.0	13587.0	42.0	5983.5	4225.0	15523.0
Archaeoglobaceae	581.0	1570.5	6825.0	266.5	1178.0	11103.5	3086.5	465.5	4354.5	1032.0	10163.5	5592.0	85.5	5250.5	618.5	738.5	2349.0	5155.5	6805.5	4267.0	4416.0	24.0	4268.5	2490.5	37.5	6287.0	1855.5	2347.0	6701.5	2138.5	2256.5	7464.5	683.0	5715.0	5503.0	7016.5	3884.0	9212.5	7937.5	14085.0	12594.5	28.5	31.5	18.0	18.0	28.0	35.5	20.0	30.0	2061.5	7363.5	37.0	2710.0	2265.5	67385.0
Halobacteriaceae	602.5	1345.5	4590.5	273.5	994.5	7113.5	2798.0	2980.5	3794.0	1086.0	6984.5	5750.5	35.0	2926.5	814.0	848.0	3218.0	2820.0	6572.0	3320.0	2213.5	25.0	3493.5	2038.5	31.0	15718.0	1812.0	2607.5	8544.0	3345.5	1866.5	4610.0	259.0	4386.0	5619.5	4795.5	3091.5	6901.0	7320.5	9633.0	17799.5	16.0	16.0	10.5	18.5	25.5	17.5	22.5	27.0	6791.5	5296.5	20.0	6024.0	2230.0	6424.5
Thermococcaceae	724.0	1121.5	6850.5	308.0	1034.0	9882.0	4844.0	577.0	8771.0	889.0	9617.5	7944.0	49.0	3040.0	885.0	688.0	3181.0	3329.0	6559.5	3434.0	2632.5	21.0	5126.0	2665.5	26.0	7524.0	1991.0	2470.0	7467.0	3880.0	2811.5	5837.5	518.5	6196.0	4055.5	7749.0	3437.5	8204.0	7042.5	13561.5	23361.0	27.0	26.5	28.0	27.5	36.0	31.5	43.5	36.0	3055.0	6569.0	36.0	5893.5	2697.5	19302.0
Thermoproteaceae	3585.0	6281.0	33674.0	1659.0	4948.5	50793.5	27263.0	2049.5	28473.5	5041.0	45329.5	41106.5	236.0	22408.0	5655.0	5022.0	14846.5	20547.5	42277.0	17275.0	10874.0	167.5	23049.0	14675.0	192.5	39227.0	10164.5	12287.5	43348.5	29040.5	10609.0	37398.0	3049.5	33748.5	24497.0	43667.5	18460.5	46838.5	42193.0	77001.0	67310.5	67.0	94.5	83.0	104.0	151.0	135.5	159.5	167.0	16591.0	38615.0	105.0	26681.5	15405.0	64935.0
Desulfurococcaceae	3932.5	7244.5	39327.5	1533.5	6138.0	58787.5	28767.5	2875.5	49122.0	5454.0	58670.5	38317.5	253.0	24723.5	4464.5	4221.0	16667.0	24333.5	48305.0	22135.0	15764.0	218.5	26251.5	18925.0	182.5	42556.5	10379.5	19150.0	45408.5	22271.0	12795.5	41744.5	3824.0	36138.5	29220.5	49046.0	24646.0	51383.5	47861.0	78494.5	80148.0	85.0	107.0	129.5	105.0	142.0	139.0	182.5	175.0	29202.5	41944.5	133.0	27664.0	17048.5	60746.5
Pyrodictiaceae	7328.0	10029.5	91167.0	2781.5	7298.0	130602.5	32304.0	4131.5	135218.5	8478.5	81091.5	86097.0	506.5	26990.5	8106.0	4868.5	28562.0	31633.5	75124.5	36837.0	26918.0	433.5	39315.5	28719.0	294.0	61465.5	18326.0	25858.0	97101.5	33206.5	104190.5	780783.0	3644.0	138728.5	95200.0	93368.5	53623.5	130308.5	136613.0	129333.0	165081.0	180.5	197.0	218.0	193.0	310.0	291.0	436.5	315.0	36653.0	61732.0	272.5	82124.5	52123.0	81514.0
