	SAMPLE_100008_1	SAMPLE_100008_2	SAMPLE_100008_3	SAMPLE_100137_1	SAMPLE_100137_2	SAMPLE_100137_3	SAMPLE_100177_1	SAMPLE_100177_2	SAMPLE_100177_3	SAMPLE_100200_2	SAMPLE_100200_3	SAMPLE_100206_1	SAMPLE_100206_2	SAMPLE_100206_3	SAMPLE_100217_1	SAMPLE_100217_2	SAMPLE_100217_3	SAMPLE_100248_1	SAMPLE_100248_2	SAMPLE_100248_3	SAMPLE_100255_1	SAMPLE_100255_2	SAMPLE_100255_3	SAMPLE_100256_1	SAMPLE_100256_2	SAMPLE_100256_3	SAMPLE_100257_1	SAMPLE_100257_2	SAMPLE_100257_3	SAMPLE_100261_1	SAMPLE_100261_2	SAMPLE_100261_3	SAMPLE_100267_1	SAMPLE_100267_2	SAMPLE_100267_3	SAMPLE_100306_1	SAMPLE_100306_2	SAMPLE_100306_3	SAMPLE_100337_1	SAMPLE_100337_2	SAMPLE_100337_3	SAMPLE_NTC_1	SAMPLE_NTC_2	SAMPLE_NTC_3	SAMPLE_NTC_4	SAMPLE_NTC_5	SAMPLE_NTC_6	SAMPLE_NTC_7	SAMPLE_NTC_8	SAMPLE_water1_1	SAMPLE_water2_1	SAMPLE_water3_1	SAMPLE_water4_1	SAMPLE_water5_1	SAMPLE_water6_1
Orthopoxvirus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.5	0.0	0.5	3.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Parapoxvirus	6.0	8.0	0.0	4.0	0.0	77.5	11.5	0.0	0.0	0.0	32.0	8.0	0.0	8.0	0.0	1.0	0.0	14.5	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	9.5	6.0	8.0	0.0	0.0	0.0	0.5	6.0	3.0	13.0	1.0	0.0	0.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.5	272.0
Molluscipoxvirus	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Simplexvirus	5.0	8.0	0.0	0.0	1.0	2.0	5.0	0.0	0.0	3.5	1.0	1.0	0.0	4.5	9.5	1.0	0.0	0.0	2.0	48.5	0.0	0.0	176.5	5.0	0.0	0.0	0.0	80.0	0.0	0.0	0.0	2.0	13.0	26.0	2.0	4.5	2.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Varicellovirus	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	2.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0
Cytomegalovirus	26603.5	55296.5	280712.5	10828.5	45887.0	367997.0	155332.5	18309.0	231914.0	39737.0	377507.5	263044.0	1742.5	161354.0	34793.0	34587.5	125390.0	168240.0	278295.5	145442.5	110363.5	1314.5	179841.5	111281.0	1235.5	302761.5	73531.5	97865.0	347386.5	131480.0	86548.0	351662.5	20502.5	270832.5	207424.0	309615.5	152766.5	374139.0	305083.0	567358.0	569708.0	611.0	733.0	758.0	703.0	1176.0	992.0	1282.5	1248.5	103975.0	220782.5	899.5	310894.0	101101.0	536184.0
Muromegalovirus	0.0	4.0	0.0	0.0	0.0	5.0	3.0	0.0	0.0	1.0	1.0	43.5	0.0	34.0	1.0	1.0	0.0	95.0	33.0	4.0	0.0	1.0	1.0	21.0	0.0	1.0	6.0	11.5	0.0	34.0	8.0	19.0	2.0	0.0	5.0	3.0	0.0	0.5	7.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lymphocryptovirus	5.5	29.0	13.0	3.0	25.0	404.5	13.5	7.5	9.0	4.5	278.0	97.0	0.0	14.0	4.0	3.5	1.5	7.5	126.0	187.5	0.5	0.0	2.0	29.0	1.0	107.0	1.5	10.5	2.0	35.5	46.5	10.0	0.5	86.0	22.0	3.0	2.0	7.0	44.0	21.5	169.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0
Rhadinovirus	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	0.0	32.0	0.0	0.0	0.0	15.0	145.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0
Orthohepadnavirus	5.5	5.5	1.0	34.0	66.0	40.5	1.5	13.5	3.0	13.0	9.5	2.5	0.0	1.5	182.5	24.0	5.0	1.0	6.5	29.0	1.0	0.0	14.0	4.5	0.5	2.0	12.0	23.5	1.0	62.0	113.5	1.0	1.0	13.5	0.0	363.5	10.0	2.0	13.0	1.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.5	0.0	0.0	0.0	0.0
