	SAMPLE_100008_1	SAMPLE_100008_2	SAMPLE_100008_3	SAMPLE_100137_1	SAMPLE_100137_2	SAMPLE_100137_3	SAMPLE_100177_1	SAMPLE_100177_2	SAMPLE_100177_3	SAMPLE_100200_2	SAMPLE_100200_3	SAMPLE_100206_1	SAMPLE_100206_2	SAMPLE_100206_3	SAMPLE_100217_1	SAMPLE_100217_2	SAMPLE_100217_3	SAMPLE_100248_1	SAMPLE_100248_2	SAMPLE_100248_3	SAMPLE_100255_1	SAMPLE_100255_2	SAMPLE_100255_3	SAMPLE_100256_1	SAMPLE_100256_2	SAMPLE_100256_3	SAMPLE_100257_1	SAMPLE_100257_2	SAMPLE_100257_3	SAMPLE_100261_1	SAMPLE_100261_2	SAMPLE_100261_3	SAMPLE_100267_1	SAMPLE_100267_2	SAMPLE_100267_3	SAMPLE_100306_1	SAMPLE_100306_2	SAMPLE_100306_3	SAMPLE_100337_1	SAMPLE_100337_2	SAMPLE_100337_3	SAMPLE_NTC_1	SAMPLE_NTC_2	SAMPLE_NTC_3	SAMPLE_NTC_4	SAMPLE_NTC_5	SAMPLE_NTC_6	SAMPLE_NTC_7	SAMPLE_NTC_8	SAMPLE_water1_1	SAMPLE_water2_1	SAMPLE_water3_1	SAMPLE_water4_1	SAMPLE_water5_1	SAMPLE_water6_1
Mononegavirales	3.0	1.0	1.0	1.0	0.5	10.5	1.5	0.5	0.5	2.0	1.0	16.0	0.0	1.5	0.0	1.0	2.0	7.5	2.0	0.0	0.5	1.0	0.5	2.5	0.0	0.0	1.5	1.0	13.5	0.5	1.0	0.5	0.5	0.0	4.5	0.5	0.0	2.0	1.0	2.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Nidovirales	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	69.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	6.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Picornavirales	2734.5	1676.5	10026.5	438.0	735.0	16009.0	5823.5	234.5	5451.0	1434.0	17711.5	31061.5	55.5	11539.5	444.0	1381.5	3125.0	11230.5	6748.0	4378.5	3377.0	50.0	4303.5	3900.0	50.5	8088.5	2053.0	2876.0	8234.5	2996.0	13170.0	29361.5	624.0	6600.0	10095.5	9919.0	6148.0	11331.0	9548.5	23532.5	11946.0	15.0	9.0	29.0	33.5	41.0	33.0	43.5	40.0	1162.0	6030.5	21.0	1370.5	2318.5	13857.0
Herpesvirales	26614.0	55337.5	280727.0	10832.5	45913.0	368410.5	155355.5	18317.5	231923.0	39748.0	377836.0	263261.5	1742.5	161439.0	34807.5	34593.0	125391.5	168382.0	278610.5	145739.5	110364.0	1315.5	180023.5	111337.5	1236.5	302869.5	73539.0	97968.0	347388.5	131552.5	86623.5	351695.5	20528.5	270948.0	207455.0	309626.0	152772.5	374164.0	305134.0	567385.5	569879.5	611.0	733.0	758.0	703.0	1176.0	992.0	1282.5	1248.5	103975.0	220790.5	899.5	310918.0	101108.0	536184.0
Tymovirales	230.0	1675.0	2957.0	154.0	362.5	7332.5	3858.0	89.0	2036.0	408.5	7811.5	3663.5	112.0	2396.0	261.0	1080.5	7478.5	2036.5	6756.5	4357.0	929.5	22.5	4001.0	1213.5	23.0	3210.5	1044.5	1390.5	9257.0	1238.5	976.5	134115.5	346.5	4000.0	3252.5	4406.0	4338.0	6322.5	2653.0	6510.0	28930.5	34.5	55.0	19.0	33.0	47.5	25.5	57.5	49.0	7691.5	5370.0	46.5	2067.5	2220.0	86274.0
Crassvirales	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
Ortervirales	14822.0	10006.0	89696.0	6831.0	32516.5	159981.0	204575.0	20917.0	94644.0	28908.0	741788.5	573735.0	555.0	267966.0	48580.5	1945.5	62046.5	10852.5	40916.0	6864.5	57537.5	393.0	21588.5	354988.5	269.5	31616.0	8095.5	44724.0	118459.0	796937.0	65264.0	63900.0	618.0	44720.0	3034.0	81779.5	11109.0	23072.0	71307.5	130278.0	237298.0	24.5	11.0	185.5	144.5	314.5	171.5	304.0	279.0	88.5	99.0	31.5	209.0	106.0	96.0
Articulavirales	0.0	0.0	30.0	0.0	1.0	9.0	0.0	2.0	0.0	2.0	4.0	0.0	0.0	5.0	0.0	0.0	1.0	28.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	10.0	4.0	1.0	6.0	0.0	0.0	5.0	0.0	0.0	2.0	7.0	3.0	5.0	5.0	10.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0
Halopanivirales	76.5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tubulavirales	7.0	1.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	24.0	4.0	0.0	6.5	1.0	0.0	0.0	0.0	14.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	6.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0
Petitvirales	0.0	0.0	0.0	0.0	2.0	8.0	0.0	0.0	0.0	0.0	13.0	1.5	0.0	9.0	0.0	3.0	3.0	0.0	14.0	0.0	0.0	0.0	0.5	0.5	0.0	0.5	0.0	0.0	1.0	14.0	0.5	3.0	0.0	0.0	3.0	4.0	4.0	5.0	3.0	0.0	26.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Wolframvirales	8.0	7.0	7.5	1.0	1.0	21.0	6.5	1.5	6.0	196.5	53.5	10.0	0.0	11.0	0.0	1.0	0.0	19.0	27.0	18.0	9.5	0.0	4.0	6.0	0.0	15.0	0.0	12.5	18.0	0.0	9.0	53.0	0.0	36.0	22.0	17.5	4.0	8.5	13.0	37.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	25.0	0.0
Cryppavirales	83.5	68.0	910.5	27.0	88.0	537.5	345.0	98.0	1828.0	42.5	329.0	1590.0	6.0	63.5	101.5	45.5	1055.5	65.5	283.5	281.0	259.5	4.5	423.5	675.0	3.0	906.5	124.5	472.0	1941.0	502.0	2183.0	5298.0	8.5	389.0	432.0	552.5	732.0	2109.5	1998.5	738.5	682.5	2.0	2.0	3.0	1.0	0.0	2.0	1.5	0.5	458.5	453.5	3.0	1920.0	531.5	1935.0
Ourlivirales	16.5	0.0	86.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	11.0	9.0	0.0	0.0	74.5	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Blubervirales	5.5	5.5	1.0	34.0	66.0	40.5	1.5	13.5	3.0	13.0	9.5	2.5	0.0	1.5	182.5	24.0	5.0	1.0	6.5	29.0	1.0	0.0	14.0	4.5	0.5	2.0	12.0	23.5	1.0	62.0	113.5	1.0	1.0	13.5	0.0	363.5	10.0	2.0	13.0	1.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.5	0.0	0.0	0.0	0.0
Algavirales	19.5	54.0	265.0	24.0	13.5	538.5	236.0	8.5	263.0	49.0	391.0	124.0	2.0	93.0	11.0	13.0	38.0	222.5	224.5	109.0	71.5	0.0	76.5	59.0	0.0	184.5	34.0	88.0	172.0	108.5	67.5	397.0	12.0	333.5	294.5	217.0	407.5	437.0	337.0	428.5	383.0	1.0	1.0	1.0	0.0	2.0	1.0	2.0	3.0	55.0	580.0	3.0	62.0	177.0	89.5
Chitovirales	6.5	16.5	0.0	4.5	0.0	77.5	11.5	1.0	0.0	1.5	32.5	19.5	0.0	8.0	3.0	14.0	1.5	17.5	30.0	1.0	0.0	0.0	14.0	10.5	0.0	0.5	10.5	6.0	8.0	3.0	1.0	3.0	0.5	6.0	4.0	14.0	1.0	0.0	2.5	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.5	272.0
Sepolyvirales	0.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	29.0	0.0	0.0	0.0	1.0	0.0	33.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zurhausenvirales	0.5	10.0	14.5	3.0	1.0	23.5	0.0	1.0	0.0	1.0	99.5	66.0	0.0	0.0	0.0	3.5	1.0	7.0	1.0	0.0	13.0	0.0	0.0	5.0	0.0	35.0	1.0	0.0	0.0	9.5	7.0	1.0	0.0	0.0	11.0	8.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	61.5	64.5	111.0
Piccovirales	4.0	45.0	114.0	6.0	13.0	231.0	67.0	0.0	30.0	37.0	162.0	96.5	0.0	190.0	4.0	0.0	16.0	133.5	217.5	33.0	12.0	1.0	71.0	33.5	1.0	81.0	14.0	0.0	35.0	17.5	23.0	177.0	5.5	71.0	131.5	178.0	38.0	117.5	67.0	205.5	216.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	7.0	202.0	0.0	2.0	79.0	41.0
Cirlivirales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Geplafuvirales	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	3.0	11.5	0.0	0.0	4.0	0.0	0.0	0.0	1.0	6.0	0.0	0.0	0.0	261.5	0.0	0.0	0.0	0.0	0.0	16.0	0.0	6.0	7.0	1.0	15.0	3.0	0.0	0.0	1.0	0.0	40.0	150.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0
Ghabrivirales	28.0	53.5	20.0	0.0	0.0	24.0	0.0	11.0	0.0	1.0	30.0	60.0	1.0	13.0	10.0	5.0	6.5	7.0	74.5	14.0	15.0	1.0	359.5	125.5	0.0	203.0	28.0	54.0	40.5	20.0	159.0	59.0	1.0	552.5	0.0	67.0	0.0	59.0	28.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
Reovirales	1219.5	2453.0	11501.5	680.5	2311.5	17453.0	7835.5	1270.5	13275.5	2151.0	17355.0	15620.5	93.0	5891.0	1623.0	1511.5	6619.5	6621.0	12934.5	5857.5	4920.0	62.0	8005.0	5121.5	49.5	13741.5	3538.5	5214.5	15797.5	7904.0	4742.5	28247.0	906.0	11070.5	8902.0	19391.0	7155.0	16491.0	13401.5	24155.5	24535.5	35.0	33.5	35.0	24.0	42.0	57.0	59.0	51.0	9764.5	9911.0	50.5	16131.5	5080.0	37428.0
Mindivirales	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hepelivirales	23.0	63.0	20.0	12.5	24.0	43.0	18.5	3.5	40.0	30.0	75.0	45.5	0.0	84.5	14.5	25.0	2.5	138.0	112.5	9.0	66.5	2.0	46.0	70.5	1.0	19.5	32.5	31.0	18.0	129.0	2.0	68.0	50.0	46.5	94.0	53.5	14.5	59.0	27.0	78.0	9.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Martellivirales	493.0	805.5	5497.0	192.0	596.0	6170.0	1949.0	383.5	2737.0	503.0	5138.5	3919.0	31.0	1653.5	347.0	572.5	2884.5	5276.5	3694.0	3016.0	2087.0	21.5	3253.5	10366.0	22.0	3913.5	886.0	4998.0	5903.5	1479.0	1284.0	7335.5	210.0	7233.5	2779.5	5632.5	2297.0	5747.5	3160.0	13614.5	21352.5	14.5	16.0	27.0	24.0	37.5	32.5	46.5	35.5	1682.0	5189.0	12.0	3825.0	1343.5	16263.5
Amarillovirales	788154.0	700363.0	2062647.0	724.0	90.0	2028.0	1997.5	1858.5	4186.5	506.0	1085.0	6650.5	5432.5	3272.5	5245047.5	443396.0	11680967.5	591538.5	1549578.0	2320453.5	285018.5	6023.5	8068322.5	9130.0	4720.0	117040.5	4564.0	7059.5	8244.0	24092.5	2394436.0	1959448.5	2099.5	2434.0	2418.0	3292.0	3098.5	1826.0	4962.5	54961.5	182.5	39.0	53.0	265.5	164.0	51.0	559.0	762.5	807.0	144.0	95.0	11.0	350.0	408.5	469.0
Nodamuvirales	1.0	4.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	5.0	0.0	6.0	0.0	0.0	12.0	5.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	10.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	3.0	8.0	1.0	0.0	10.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.5	0.0
Tolivirales	13.0	21.0	258.0	8.0	31.0	260.0	43.0	0.0	118.0	27.0	210.0	72.5	2.0	112.0	5.0	12.0	50.0	155.0	75.0	45.0	84.0	0.0	38.0	83.0	0.0	14.0	35.0	35.0	154.0	50.0	50.0	244.5	17.0	73.0	135.0	139.5	220.5	271.0	156.5	434.0	182.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	23.0	153.0	1.0	13.0	83.0	78.5
Durnavirales	1440.0	4609.5	18567.0	1521.0	1980.0	23546.5	11917.5	668.5	13849.5	1807.0	22017.5	23741.5	118.5	8005.5	3294.5	7729.5	19879.5	8353.0	16569.5	18364.0	4684.0	69.0	15167.0	6396.5	89.5	18148.5	6501.5	9624.0	43855.0	5949.0	15579.0	169279.5	1375.0	16732.5	10731.0	18060.5	12807.0	34549.5	15961.0	24378.0	43369.0	50.5	56.0	45.5	57.0	74.0	57.0	93.5	79.5	28279.0	28098.0	72.5	14851.0	16204.5	29497.0
Patatavirales	2.0	35.5	43.0	3.0	4.0	115.0	26.0	4.0	96.0	0.0	621.5	96.0	1.0	17.0	12.0	14.5	27.0	36.0	154.0	169.0	17.0	0.0	398.5	1.0	0.0	86.0	8.0	21.5	71.0	15.0	33.0	202.0	6.0	77.5	79.0	108.0	124.5	45.0	51.5	380.0	122.0	0.5	0.0	0.0	0.0	0.0	0.0	0.5	1.5	152.5	91.0	0.0	82.5	25.0	166.5
Stellavirales	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.5	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	5.0	0.0	3.0	0.0	28.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0
Sobelivirales	1.0	2.0	40.0	0.0	6.0	36.0	20.0	0.0	4.0	12.0	36.0	8.0	0.0	9.0	0.0	2.0	14.0	26.0	10.0	0.0	31.0	0.0	16.0	8.0	0.0	33.0	0.0	14.5	40.0	6.0	4.0	23.0	0.0	22.0	7.0	22.5	3.0	20.0	1.0	88.0	54.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	10.0	0.0	1.0	15.0	0.0
Imitervirales	0.0	9.0	7.0	1.0	0.0	2.0	0.0	2.0	0.0	4.0	15.0	0.5	0.0	4.0	2.0	0.0	1.0	11.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	15.0	88.0	13.0	21.0	5.0	0.0	41.5	12.0	11.0	0.0	11.0	7.0	2.0	3.0	1.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.5
Pimascovirales	13.0	23.5	150.0	5.5	7.5	198.0	52.5	8.5	71.5	22.5	113.5	43.5	0.0	179.5	11.0	5.0	36.0	149.0	122.5	74.0	54.0	0.0	48.5	40.5	1.0	76.0	45.0	66.5	142.5	81.0	67.5	150.0	2.0	88.0	109.5	92.5	51.0	209.0	166.5	253.0	228.5	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	38.0	115.5	0.0	128.0	9.0	429.5
Rowavirales	12.0	6.5	0.0	0.0	0.0	19.5	0.0	2.5	30.0	6.0	27.0	0.0	0.0	25.0	4.0	0.0	0.0	0.0	0.0	0.0	92.0	0.0	0.0	13.0	0.0	0.0	0.0	37.0	7.0	0.0	5.0	8.0	0.0	58.0	3.0	6.0	0.0	28.5	0.0	29.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	241.0	321.0	1.0	475.5	67.0	326.5
Lefavirales	649.0	1042.5	7276.5	313.0	584.0	16008.0	2461.5	152.0	7759.0	826.5	8966.5	3397.0	46.5	3306.0	363.5	283.0	1882.5	4677.0	5545.5	3447.5	2104.0	30.0	3256.0	2249.5	36.0	4520.0	1184.0	1506.5	13315.0	3427.5	2135.0	10663.5	531.0	5119.0	5665.5	7997.0	4545.0	11143.5	7050.0	12707.0	9607.0	10.0	10.5	14.5	17.0	21.5	26.0	27.5	18.5	1856.0	6887.0	15.5	3900.5	3029.0	4106.0
Norzivirales	0.0	4.0	66.0	0.0	1.0	43.0	1.0	1.5	51.0	1.0	77.0	6.0	1.0	17.0	0.0	4.0	5.0	28.0	9.0	6.0	0.0	1.0	5.0	16.0	0.0	10.0	0.0	70.5	8.5	0.0	1.0	67.5	0.0	158.5	14.0	32.5	11.0	0.0	6.0	21.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	5.0	45.5
Kirjokansivirales	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Thumleimavirales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Grandevirales	2.0	2.0	31.0	0.0	10.0	84.0	25.0	1.0	51.0	8.0	88.0	37.5	1.0	26.0	0.0	8.0	9.0	18.0	26.0	17.0	11.0	0.0	4.0	19.0	0.0	26.0	8.0	0.0	34.0	8.0	19.0	56.0	0.0	71.5	27.0	119.5	25.0	85.0	55.0	67.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	9.0	57.0	0.0	5.0	10.0	0.0
Elliovirales	63.0	222.5	973.0	45.0	98.0	1293.5	1087.5	90.0	1976.5	85.0	933.5	2009.5	7.0	361.5	85.5	201.5	922.5	314.0	804.0	1180.0	278.5	3.5	440.0	635.5	1.5	504.0	156.0	223.5	1752.0	282.0	1632.5	4981.5	34.0	639.0	717.5	912.5	843.0	1988.0	1182.0	902.5	1042.0	1.5	0.5	0.0	1.5	2.5	3.0	1.0	2.0	301.0	857.5	6.0	681.0	490.5	2012.0
