,color
100008_1,red
100008_2,blue
100008_3,red
100137_1,red
100137_2,blue
100137_3,red
100177_1,red
100177_2,blue
100177_3,red
100200_1,red
100200_2,blue
100200_3,red
100206_1,red
100206_3,red
100217_1,red
100217_2,blue
100217_3,red
100248_1,red
100248_2,blue
100248_3,red
100255_1,red
100255_3,red
100256_1,red
100256_3,red
100257_1,red
100257_2,blue
100257_3,red
100261_1,red
100261_2,blue
100261_3,red
100306_1,red
100306_2,blue
100306_3,red
100337_1,red
100337_2,blue
100337_3,red
CAP137,black
CAP177,black
CAP200,black
CAP206,black
CAP217,black
CAP239,black
CAP248,black
CAP255,black
CAP256,black
CAP257,black
CAP261,black
CAP306,black
CAP337,black
CAP8,black
