genes	logFC	logCPM	F	PValue	FDR	-logP	Gene name	HIV?
ENSG00000162366	-3.06129770328909	5.831719844486999	33.7390360981068	6.774706502516371e-07	0.0042970548283572	2.366829104891598	PDZK1IP1	False
ENSG00000100906	3.03103475617249	8.13134875808464	32.7987722697556	8.90304532965337e-07	0.0042970548283572	2.366829104891598	NFKBIA	True
ENSG00000011422	3.0346269956907004	6.1146494378098	30.9580680475601	1.5359498180067302e-06	0.0049421745310729995	2.306081921713478	PLAUR	False
ENSG00000202111	-2.30662885334234	5.579951847304731	29.5303604684858	2.36821057798782e-06	0.00571508417732911	2.242977368509241	VTRNA1-2	False
ENSG00000185905	1.59197858677022	4.2850293411613	28.0167406563904	3.7855964367409798e-06	0.007308472480772141	2.136173383985179	C16orf54	False
ENSG00000184588	1.96819940646176	5.231074404786259	26.606527287627202	5.91776491584328e-06	0.0077150785276707	2.112659649126368	PDE4B	False
ENSG00000101307	2.35589209090433	3.74067224229921	25.3865539927308	8.77912159109834e-06	0.0077150785276707	2.112659649126368	SIRPB1	False
ENSG00000173327	0.8655917753705691	5.16493311667325	25.2651702417653	9.13428505199699e-06	0.0077150785276707	2.112659649126368	MAP3K11	False
ENSG00000188404	2.05117587069648	7.12244123640301	24.9751662596023	1.00452031701815e-05	0.0077150785276707	2.112659649126368	SELL	False
ENSG00000100342	1.4795454859827302	3.35562294987382	24.7166028823823	1.0937761420737801e-05	0.0077150785276707	2.112659649126368	APOL1	False
ENSG00000197249	1.3877502980171101	7.29103425782154	24.464919149721	1.18867188630201e-05	0.0077150785276707	2.112659649126368	SERPINA1	True
ENSG00000154229	-1.14278775433113	3.8391986088405496	24.2644139806566	1.27043656229204e-05	0.0077150785276707	2.112659649126368	PRKCA	False
ENSG00000136689	2.41199858632084	4.3149363061909805	24.166893841209898	1.31231667017626e-05	0.0077150785276707	2.112659649126368	IL1RN	False
ENSG00000119684	-1.7632448223268402	5.678635852365839	24.027295046567396	1.3748043059842199e-05	0.0077150785276707	2.112659649126368	MLH3	False
ENSG00000155090	1.4658889507477701	5.243799219505781	23.8891335910659	1.4397275053983099e-05	0.0077150785276707	2.112659649126368	KLF10	False
ENSG00000134909	-1.23279654829901	3.72956553958929	23.6437066120348	1.56310965564e-05	0.0077150785276707	2.112659649126368	ARHGAP32	False
ENSG00000140379	1.8102086612422499	5.98685959732309	23.5975036982197	1.58755189468978e-05	0.0077150785276707	2.112659649126368	BCL2A1	True
ENSG00000277443	1.55336730283188	6.72635486023243	23.350674596423698	1.72509719800464e-05	0.0077150785276707	2.112659649126368	MARCKS	False
ENSG00000185245	-1.57092905167649	5.17964292891991	23.2604019057453	1.77847522805822e-05	0.0077150785276707	2.112659649126368	GP1BA	False
ENSG00000140022	-1.37963533306609	5.04766143063805	23.224562520732103	1.8001448581116e-05	0.0077150785276707	2.112659649126368	STON2	False
ENSG00000128016	1.91573015213775	8.2260706824864	23.117457764850002	1.86656996877554e-05	0.0077150785276707	2.112659649126368	ZFP36	False
ENSG00000165702	-1.68390127067895	6.396237407435429	23.0400335501142	1.91618549174939e-05	0.0077150785276707	2.112659649126368	GFI1B	False
ENSG00000168010	1.83857567907213	5.24413793452393	22.955866532246297	1.9716946757603304e-05	0.0077150785276707	2.112659649126368	ATG16L2	False
ENSG00000143226	1.922010314058	6.15934087257797	22.749300211655196	2.11519869166709e-05	0.0077150785276707	2.112659649126368	FCGR2A	False
ENSG00000260464	-1.69254299725255	7.647176641150139	22.618514818037	2.2116869479119897e-05	0.0077150785276707	2.112659649126368	AL049796.1	False
ENSG00000274641	-1.66786320619654	3.7637005350497	22.5044785290084	2.29958694150524e-05	0.0077150785276707	2.112659649126368	HIST1H2BO	False
ENSG00000117602	-1.02825678884821	5.45640258009177	22.4994059918989	2.30358102440774e-05	0.0077150785276707	2.112659649126368	RCAN3	False
ENSG00000110852	0.985756724018345	5.08244029381166	22.2605467889335	2.50014478166145e-05	0.0077150785276707	2.112659649126368	CLEC2B	False
ENSG00000100365	1.4540957406202701	4.86998935981783	22.245596195204502	2.51301906624176e-05	0.0077150785276707	2.112659649126368	NCF4	False
ENSG00000184730	1.74315855915876	6.4776053037079695	22.032921479762802	2.7038829998332502e-05	0.0077150785276707	2.112659649126368	APOBR	False
ENSG00000163162	2.0774667839368	4.7863207705576505	21.888156500557102	2.8424576901075103e-05	0.0077150785276707	2.112659649126368	RNF149	False
ENSG00000051523	0.858423828510308	6.00054396163108	21.8764134228476	2.8540206589412397e-05	0.0077150785276707	2.112659649126368	CYBA	False
ENSG00000085514	1.70738273584998	4.3922047321573	21.8492978802843	2.8809092694262898e-05	0.0077150785276707	2.112659649126368	PILRA	False
ENSG00000088986	-1.16807594049601	6.7315012989347895	21.6180232547147	3.1213408667594896e-05	0.0077150785276707	2.112659649126368	DYNLL1	False
ENSG00000130816	-1.10683825210181	6.65403811481364	21.602520434157	3.13819275822183e-05	0.0077150785276707	2.112659649126368	DNMT1	False
ENSG00000127954	2.5320321453851298	3.30843987359828	21.4908859611521	3.26239621120516e-05	0.0077150785276707	2.112659649126368	STEAP4	False
ENSG00000199990	-1.4656206825248999	8.8802797579782	21.3779280368715	3.3933334219101e-05	0.0077150785276707	2.112659649126368	VTRNA1-1	False
ENSG00000059728	1.84086754317292	7.51813238032192	21.2792369388029	3.51224728809638e-05	0.0077150785276707	2.112659649126368	MXD1	False
ENSG00000127951	1.3499701048320703	6.334073651312949	21.115266050692803	3.7195844784057106e-05	0.0077150785276707	2.112659649126368	FGL2	False
ENSG00000173535	2.51264383327838	4.5263582830717	21.085748516185102	3.7582531841083e-05	0.0077150785276707	2.112659649126368	TNFRSF10C	False
ENSG00000124731	2.71189419546589	4.7638058490337505	21.0663765662197	3.78386002115633e-05	0.0077150785276707	2.112659649126368	TREM1	False
ENSG00000221676	-1.58910011884934	6.173954005963581	21.0649740351462	3.7857210525156105e-05	0.0077150785276707	2.112659649126368	RNU6ATAC	False
ENSG00000048991	-0.7739996136389542	5.47878961633494	21.0456525462161	3.81145690581391e-05	0.0077150785276707	2.112659649126368	R3HDM1	False
