gene	SAMPLE_100008_1	SAMPLE_100008_2	SAMPLE_100008_3	SAMPLE_100177_2	SAMPLE_100206_2	SAMPLE_100248_1	SAMPLE_100248_2	SAMPLE_100248_3	SAMPLE_100255_1	SAMPLE_100255_2	SAMPLE_100255_3	SAMPLE_100256_1	SAMPLE_100256_2	SAMPLE_100256_3	SAMPLE_100257_1	SAMPLE_100257_2	SAMPLE_100177_1	SAMPLE_100177_3	SAMPLE_100206_1	SAMPLE_100206_3	SAMPLE_100257_3
ENSG00000000003	8	15	0	6	0	0	4	0	12	0	13	5	0	0	6	19	0	23	18	3	39
ENSG00000000005	0	6	0	1	0	0	0	0	0	0	51	10	0	0	0	13	0	0	0	0	0
ENSG00000000419	99	137	87	160	2	92	157	65	309	0	207	326	2	27	237	326	97	26	755	77	376
ENSG00000000457	98	79	81	150	1	107	77	40	242	1	178	375	0	42	168	224	140	152	732	53	205
ENSG00000000460	73	80	13	218	2	17	37	183	50	0	109	173	0	9	28	139	252	46	361	18	1
ENSG00000000938	1638	2751	873	3306	22	2710	2594	399	1971	9	2924	4143	10	765	4887	4578	3074	1082	32460	662	4211
ENSG00000000971	11	32	1	0	0	5	0	61	25	0	21	38	0	11	31	52	0	1	7	15	60
ENSG00000001036	22	56	19	52	0	66	61	6	49	0	95	142	0	13	76	39	54	0	270	11	1
ENSG00000001084	128	198	254	449	3	108	136	58	587	1	497	497	0	96	225	312	635	458	575	59	699
ENSG00000001167	118	206	174	241	2	632	576	124	526	2	882	556	1	217	508	548	424	320	4968	45	822
ENSG00000001460	20	39	25	8	0	18	2	21	71	1	101	53	0	20	1	0	8	1	50	13	33
ENSG00000001461	109	193	84	166	1	59	82	69	80	1	341	302	0	29	57	303	58	104	327	57	34
ENSG00000001497	336	424	185	248	0	112	105	55	435	2	861	836	1	395	464	495	322	91	673	97	352
ENSG00000001561	28	62	0	37	0	20	24	17	28	0	148	13	0	10	20	14	21	34	88	18	16
ENSG00000001617	15	29	79	9	1	110	52	22	18	0	163	21	1	12	24	54	27	65	63	173	35
ENSG00000001626	0	9	9	0	0	11	4	8	3	0	0	0	0	11	0	0	10	0	6	12	1
ENSG00000001629	338	512	226	680	4	221	332	300	642	4	802	841	1	364	234	744	394	329	1500	129	616
ENSG00000001630	13	61	0	29	0	13	46	0	26	0	24	36	0	0	56	7	0	27	272	10	18
ENSG00000001631	379	594	290	869	1	137	157	601	544	1	1084	766	3	209	331	505	407	145	1364	114	1428
ENSG00000002016	46	51	0	22	1	7	8	8	20	0	14	82	0	6	20	0	0	1	43	6	31
ENSG00000002079	1	10	3	0	0	5	7	0	0	0	0	5	0	0	0	0	1	0	4	1	0
ENSG00000002330	72	94	66	197	0	93	198	36	379	2	264	251	0	47	165	327	143	20	1312	34	9
ENSG00000002549	660	763	751	773	6	1387	1201	492	1941	1	1610	2317	4	609	1622	1545	1028	570	9834	291	1843
ENSG00000002586	3346	3610	1245	6877	14	338	1058	1112	1846	10	2107	2651	6	485	904	3515	3381	504	3699	244	1023
ENSG00000002587	10	20	0	0	0	9	7	16	1	0	5	1	1	0	4	63	4	0	27	7	0
