genes	logFC	logCPM	PValue	FDR
ENSG00000229344	-5.30696631442033	6.81261609461003	2.90794151377884e-11	1.28516475201456e-06
ENSG00000270388	-5.46774960328828	2.40947115798194	4.62193984508884e-10	9.22121868588144e-06
ENSG00000200305	-2.62009490902729	-0.723592858067442	6.25945379740792e-10	9.22121868588144e-06
ENSG00000207481	-2.30152016981686	0.449205600990248	3.7918268765331e-09	4.18949472020951e-05
ENSG00000162366	-2.68886907736993	5.778564078607	1.65404540698632e-08	0.000146201073523521
ENSG00000208008	-4.14919142605228	-1.44881869048354	3.24189008013108e-08	0.000238792220152322
ENSG00000207175	-3.81094435247811	5.42473423667389	6.64257874337867e-08	0.000419383953662315
ENSG00000189056	-2.66119232947512	2.72491266791873	8.76302793263548e-08	0.000484102524353531
ENSG00000282728	-3.27345927729697	-1.15997183806656	1.05463613543192e-07	0.00050742089056821
ENSG00000196735	1.58912789704979	4.59842640899284	1.14814094483134e-07	0.00050742089056821
ENSG00000199751	-2.20906115374697	3.26824647740555	2.71863845655595e-07	0.001092274787159
ENSG00000260464	-1.60153002191917	7.5776279732969	3.15602252758898e-07	0.00116233679672329
ENSG00000240403	4.35246621105186	-1.60373090210133	3.72930306772747e-07	0.00117861119004878
ENSG00000202111	-1.96112975881489	5.4611149802389	3.81836393062454e-07	0.00117861119004878
ENSG00000251799	-1.9328050269246	0.269380662767706	4.00026424951502e-07	0.00117861119004878
ENSG00000265386	-2.85383246577606	-1.62538705036491	4.85423149796044e-07	0.00134082975657726
ENSG00000070031	-3.01802489611474	1.48869798045818	5.32244378140256e-07	0.00138367884070051
ENSG00000238912	-2.24367445127249	1.48197806995924	8.27200209566701e-07	0.00203100629232224
ENSG00000263529	-2.56812426162483	-0.488916370638756	1.04820067755625e-06	0.00238499239093162
ENSG00000151090	-1.9920837610647	2.29285532244846	1.07930417057659e-06	0.00238499239093162
ENSG00000199461	-1.76922358790519	4.17581155672727	1.27998118074055e-06	0.00269375087061088
