genes	logFC	logCPM	PValue	FDR
ENSG00000213424	6.49374906720359	4.37329034737864	3.97085331524616e-08	0.00175491862267304
ENSG00000282024	4.02443357030649	-1.80362780140499	9.18716460356909e-07	0.0147493389512663
ENSG00000178809	4.98826842629398	-1.54021280948291	1.17981343533182e-06	0.0147493389512663
ENSG00000272993	4.45840246236301	0.786541451684073	1.33493281604401e-06	0.0147493389512663
ENSG00000229344	-4.68952598613898	6.8125524221463	2.69971239453298e-06	0.023862757855277
ENSG00000249203	-8.01314311859464	1.23612818938473	3.82341438546396e-06	0.0252321021980889
ENSG00000279191	3.96145547583347	-1.8268275929455	3.99648637598421e-06	0.0252321021980889
ENSG00000135222	5.26944855186147	-2.39303208521987	5.38272091857585e-06	0.0281851272281948
ENSG00000235872	4.10761763429259	0.606001098447593	5.73970234311016e-06	0.0281851272281948
ENSG00000130383	4.40420166353761	-2.6332582942916	6.86077101165534e-06	0.0303211774860108
ENSG00000234186	4.21061360727629	-2.60234376250311	9.07736193439921e-06	0.0364703646082521
ENSG00000237254	4.21194630019266	-2.40533861271632	1.53815777239054e-05	0.0562283643634598
ENSG00000275722	5.24621220839973	-2.57803406331525	1.65396252228754e-05	0.0562283643634598
ENSG00000183814	2.28850191794009	3.23806648239824	2.52071263020464e-05	0.0757614248032506
ENSG00000270388	-4.61084936795824	2.40909719471212	2.57137995711904e-05	0.0757614248032506
ENSG00000162366	-2.38487024048533	5.77846203301269	3.02956261914604e-05	0.0836821999707246
ENSG00000236216	4.28161072128472	-2.83552827976445	3.37734271708872e-05	0.0878009772833741
ENSG00000270424	5.16177456498921	-2.65674132015411	3.80961301784632e-05	0.09353658184651
ENSG00000131351	1.94209720936261	2.9087883615159	5.20359155396471e-05	0.11810383632876
ENSG00000211727	5.02237016127834	-2.63413580279472	5.34702086953316e-05	0.11810383632876
ENSG00000262333	4.07012954302809	-2.54542810250184	5.82565552427278e-05	0.11810383632876
ENSG00000198526	3.22573370459717	-1.80877424452182	5.88839826512556e-05	0.11810383632876
ENSG00000157064	2.84058829382541	4.77096817655526	6.14637003181692e-05	0.11810383632876
ENSG00000254680	4.5025056057764	-2.86528036867448	7.17591255081351e-05	0.132141439659668
ENSG00000053770	2.00864128740063	6.62804066584199	7.71085284950256e-05	0.136312456673506
ENSG00000282358	4.67724273275417	-2.83174530467856	8.91557676038579e-05	0.151547659586635
ENSG00000274395	4.46674792053329	-2.75847608681659	9.51916083159288e-05	0.155814560352684
ENSG00000207175	-3.27425084592086	5.42463877447252	0.000110748486733625	0.174804620399734
ENSG00000279030	3.62003444993742	-3.00391100593945	0.000116414902952766	0.177134466545699
ENSG00000272375	4.7896015877874	-2.81345395811937	0.000120240615372123	0.177134466545699
ENSG00000254239	4.50300470924362	-2.88448157604146	0.000133955599313171	0.190380759729926
ENSG00000223648	3.92259668096301	-2.19759550544723	0.000137847817883418	0.190380759729926
ENSG00000205846	3.96489297631836	-2.88496463421655	0.000178940313751108	0.233175634913435
ENSG00000274678	3.88828736874961	-3.04840703148241	0.000179386165563	0.233175634913435
ENSG00000256714	3.47125606848171	-2.56037792330532	0.000211196435388931	0.258798358185612
ENSG00000279589	3.36239450192651	-2.952705541319	0.00021586686611145	0.258798358185612
ENSG00000244623	3.89743664881178	-2.58785594436146	0.000216665669258234	0.258798358185612
ENSG00000154237	1.38657932289072	4.86226466466793	0.00023323155721276	0.27115803064613
ENSG00000234962	3.79334867115321	-2.94729521904498	0.000244266354884672	0.27115803064613
ENSG00000254066	3.47461485483004	-2.91926649381015	0.000246263950570132	0.27115803064613
ENSG00000168631	2.98348245215597	-1.92284013167043	0.000251555136474518	0.27115803064613
ENSG00000279805	2.71452008573665	-1.57601014495227	0.000260835215396361	0.274466960581956
ENSG00000214825	4.61029487085789	-2.86956393489117	0.00027885900992117	0.281879734005817
ENSG00000270639	3.25253371967012	-3.040853555431	0.000283697316392201	0.281879734005817
ENSG00000230474	4.5360790142376	-2.7642829261594	0.000293204941294791	0.281879734005817
ENSG00000189056	-2.1140265145958	2.72465018737674	0.000297602354135922	0.281879734005817
ENSG00000257495	3.06364602783813	-2.43626440027395	0.000299770279404308	0.281879734005817
ENSG00000188676	3.09199609692523	-2.73605394182709	0.000318241423648193	0.293014160794415
ENSG00000204010	2.26996706562703	3.89129198898576	0.000328119478020856	0.295943680227178
ENSG00000267568	3.34866484287249	-2.6835254061954	0.000344587588159483	0.302049037656397
ENSG00000214262	3.42989359201708	-3.06248376876995	0.00036348637171817	0.302049037656397
ENSG00000274471	2.69164251173531	-2.06560943128613	0.000366927579329937	0.302049037656397
ENSG00000230550	4.13451565282475	-2.06438261945358	0.000367264049500136	0.302049037656397
ENSG00000229992	2.2753590700802	-0.256518066055228	0.000371394782630791	0.302049037656397
ENSG00000127083	3.55806847709517	-3.00636085046968	0.000387266551797642	0.302049037656397
ENSG00000214544	3.65010833182941	-3.10216801262705	0.000387655597192265	0.302049037656397
ENSG00000253871	3.2451530250034	-1.98309495655611	0.000394555249814409	0.302049037656397
ENSG00000224687	-2.18722432628656	1.81361768664111	0.000401515823488853	0.302049037656397
ENSG00000274799	3.6632858657891	-2.43848337095748	0.000403233244071216	0.302049037656397
ENSG00000168772	-2.23420865001046	3.32687318096627	0.000410763911138251	0.30256185087925
ENSG00000077984	-1.83580272214023	5.99724842280571	0.000418372799313571	0.303114522387922
ENSG00000276475	4.34183885626023	-2.95135333689704	0.000429080103068104	0.305857986372498
ENSG00000279670	3.44102774963615	-2.85351963533017	0.000446999233263009	0.313573509746963
ENSG00000221066	3.15534841093793	0.430907583668806	0.000492447483470494	0.335374915326385
ENSG00000237846	3.57417813723231	-2.87436553107776	0.000493254202878494	0.335374915326385
ENSG00000278989	4.3881925352417	-2.69562915344936	0.000505115659845591	0.338025822336307
ENSG00000200305	-1.86421193584231	-0.723371956230243	0.000512450053094978	0.338025822336307
ENSG00000275632	3.38912611372473	-3.05485334044646	0.000530635900673966	0.342784596027877
ENSG00000253954	2.12506935700183	-2.46498086048095	0.000536554469626696	0.342784596027877
ENSG00000101981	-2.67813189193557	-1.14020571594897	0.000544705722250439	0.342784596027877
ENSG00000258465	4.08175418340052	-2.9825744704106	0.000550689134924297	0.342784596027877
ENSG00000250596	3.62000892975086	-3.00016755011771	0.000572160780530926	0.344241334610294
ENSG00000230176	4.29363562082137	-2.92198926014447	0.000577159265375059	0.344241334610294
