genus	SAMPLE_100008_1	SAMPLE_100008_2	SAMPLE_100008_3	SAMPLE_100137_1	SAMPLE_100137_2	SAMPLE_100137_3	SAMPLE_100177_1	SAMPLE_100177_2	SAMPLE_100177_3	SAMPLE_100200_2	SAMPLE_100200_3	SAMPLE_100206_1	SAMPLE_100206_2	SAMPLE_100206_3	SAMPLE_100217_1	SAMPLE_100217_2	SAMPLE_100217_3	SAMPLE_100248_1	SAMPLE_100248_2	SAMPLE_100248_3	SAMPLE_100255_1	SAMPLE_100255_2	SAMPLE_100255_3	SAMPLE_100256_1	SAMPLE_100256_2	SAMPLE_100256_3	SAMPLE_100257_1	SAMPLE_100257_2	SAMPLE_100257_3	SAMPLE_100261_1	SAMPLE_100261_2	SAMPLE_100261_3	SAMPLE_100267_1	SAMPLE_100267_2	SAMPLE_100267_3	SAMPLE_100306_1	SAMPLE_100306_2	SAMPLE_100306_3	SAMPLE_100337_1	SAMPLE_100337_2	SAMPLE_100337_3
31.0	199.0	699.0	1834.0	108.5	341.0	5606.0	1304.5	188.5	1687.0	370.0	9224.5	1615.0	15.5	1685.5	157.0	295.5	1389.0	1695.0	2534.5	1072.0	953.5	12.0	1351.5	901.0	15.5	1897.0	627.0	1185.5	5671.0	487.5	1102.0	2178.5	211.0	1739.5	1611.5	2078.5	1010.0	4054.0	2451.0	4530.0	4927.0
39.0	46.5	109.0	485.0	21.0	50.0	1030.0	428.0	22.0	481.5	139.0	1721.0	1416.5	2.0	508.5	39.5	70.0	340.0	364.5	683.5	179.0	198.5	3.0	272.5	255.5	6.0	680.5	141.5	345.5	492.0	123.5	536.0	509.5	22.0	444.0	413.5	448.0	187.0	1337.0	513.0	1433.0	1159.0
49.0	433.5	1016.0	5424.5	545.5	2535.0	9133.0	1771.0	96.0	4587.0	771.0	8011.5	2515.5	21.0	4930.0	465.0	320.0	1703.5	4965.5	5404.5	2516.5	3743.0	28.5	2916.5	2551.0	33.0	5195.5	1201.0	1536.5	5125.5	2011.0	1336.0	6583.5	453.0	5218.5	5243.0	5560.5	2913.5	9272.0	6321.5	12734.5	9033.0
126.0	389.0	1178.5	6602.0	201.0	557.0	10394.5	2937.0	120.0	3568.0	919.0	10120.0	2964.5	29.5	5541.5	261.0	326.0	1817.5	5705.0	3775.0	2588.0	1833.5	24.5	2603.5	2434.5	28.5	4743.5	1229.0	1531.5	4940.5	1807.5	4426.5	9585.0	745.5	4541.0	6440.5	6229.5	3636.5	7557.0	6389.0	13282.0	7152.0
137.0	305.0	1995.0	3901.5	192.0	503.5	9701.0	5471.5	171.0	8027.5	765.0	12338.5	4026.0	19.0	3281.0	462.5	172.5	1148.5	2797.5	3641.5	1937.5	1153.5	21.0	2086.0	2221.5	16.0	4779.5	789.0	1180.0	3025.0	2322.0	884.0	4872.0	417.0	3233.0	3226.0	3671.0	2761.0	5488.5	3254.5	9348.0	9526.5
170.0	404.0	742.5	4428.0	150.5	559.0	6682.5	1559.5	110.0	3650.5	536.0	4791.5	2720.5	16.0	2912.0	198.0	215.0	1070.0	2878.5	2979.5	1634.0	1105.5	16.5	1924.0	1456.0	21.0	2233.0	794.0	1133.5	3813.5	1998.0	1952.0	4993.0	357.5	3030.5	3560.0	5084.0	2068.0	8362.0	3817.0	7407.5	4989.0
403.0	229.0	480.0	2367.0	126.0	474.5	3893.5	1275.5	80.5	1553.0	374.5	3953.0	1335.5	16.0	1869.5	234.5	163.5	1333.0	2091.5	4007.0	1307.0	716.5	10.5	1496.0	1003.0	11.5	2067.5	835.0	774.0	2940.5	816.5	970.0	3082.5	284.0	1820.5	2182.5	2252.0	1292.0	3390.0	3196.5	4408.5	4252.0
433.0	893.5	2359.0	12846.5	426.5	1089.5	16253.5	5604.5	906.0	7525.5	1463.0	16799.5	8199.0	53.5	8593.5	938.0	2355.0	4611.0	7475.0	12354.5	6442.5	3313.0	66.0	5670.5	3504.5	45.5	8958.0	2489.0	2616.5	10617.5	3488.5	9167.5	12225.0	1320.0	9753.0	8295.0	11925.0	6890.5	12166.5	10951.5	18112.5	15839.5
444.0	1367.5	2893.0	12639.0	764.5	1843.0	24367.0	3982.0	341.5	11068.0	2723.0	29032.0	8729.0	74.0	8937.0	1327.5	1034.0	5757.5	11208.0	8348.5	9007.5	6152.5	67.0	8385.5	5511.5	80.0	14152.0	3038.0	6159.5	16318.5	9843.5	5081.5	15028.0	1063.5	16570.5	11538.5	15020.5	10832.5	18848.0	16221.0	39621.5	34530.0
468.0	10217.0	16967.5	116946.0	3273.5	7881.0	169855.5	83491.5	3617.0	155339.0	10281.5	137442.5	197705.5	666.0	48750.0	22764.0	28047.0	34883.0	43735.0	125352.5	48014.5	25666.5	438.5	71137.0	39236.5	427.5	86828.5	26057.5	79492.5	99036.0	41832.0	22412.5	67371.0	5143.5	82605.0	53514.0	101679.0	44125.0	164568.5	129733.0	138961.5	167742.0
481.0	2535.5	119634.0	23305.0	770.5	3291.5	41962.0	11362.0	4551.5	25387.0	3855.5	49698.5	37072.5	275.0	18094.5	2664.5	1908.0	21607.5	14922.5	21558.0	10757.0	7407.5	114.5	20024.5	9142.5	157.0	41721.0	7151.0	9433.5	38812.0	8362.5	8018.5	23749.5	1571.0	17620.5	16587.0	20986.5	16824.0	30382.5	23661.5	89541.0	43634.0
506.0	1846.5	3479.5	19384.0	920.0	8715.5	27345.5	7685.5	1355.0	19159.0	2921.0	40246.0	13567.5	116.0	16822.0	4366.5	1777.5	6188.5	14932.5	35617.0	10078.5	41546.5	106.5	10531.5	7353.0	84.0	14610.5	4744.5	7589.0	19340.0	5105.5	3990.5	19473.0	1708.0	14234.5	17618.5	19609.0	9821.0	25261.0	16837.0	30929.0	27864.5
543.0	34492.5	46521.5	188105.5	13000.5	17679.5	211863.0	131188.0	15784.0	148251.0	20689.5	336523.0	178891.5	1527.5	98817.0	25793.0	69868.0	185616.5	91674.0	249941.5	208138.0	97284.5	896.5	228442.0	73918.5	1059.0	205409.5	179636.5	102339.0	406121.5	42382.0	58822.0	1242157.0	12286.5	140580.5	113089.5	161316.5	117138.0	223278.5	121120.0	322656.0	533782.0
641.0	17246.0	33286.0	229713.0	7626.5	24521.0	331964.0	106344.5	8356.0	374359.5	21191.0	214936.0	240976.5	1893.5	73401.0	16338.5	19375.0	255120.0	87584.0	212206.0	104979.0	58124.5	941.5	106271.5	77433.0	833.0	141403.0	43555.5	66539.5	277140.5	74536.0	188989.5	5978841.0	12610.0	186511.0	202181.0	201773.0	368967.5	294739.5	326510.5	309382.5	330250.5
712.0	2922.0	36385.0	23781.0	1148.5	3230.5	32709.5	27291.0	4027.5	25151.5	4186.5	34694.5	49542.0	243.5	13428.0	3061.0	4177.5	20878.5	11798.0	27932.5	19191.0	5458.0	103.5	18788.0	10233.0	135.0	34071.0	7054.0	10273.5	50198.5	18042.5	5387.0	189307.5	1374.5	22908.0	17572.5	17848.5	18128.0	36272.0	27176.5	53834.0	60029.5
772.0	198.5	672.5	3944.5	96.5	543.5	5644.5	1531.5	97.0	2087.5	524.0	5578.5	1764.0	19.0	3243.5	218.5	257.5	822.5	3199.5	2689.5	1641.5	921.5	15.0	1489.5	1161.5	17.5	2616.5	693.5	744.0	2463.5	1187.0	763.0	4774.0	398.0	3140.5	4074.0	3605.0	2066.0	5504.0	2995.0	6825.0	4594.5
775.0	193.5	525.5	2631.5	108.0	410.0	4273.0	1118.0	39.0	1958.5	444.0	4961.0	1414.5	10.5	2710.0	136.5	149.5	809.0	2437.0	2199.5	1162.5	709.0	19.0	1256.0	990.5	13.0	2136.5	508.5	722.5	1800.0	770.0	703.0	3477.0	353.0	13709.5	2986.5	2723.0	1601.0	3775.5	2690.5	5718.5	3798.5
809.0	108.5	296.0	1404.5	69.0	222.5	3016.0	547.5	42.5	964.5	286.0	3212.0	1077.0	10.0	1582.5	76.5	83.5	494.0	1558.5	1629.5	842.5	544.0	9.5	898.5	592.5	5.0	1354.5	266.5	470.0	1445.5	536.0	441.5	2299.0	161.0	1482.5	1693.5	1745.0	1016.5	2458.5	1814.5	3619.5	2345.5
815.0	420.5	1537.0	3983.5	174.0	1409.0	6181.5	2863.0	1484.0	8102.5	672.5	8223.0	14219.0	30.5	2561.5	442.0	315.0	1465.0	2470.5	4082.5	1796.5	1252.0	19.5	2231.0	1773.5	20.0	3750.0	971.5	1329.0	4240.0	1406.0	1370.5	5066.5	361.5	3031.0	2906.0	25507.0	1523.0	4346.5	4465.0	8470.0	9236.5
868.0	55.0	129.5	878.0	43.5	298.5	1258.0	323.0	32.0	873.5	108.5	1412.5	602.0	4.0	561.0	58.5	57.5	162.0	532.0	644.5	338.5	145.5	4.0	633.5	214.5	5.5	478.5	157.5	198.0	894.0	258.5	209.0	843.0	126.5	545.5	581.5	686.0	413.0	926.5	1399.0	1217.5	1025.5
