genus	SAMPLE_100008_1	SAMPLE_100008_2	SAMPLE_100008_3	SAMPLE_100137_1	SAMPLE_100137_2	SAMPLE_100137_3	SAMPLE_100177_1	SAMPLE_100177_2	SAMPLE_100177_3	SAMPLE_100200_2	SAMPLE_100200_3	SAMPLE_100206_1	SAMPLE_100206_2	SAMPLE_100206_3	SAMPLE_100217_1	SAMPLE_100217_2	SAMPLE_100217_3	SAMPLE_100248_1	SAMPLE_100248_2	SAMPLE_100248_3	SAMPLE_100255_1	SAMPLE_100255_2	SAMPLE_100255_3	SAMPLE_100256_1	SAMPLE_100256_2	SAMPLE_100256_3	SAMPLE_100257_1	SAMPLE_100257_2	SAMPLE_100257_3	SAMPLE_100261_1	SAMPLE_100261_2	SAMPLE_100261_3	SAMPLE_100267_1	SAMPLE_100267_2	SAMPLE_100267_3	SAMPLE_100306_1	SAMPLE_100306_2	SAMPLE_100306_3	SAMPLE_100337_1	SAMPLE_100337_2	SAMPLE_100337_3
6.0	6.0	43.5	133.0	3.0	7.5	393.5	94.0	6.0	148.0	23.5	353.5	69.5	1.5	233.0	14.0	0.5	46.5	208.0	134.5	101.5	60.0	0.0	91.0	63.0	3.0	124.0	36.5	63.5	229.5	83.5	43.0	256.0	30.0	161.5	232.0	219.0	174.0	297.0	178.0	420.5	307.5
10.0	162.5	175.0	609.0	19.0	70.5	1284.0	215.5	14.5	969.0	97.0	2535.0	395.5	6.5	451.5	164.5	50.0	183.0	637.0	700.0	688.5	294.0	4.0	383.5	281.0	4.0	521.5	160.5	260.0	625.5	153.5	151.5	727.5	69.5	466.5	463.5	592.5	316.0	785.5	629.5	1028.5	995.5
13.0	43.0	167.0	712.0	18.0	80.5	1293.5	360.0	16.0	578.0	76.5	1143.0	275.0	3.0	705.5	25.0	16.5	156.5	638.5	1037.0	230.0	130.5	1.0	376.0	183.5	2.0	325.0	143.0	137.0	274.5	331.0	112.0	1054.5	95.5	663.0	881.5	786.0	360.0	833.5	689.0	1169.0	1724.5
16.0	140.0	296.0	1730.0	93.0	354.5	2630.5	660.0	25.0	1276.0	339.0	3635.0	931.5	12.5	1584.5	71.5	100.0	575.5	1863.5	1283.5	990.0	543.0	10.0	1357.0	784.5	8.0	1407.5	285.0	463.0	1638.0	549.0	411.0	2322.5	158.0	1651.5	1792.0	1995.0	1006.0	2967.5	2262.5	4198.0	4016.0
18.0	59.0	205.0	632.0	37.5	136.0	1428.5	460.0	21.0	568.5	145.5	1493.0	482.0	7.0	941.0	42.5	62.0	383.0	841.5	764.5	400.5	360.5	3.5	398.5	299.0	5.5	756.5	208.0	284.5	676.0	553.5	260.0	1005.5	83.5	653.5	832.5	1289.0	550.5	1460.0	1002.0	1862.5	1823.5
20.0	26.5	97.5	568.0	22.0	43.0	658.0	216.0	29.0	187.5	53.0	768.0	256.0	2.5	343.0	30.0	55.5	121.5	289.0	412.0	236.0	148.5	2.5	189.5	163.0	0.0	301.5	88.0	106.5	431.0	96.5	126.5	478.0	50.0	282.5	288.0	366.0	211.5	573.0	376.5	694.0	452.0
22.0	627.0	1231.0	8668.0	398.5	653.0	9433.5	9171.5	555.5	5030.5	783.5	9689.0	42769.0	59.5	4105.0	2321.0	4748.0	2258.0	3653.5	10805.0	3371.0	1853.5	38.0	3156.0	1867.5	28.0	4266.5	2174.0	2754.0	5867.0	1361.5	1658.0	7912.0	496.0	5022.5	4727.5	4222.0	2206.5	8031.0	4707.5	9260.5	17248.5
32.0	133.0	541.5	1172.5	78.0	251.5	3692.5	893.5	122.5	992.0	248.5	6210.5	1124.5	6.0	1134.5	107.0	209.0	914.0	1152.5	1789.5	806.0	513.0	9.0	903.0	632.5	12.0	1262.5	422.5	813.0	3733.0	361.0	595.5	1456.0	165.0	1037.5	1095.5	1394.5	635.0	2707.5	1452.5	2849.0	3344.5
40.0	11.0	9.0	67.5	1.0	15.0	187.5	57.0	0.5	66.0	13.0	375.5	68.5	0.0	84.0	6.5	12.5	25.5	53.0	114.0	31.5	26.5	0.0	8.5	38.0	3.0	127.0	10.0	41.0	120.5	29.5	90.5	63.0	2.0	34.5	77.0	83.5	29.0	351.5	111.5	240.5	137.0
42.0	18.0	51.0	126.0	8.5	17.5	351.0	108.5	10.5	127.5	31.5	663.0	563.5	0.0	159.5	10.5	12.0	143.0	141.5	242.5	32.0	58.5	3.0	85.0	116.5	2.0	212.0	48.0	166.5	161.5	34.0	141.0	209.5	17.0	124.5	107.0	160.5	58.5	519.0	133.5	537.5	430.0
44.0	8.5	28.5	233.5	8.0	11.5	221.0	170.5	4.0	216.5	29.5	544.5	708.5	2.0	147.0	14.5	40.0	103.5	66.0	199.0	46.5	79.5	0.0	145.0	74.0	1.0	227.5	58.5	101.5	131.0	40.0	78.0	170.5	0.0	175.0	159.0	147.5	57.0	291.5	195.5	305.0	309.5
47.0	1.0	13.5	16.0	3.0	1.0	150.0	34.5	7.0	32.5	11.0	123.5	49.0	0.0	54.0	8.0	2.0	21.0	29.5	21.0	43.0	7.0	0.0	20.5	7.0	0.0	33.0	7.0	0.0	52.5	0.0	11.5	28.0	2.0	38.0	35.0	23.5	25.5	128.5	44.5	139.5	44.0
50.0	80.5	138.0	581.5	26.5	284.5	1267.5	254.0	19.0	814.5	86.0	995.5	314.5	5.0	559.0	42.5	61.5	229.5	707.0	682.0	335.5	792.0	1.5	387.0	372.0	8.5	830.0	197.0	211.0	863.0	266.5	238.0	808.0	51.0	713.0	789.0	738.5	438.0	1847.0	1055.5	2017.5	1498.0
53.0	16.0	18.0	125.0	0.0	13.0	252.5	66.5	4.5	7.5	6.5	99.5	128.5	0.0	87.0	9.0	45.0	49.5	94.0	104.0	63.0	380.0	0.0	60.0	38.5	0.0	214.5	15.0	22.0	97.0	41.0	106.0	146.5	24.5	63.0	104.5	73.5	38.0	120.5	78.5	344.5	406.0
55.0	24.0	44.0	177.0	5.0	79.5	299.5	37.5	8.0	182.0	26.5	377.0	76.5	1.0	191.5	8.0	10.5	32.0	330.0	231.0	104.5	186.0	3.0	76.5	135.0	1.0	146.5	43.0	49.0	107.0	88.0	21.0	315.5	32.0	174.5	327.0	302.5	132.0	634.5	353.0	591.5	260.5
59.0	36.5	207.5	584.0	19.5	184.5	903.5	166.0	10.5	433.0	100.0	1027.0	197.5	3.5	366.0	17.0	22.0	162.0	423.0	307.0	172.5	123.5	0.0	340.5	139.5	2.0	567.5	61.5	331.0	426.5	166.5	94.5	645.5	37.5	450.0	560.0	544.0	258.0	681.5	476.5	918.5	831.5
