genus	SAMPLE_100008_1	SAMPLE_100008_2	SAMPLE_100008_3	SAMPLE_100137_1	SAMPLE_100137_2	SAMPLE_100137_3	SAMPLE_100177_1	SAMPLE_100177_2	SAMPLE_100177_3	SAMPLE_100200_2	SAMPLE_100200_3	SAMPLE_100206_1	SAMPLE_100206_2	SAMPLE_100206_3	SAMPLE_100217_1	SAMPLE_100217_2	SAMPLE_100217_3	SAMPLE_100248_1	SAMPLE_100248_2	SAMPLE_100248_3	SAMPLE_100255_1	SAMPLE_100255_2	SAMPLE_100255_3	SAMPLE_100256_1	SAMPLE_100256_2	SAMPLE_100256_3	SAMPLE_100257_1	SAMPLE_100257_2	SAMPLE_100257_3	SAMPLE_100261_1	SAMPLE_100261_2	SAMPLE_100261_3	SAMPLE_100267_1	SAMPLE_100267_2	SAMPLE_100267_3	SAMPLE_100306_1	SAMPLE_100306_2	SAMPLE_100306_3	SAMPLE_100337_1	SAMPLE_100337_2	SAMPLE_100337_3
29.0	1083.5	2851.5	12333.5	848.0	4288.5	24549.5	6093.0	508.5	10943.5	1991.5	26834.0	8156.0	61.5	11416.5	931.0	1125.0	5210.0	11645.5	13929.5	6713.0	10547.0	73.5	7177.0	5812.0	89.0	12209.0	3122.5	4776.5	16168.5	4212.0	4878.5	15483.5	1196.5	13453.5	11925.0	13259.5	6905.5	22470.5	15569.0	30413.0	23005.5
112.0	1308.0	4281.0	24318.5	804.0	1890.0	37684.0	9048.0	430.5	12276.0	3063.5	34580.5	9332.0	99.0	22111.0	787.5	959.5	5518.0	21189.0	12949.0	8837.5	5611.5	103.5	8562.5	7328.0	105.0	16216.5	3908.5	4984.5	15058.0	6079.5	11242.5	43765.5	2889.5	17359.5	26261.0	21629.5	13220.0	27145.5	20704.0	41445.0	23720.5
136.0	372.0	2225.0	5296.5	256.5	638.5	12189.5	6026.0	204.5	8846.5	911.5	14402.5	4661.5	27.5	4436.0	510.5	217.0	1403.5	4061.0	4581.0	2522.5	1456.5	26.0	2701.0	2585.5	21.0	5802.0	991.0	1459.0	3714.0	2542.0	1083.5	6632.5	526.0	4226.5	4824.0	4980.0	3644.5	7212.5	4250.0	11616.0	11285.0
356.0	10985.5	27638.5	147276.5	5706.5	20684.0	216703.0	59879.0	4558.5	94659.5	21588.5	226553.5	78807.5	722.0	115243.0	11382.5	14341.5	41821.0	120687.0	117063.5	79833.5	42840.0	618.0	69076.0	52825.5	598.5	106854.0	29730.0	39144.0	131140.0	49096.0	33822.0	185735.0	16608.5	135984.5	139909.0	148794.0	85094.0	212650.0	150672.0	290650.0	226851.5
766.0	563.0	1553.0	8041.0	311.5	1093.5	13509.0	3184.5	188.0	5197.0	1199.0	14106.5	3780.5	40.0	8122.0	455.0	424.5	2319.0	7909.0	6294.0	4040.0	2238.0	48.5	3665.0	2513.5	33.5	5755.0	1402.0	2021.5	5622.5	2409.0	2089.5	13741.0	1195.0	22349.0	9594.5	8312.0	5049.0	12023.0	7878.0	15832.0	10731.0
1118.0	788.5	1680.0	8758.0	335.5	726.5	11109.5	3436.0	258.5	5717.5	1372.0	15053.0	4272.0	43.0	5173.5	400.5	435.0	2992.0	6430.5	4713.5	4752.0	3569.5	36.0	4773.5	3174.5	39.5	8850.5	1694.0	2417.5	6533.5	2751.5	1925.0	9089.5	678.0	7238.5	5892.0	8085.0	5375.0	10681.5	7477.5	18434.5	54555.5
1150.0	1058.5	1747.0	11309.5	415.0	906.5	14141.5	6869.0	473.0	29089.5	1347.5	14742.0	5852.5	67.0	4563.0	641.5	559.0	3546.5	6707.5	8013.0	4846.5	3432.5	69.5	6004.5	3316.0	45.5	8353.0	3185.0	3187.5	9083.0	4418.0	2506.0	9188.5	747.0	10347.5	6107.0	8478.0	6562.0	12452.5	9122.5	25433.5	97871.0
1161.0	1405.5	3348.5	13594.0	622.0	1271.5	22062.0	7964.5	538.5	14926.5	3664.0	22548.5	8671.0	141.0	7183.0	995.5	1265.5	4571.5	10228.5	14267.5	8770.0	5781.0	67.0	10805.5	5650.5	69.5	12722.5	4746.5	5398.5	15591.5	9056.5	3831.0	15820.0	1143.5	12921.5	10571.0	13302.5	11119.5	23526.0	59394.5	32519.0	460659.0
1385.0	13589.5	40304.5	141576.5	12197.0	26812.5	215099.0	81358.0	44735.5	158374.0	26341.5	262308.5	156611.0	1005.0	82794.5	21084.5	22284.5	90687.0	88838.5	191760.5	86990.5	53574.5	820.5	80388.5	50075.0	796.5	430905.0	58624.0	61747.5	209357.0	74967.0	59941.0	288945.5	10556.0	153142.0	282156.5	135004.5	121148.5	215208.5	252508.0	244780.5	503456.5
2037.0	1638.0	7198.5	16064.5	536.5	1531.5	26521.5	14309.0	2786.5	20083.0	2493.5	22363.0	25727.5	102.0	8923.0	1606.5	1820.5	6423.5	6958.5	19117.5	6218.5	4497.0	66.5	10669.5	5326.5	64.0	17546.5	4282.0	4691.0	23950.0	22693.0	3959.0	14915.5	813.5	13181.5	10001.0	12531.0	6391.0	17097.0	13891.5	43162.0	29505.5
