index,SAMPLE_100008_1,SAMPLE_100008_2,SAMPLE_100008_3,SAMPLE_100137_1,SAMPLE_100137_2,SAMPLE_100137_3,SAMPLE_100177_1,SAMPLE_100177_2,SAMPLE_100177_3,SAMPLE_100200_2,SAMPLE_100200_3,SAMPLE_100206_1,SAMPLE_100206_2,SAMPLE_100206_3,SAMPLE_100217_1,SAMPLE_100217_2,SAMPLE_100217_3,SAMPLE_100248_1,SAMPLE_100248_2,SAMPLE_100248_3,SAMPLE_100255_1,SAMPLE_100255_2,SAMPLE_100255_3,SAMPLE_100256_1,SAMPLE_100256_2,SAMPLE_100256_3,SAMPLE_100257_1,SAMPLE_100257_2,SAMPLE_100257_3,SAMPLE_100261_1,SAMPLE_100261_2,SAMPLE_100261_3,SAMPLE_100267_1,SAMPLE_100267_2,SAMPLE_100267_3,SAMPLE_100306_1,SAMPLE_100306_2,SAMPLE_100306_3,SAMPLE_100337_1,SAMPLE_100337_2,SAMPLE_100337_3
AB000137.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,1.5,0.0,2.0,1.5,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.5,4231.0,2292.0,1.0,1.5,2.5,1.5,0.0,1.5,1.0,0.0,0.0
AB000138.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.5,4.0,4.0,5.0,9.5,21.5,40.0,81.5,1.5,3022.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,21.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
AB000139.1,2.0,4.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,1.5,6.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB000140.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.5,0.5,48.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB000141.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB000142.1,1.5,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.5,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB000143.1,538.5,210.0,525.5,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,246.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB000144.1,32.5,25.5,102.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,840.0,2124.0,3149.5,0.0,3.0,38.0,1.0,0.0,50.0,0.5,1.0,0.0,1.0,53.5,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
AB000145.1,1090.5,925.5,2058.0,0.0,0.0,1.0,0.0,1.5,3.5,0.5,0.5,1.5,3.0,0.0,0.5,3.0,0.5,4.5,11.5,26.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2743.0,1601.5,2.0,3.0,0.0,1.0,0.0,1.0,1.5,0.0,0.0
AB000146.1,1.5,2.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.5,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
