sample	cleaned_fastq.1	cleaned_fastq.2	cleaned_fastq.U	merged_fastq.1	merged_fastq.2	merged_fastq.U	raw_fastq.1	raw_fastq.2	raw_fastq.U	trimmed_fastq.1	trimmed_fastq.2	trimmed_fastq.U
100267_3090B	17066757	17066757	1372427	17142873	17142873	1394121	20217362	20217362	0	18485080	18485080	51914
100267_3150B	24010766	24010766	2275642	24121070	24121070	2289023	27135621	27135621	0	26398963	26398963	11130
100267_4240	37709964	37709964	1962252	37982846	37982846	2012581	41612705	41612705	0	39926595	39926595	68832
100267_3150	36842406	36842406	3202195	37041226	37041226	3218233	40963712	40963712	0	40247643	40247643	11816
100267_3090	30683482	30683482	2180222	30836259	30836259	2203272	34674082	34674082	0	32960828	32960828	78703
100255_4230	38714026	38714026	1986438	38952792	38952792	1997037	41193333	41193333	0	40940257	40940257	9572
100257_4230	73362455	73362455	4040509	73795056	73795056	4058723	78424958	78424958	0	77838186	77838186	15593
100257_3100	75127458	75127458	4149237	75567778	75567778	4171507	80559024	80559024	0	79710183	79710183	29102
100257_3160	74342449	74342449	4602842	74757928	74757928	4835053	89017234	89017234	0	79129929	79129929	463052
100008_4240B	44176809	44176809	3961800	44471231	44471231	3989714	49601107	49601107	0	48431719	48431719	29226
100008_4240	62771572	62771572	5676851	63185940	63185940	5719138	70660542	70660542	0	68865070	68865070	40008
100008_3160B	97509046	97509046	7960400	97989274	97989274	7984564	106430819	106430819	0	105902696	105902696	71142
100008_3100B	64469702	64469702	4305233	64761763	64761763	4320090	69633773	69633773	0	69066898	69066898	14955
100008_3100	22376	22376	1444	22800	22800	1456	24424	24424	0	23709	23709	547
100008_3160	48737	48737	4171	49574	49574	4210	54923	54923	0	53755	53755	29
100255_3160	66493501	66493501	3155911	66956728	66956728	3167342	70137392	70137392	0	70123575	70123575	495
100255_3100	53765167	53765167	3603050	54099300	54099300	3614725	58017417	58017417	0	57707276	57707276	6749
100306_4230B	44874943	44874943	3671441	45091385	45091385	3729128	53076421	53076421	0	48712229	48712229	108284
100306_3150B	25429540	25429540	2157172	25541182	25541182	2212362	33471354	33471354	0	27687836	27687836	65708
100306_4230	61691509	61691509	4721117	62025186	62025186	4782806	70959739	70959739	0	66680543	66680543	127449
100306_3150	37907874	37907874	2998615	38095827	38095827	3049392	46702056	46702056	0	41077578	41077578	67641
100261_3160	57452259	57452259	5265292	57785764	57785764	5278592	63236551	63236551	0	63055701	63055701	8655
100261_3080	41371513	41371513	3482635	41622993	41622993	3489011	45171790	45171790	0	45110740	45110740	1264
100261_4240	51882623	51882623	4774385	52233196	52233196	4790715	57298473	57298473	0	57011429	57011429	12482
100217_3080	53067041	53067041	4737503	53365017	53365017	4747779	58208624	58208624	0	58109614	58109614	3182
100217_4230	60731163	60731163	6619862	61108769	61108769	6657637	68769860	68769860	0	67728927	67728927	37479
100217_3150	63641560	63641560	5649151	64011964	64011964	5660364	69712878	69712878	0	69671187	69671187	1141
100248_3100	57423434	57423434	3588566	57774266	57774266	3604924	61661315	61661315	0	61365818	61365818	13372
100248_4240	62178313	62178313	4108422	62573909	62573909	4119888	66711278	66711278	0	66693298	66693298	499
100248_3160	66759785	66759785	4098083	67215083	67215083	4112448	71367053	71367053	0	71325411	71325411	2120
100137_4230	48121824	48121824	2604778	48359031	48359031	2615704	51351819	51351819	0	50934933	50934933	39802
100137_3090	39756558	39756558	3023708	39968493	39968493	3032575	43343019	43343019	0	42991610	42991610	9458
100137_4230B	35017485	35017485	2090160	35164129	35164129	2099076	37650253	37650253	0	37232225	37232225	30980
100137_3150	57326503	57326503	2960698	57586694	57586694	2990671	62545936	62545936	0	60537502	60537502	39863
100137_3150B	40289465	40289465	2456444	40457601	40457601	2485792	44962968	44962968	0	42906450	42906450	36943
100337_3080	52737882	52737882	5001323	53082890	53082890	5026835	58865282	58865282	0	58086426	58086426	23299
100337_3150	49435139	49435139	4562410	49779621	49779621	4586703	55305829	55305829	0	54344964	54344964	21360
100337_4240	40754350	40754350	3868759	41042101	41042101	3892328	45820899	45820899	0	44909881	44909881	24548
100206_3100B	38245476	38245476	2453378	38490259	38490259	2461893	41122996	41122996	0	40945735	40945735	6417
100206_3160	63896640	63896640	3526572	64312548	64312548	3537655	67928065	67928065	0	67847592	67847592	2611
100206_3100	53785359	53785359	3571168	54126904	54126904	3584314	57975036	57975036	0	57702961	57702961	8257
100200_3160	120196891	120196891	11915452	120686508	120686508	11933792	132721657	132721657	0	132618242	132618242	2058
100200_4240	28015177	28015177	3232095	28147696	28147696	3244687	33187306	33187306	0	31371771	31371771	20612
100200_3100	61524558	61524558	6885192	61904044	61904044	6902465	69156861	69156861	0	68792679	68792679	13830
Water_A16	10442	10442	16696	12577	12577	43708	1037218	1037218	0	17719	17719	38566
Water_A8B	87136	87136	23573	87976	87976	27429	425207	425207	0	108827	108827	6578
