Sample	Patient	Cohort	Read1	Read2
Amanhi_6	Amanhi_6	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_63_S46/Amanhi_63_S46_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_63_S46/Amanhi_63_S46_R2_001.fastq.gz
Amanhi_7	Amanhi_7	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_72_S55/Amanhi_72_S55_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_72_S55/Amanhi_72_S55_R2_001.fastq.gz
Amanhi_8	Amanhi_8	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_80_S63/Amanhi_80_S63_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_80_S63/Amanhi_80_S63_R2_001.fastq.gz
Amanhi_9	Amanhi_9	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_9_S4/Amanhi_9_S4_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_9_S4/Amanhi_9_S4_R2_001.fastq.gz
Amanhi_10	Amanhi_10	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_106_S89/Amanhi_106_S89_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_106_S89/Amanhi_106_S89_R2_001.fastq.gz
Amanhi_11	Amanhi_11	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_11_S6/Amanhi_11_S6_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_11_S6/Amanhi_11_S6_R2_001.fastq.gz
Amanhi_12	Amanhi_12	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_12_S7/Amanhi_12_S7_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_12_S7/Amanhi_12_S7_R2_001.fastq.gz
Amanhi_13	Amanhi_13	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_13_S8/Amanhi_13_S8_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_13_S8/Amanhi_13_S8_R2_001.fastq.gz
Amanhi_14	Amanhi_14	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_14_S9/Amanhi_14_S9_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_14_S9/Amanhi_14_S9_R2_001.fastq.gz
Amanhi_15	Amanhi_15	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_15_S10/Amanhi_15_S10_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_15_S10/Amanhi_15_S10_R2_001.fastq.gz
Amanhi_16	Amanhi_16	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_16_S11/Amanhi_16_S11_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_16_S11/Amanhi_16_S11_R2_001.fastq.gz
Amanhi_17	Amanhi_17	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_17_S12/Amanhi_17_S12_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_17_S12/Amanhi_17_S12_R2_001.fastq.gz
Amanhi_18	Amanhi_18	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_18_S13/Amanhi_18_S13_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_18_S13/Amanhi_18_S13_R2_001.fastq.gz
Amanhi_19	Amanhi_19	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_19_S14/Amanhi_19_S14_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_19_S14/Amanhi_19_S14_R2_001.fastq.gz
Amanhi_20	Amanhi_20	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_20_S15/Amanhi_20_S15_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_20_S15/Amanhi_20_S15_R2_001.fastq.gz
Amanhi_21	Amanhi_21	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_21_S16/Amanhi_21_S16_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_21_S16/Amanhi_21_S16_R2_001.fastq.gz
Amanhi_22	Amanhi_22	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_22_S17/Amanhi_22_S17_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_22_S17/Amanhi_22_S17_R2_001.fastq.gz
Amanhi_23	Amanhi_23	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_23_S18/Amanhi_23_S18_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_23_S18/Amanhi_23_S18_R2_001.fastq.gz
Amanhi_28	Amanhi_28	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_28_S19/Amanhi_28_S19_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_28_S19/Amanhi_28_S19_R2_001.fastq.gz
Amanhi_31	Amanhi_31	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_31_S20/Amanhi_31_S20_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_31_S20/Amanhi_31_S20_R2_001.fastq.gz
Amanhi_32	Amanhi_32	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_32_S21/Amanhi_32_S21_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_32_S21/Amanhi_32_S21_R2_001.fastq.gz
Amanhi_33	Amanhi_33	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_33_S22/Amanhi_33_S22_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_33_S22/Amanhi_33_S22_R2_001.fastq.gz
Amanhi_34	Amanhi_34	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_34_S23/Amanhi_34_S23_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_34_S23/Amanhi_34_S23_R2_001.fastq.gz
Amanhi_35	Amanhi_35	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_35_S24/Amanhi_35_S24_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_35_S24/Amanhi_35_S24_R2_001.fastq.gz
Amanhi_36	Amanhi_36	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_36_S25/Amanhi_36_S25_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_36_S25/Amanhi_36_S25_R2_001.fastq.gz
Amanhi_37	Amanhi_37	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_37_S26/Amanhi_37_S26_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_37_S26/Amanhi_37_S26_R2_001.fastq.gz
Amanhi_38	Amanhi_38	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_38_S27/Amanhi_38_S27_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_38_S27/Amanhi_38_S27_R2_001.fastq.gz
Amanhi_39	Amanhi_39	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_39_S28/Amanhi_39_S28_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_39_S28/Amanhi_39_S28_R2_001.fastq.gz
Amanhi_41	Amanhi_41	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_41_S29/Amanhi_41_S29_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_41_S29/Amanhi_41_S29_R2_001.fastq.gz
Amanhi_46	Amanhi_46	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_46_S30/Amanhi_46_S30_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_46_S30/Amanhi_46_S30_R2_001.fastq.gz
