"tax_id","parent_id","rank","tax_name","root","below_root","below_below_root","superkingdom","below_superkingdom","below_below_superkingdom","below_below_below_superkingdom","kingdom","below_kingdom","below_below_kingdom","below_below_below_kingdom","below_below_below_below_kingdom","subkingdom","phylum","below_phylum","below_below_phylum","subphylum","below_subphylum","below_below_subphylum","below_below_below_subphylum","below_below_below_below_subphylum","below_below_below_below_below_subphylum","below_below_below_below_below_below_subphylum","below_below_below_below_below_below_below_subphylum","below_below_below_below_below_below_below_below_subphylum","below_below_below_below_below_below_below_below_below_subphylum","below_below_below_below_below_below_below_below_below_below_subphylum","below_below_below_below_below_below_below_below_below_below_below_subphylum","class","below_class","subclass","below_subclass","order","below_order","below_below_order","suborder","family","below_family","subfamily","below_subfamily","below_below_subfamily","below_below_below_subfamily","below_below_below_below_subfamily","tribe","subtribe","genus","below_genus","subgenus","species_group","species_subgroup","species","below_species","below_below_species","subspecies","below_subspecies","varietas"
"1","1","root","root","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131567","1","below_root","cellular organisms","1","131567","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28384","1","below_root","other sequences","1","28384","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"81077","28384","below_below_root","artificial sequences","1","28384","81077","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2157","131567","superkingdom","Archaea","1","131567","","2157","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","131567","superkingdom","Bacteria","1","131567","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2759","131567","superkingdom","Eukaryota","1","131567","","2759","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10239","1","superkingdom","Viruses","1","","","10239","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33630","2759","below_superkingdom","Alveolata","1","131567","","2759","33630","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33682","2759","below_superkingdom","Euglenozoa","1","131567","","2759","33682","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1783270","2","below_superkingdom","FCB group","1","131567","","2","1783270","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33154","2759","below_superkingdom","Opisthokonta","1","131567","","2759","33154","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1783257","2","below_superkingdom","PVC group","1","131567","","2","1783257","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2559587","10239","below_superkingdom","Riboviria","1","","","10239","2559587","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1783272","2","below_superkingdom","Terrabacteria group","1","131567","","2","1783272","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48479","2","below_superkingdom","environmental samples","1","131567","","2","48479","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2323","2","below_superkingdom","unclassified Bacteria","1","131567","","2","2323","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68336","1783270","below_below_superkingdom","Bacteroidetes/Chlorobi group","1","131567","","2","1783270","68336","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5878","33630","below_below_superkingdom","Ciliophora","1","131567","","2759","33630","5878","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1798711","1783272","below_below_superkingdom","Cyanobacteria/Melainabacteria group","1","131567","","2","1783272","1798711","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49928","2323","below_below_superkingdom","unclassified Bacteria (miscellaneous)","1","131567","","2","2323","49928","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1922347","2559587","below_below_superkingdom","unclassified RNA viruses","1","","","10239","2559587","1922347","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1922348","1922347","below_below_below_superkingdom","unclassified RNA viruses ShiM-2016","1","","","10239","2559587","1922347","1922348","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4751","33154","kingdom","Fungi","1","131567","","2759","33154","","","4751","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33208","33154","kingdom","Metazoa","1","131567","","2759","33154","","","33208","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33090","2759","kingdom","Viridiplantae","1","131567","","2759","","","","33090","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6072","33208","below_kingdom","Eumetazoa","1","131567","","2759","33154","","","33208","6072","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33213","6072","below_below_kingdom","Bilateria","1","131567","","2759","33154","","","33208","6072","33213","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33317","33213","below_below_below_kingdom","Protostomia","1","131567","","2759","33154","","","33208","6072","33213","33317","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1206794","33317","below_below_below_below_kingdom","Ecdysozoa","1","131567","","2759","33154","","","33208","6072","33213","33317","1206794","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1206795","33317","below_below_below_below_kingdom","Lophotrochozoa","1","131567","","2759","33154","","","33208","6072","33213","33317","1206795","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"451864","4751","subkingdom","Dikarya","1","131567","","2759","33154","","","4751","","","","","451864","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"201174","1783272","phylum","Actinobacteria","1","131567","","2","1783272","","","","","","","","","201174","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6340","1206795","phylum","Annelida","1","131567","","2759","33154","","","33208","6072","33213","33317","1206795","","6340","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5794","33630","phylum","Apicomplexa","1","131567","","2759","33630","","","","","","","","","5794","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4890","451864","phylum","Ascomycota","1","131567","","2759","33154","","","4751","","","","","451864","4890","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"976","68336","phylum","Bacteroidetes","1","131567","","2","1783270","68336","","","","","","","","976","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5204","451864","phylum","Basidiomycota","1","131567","","2759","33154","","","4751","","","","","451864","5204","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3041","33090","phylum","Chlorophyta","1","131567","","2759","","","","33090","","","","","","3041","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1117","1798711","phylum","Cyanobacteria","1","131567","","2","1783272","1798711","","","","","","","","1117","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1297","1783272","phylum","Deinococcus-Thermus","1","131567","","2","1783272","","","","","","","","","1297","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28890","2157","phylum","Euryarchaeota","1","131567","","2157","","","","","","","","","","28890","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1239","1783272","phylum","Firmicutes","1","131567","","2","1783272","","","","","","","","","1239","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32066","2","phylum","Fusobacteria","1","131567","","2","","","","","","","","","","32066","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
