,0
0,1C04_E
1,1GIY_A
2,1JZX_A
3,3J37_A
4,AB000106.1
5,AB002481.1
6,AB002522.1
7,AB003167.1
8,AB003168.1
9,AB006122.1
10,AB006128.1
11,AB006129.1
12,AB006168.1
13,AB007006.1
14,AB007317.1
15,AB007996.1
16,AB008000.1
17,AB008115.1
18,AB008429.1
19,AB008504.1
20,AB008510.1
21,AB008511.1
22,AB008514.1
23,AB008531.1
24,AB009942.1
25,AB010612.1
26,AB010858.1
27,AB010859.1
28,AB010951.1
29,AB011075.1
30,AB011183.1
31,AB011184.1
32,AB011287.1
33,AB011815.1
34,AB012062.1
35,AB012914.1
36,AB013089.1
37,AB013090.1
38,AB013373.1
39,AB013409.1
40,AB013415.1
41,AB013418.1
42,AB013421.1
43,AB013423.1
44,AB013427.1
45,AB013429.1
46,AB013431.1
47,AB013435.1
48,AB013438.1
49,AB013500.1
50,AB013920.1
51,AB015048.1
52,AB015328.1
53,AB015562.1
54,AB016058.1
55,AB016812.1
56,AB016846.1
57,AB016847.1
58,AB017113.1
59,AB017358.1
60,AB017487.1
61,AB017650.1
62,AB017799.1
63,AB017812.1
64,AB018688.1
65,AB019044.1
66,AB019248.1
67,AB020186.1
68,AB020196.1
69,AB020197.1
70,AB020205.1
71,AB021332.1
72,AB021388.1
73,AB021418.1
74,AB022205.1
75,AB022208.1
76,AB022337.1
77,AB022601.1
78,AB022889.1
79,AB022911.1
80,AB023353.1
81,AB023362.2
82,AB024616.1
83,AB025183.1
84,AB025189.1
85,AB025191.1
86,AB025279.1
87,AB025530.1
88,AB025599.1
89,AB027618.1
90,AB027620.1
91,AB028372.1
92,AB028401.1
93,AB033945.1
94,AB033946.1
95,AB033949.1
96,AB035010.1
97,AB035455.1
98,AB035484.1
99,AB035485.1
100,AB039006.1
101,AB039009.1
102,AB039012.1
103,AB039329.1
104,AB039330.1
105,AB042073.1
106,AB042088.1
107,AB042093.1
108,AB042097.1
109,AB042290.1
110,AB045283.1
111,AB046358.1
112,AB050733.1
113,AB050734.1
114,AB050735.1
115,AB050736.1
116,AB051430.1
117,AB052968.1
118,AB053126.1
119,AB054830.1
120,AB054832.1
121,AB054962.1
122,AB055990.1
123,AB055997.1
124,AB059411.1
125,AB059440.2
126,AB062278.1
127,AB063307.1
128,AB063308.1
129,AB064690.1
130,AB064837.1
131,AB064844.1
132,AB064925.1
133,AB070459.1
134,AB074644.1
135,AB074718.1
136,AB074725.1
137,AB074728.1
138,AB074731.1
139,AB074743.1
140,AB075075.1
141,AB075082.1
142,AB075177.1
143,AB075622.1
144,AB075659.1
145,AB075661.1
146,AB075688.1
147,AB076875.1
148,AB077986.1
149,AB078051.1
150,AB078829.1
151,AB079470.1
152,AB081583.1
153,AB081815.1
154,AB081817.1
155,AB083409.1
156,AB086019.1
157,AB086623.1
158,AB088545.1
159,AB089102.1
160,AB092620.1
161,AB092630.1
