index,SAMPLE_100008_1,SAMPLE_100008_2,SAMPLE_100008_3,SAMPLE_100137_1,SAMPLE_100137_2,SAMPLE_100137_3,SAMPLE_100177_1,SAMPLE_100177_2,SAMPLE_100177_3,SAMPLE_100200_1,SAMPLE_100200_2,SAMPLE_100200_3,SAMPLE_100206_1,SAMPLE_100206_2,SAMPLE_100206_3,SAMPLE_100217_1,SAMPLE_100217_2,SAMPLE_100217_3,SAMPLE_100248_1,SAMPLE_100248_2,SAMPLE_100248_3,SAMPLE_100255_1,SAMPLE_100255_2,SAMPLE_100255_3,SAMPLE_100256_1,SAMPLE_100256_2,SAMPLE_100256_3,SAMPLE_100257_1,SAMPLE_100257_2,SAMPLE_100257_3,SAMPLE_100261_1,SAMPLE_100261_2,SAMPLE_100261_3,SAMPLE_100267_1,SAMPLE_100267_2,SAMPLE_100267_3,SAMPLE_100306_1,SAMPLE_100306_2,SAMPLE_100306_3,SAMPLE_100337_1,SAMPLE_100337_2,SAMPLE_100337_3
0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1,0.0,3.0,12.0,9.0,16,38,115.0,8.0,28.0,32.0,9,307,268,1.0,99,81,2.0,0.0,0.0,12.0,13.0,0.0,0.0,0.0,158.0,0.0,21.0,0.0,0.0,0,460.0,59,18,0.0,0.0,0.0,1,0.0,1.0,1.0,0.0,4.0
2,5.0,7.0,55.0,12.0,42,98,367.0,28.0,61.0,107.0,34,904,1004,2.0,264,128,5.0,11.0,0.0,47.0,26.0,17.0,0.0,0.0,413.0,0.0,61.0,4.0,2.0,0,979.0,104,66,0.0,2.0,0.0,23,0.0,1.0,5.0,2.0,7.0
3,5.0,8.0,96.0,14.0,59,280,424.0,41.0,103.0,132.0,40,1125,1232,2.0,318,139,5.0,37.0,0.0,50.0,28.0,96.0,0.0,0.0,520.0,0.0,71.0,33.0,133.0,141,1128.0,137,79,0.0,3.0,0.0,98,0.0,4.0,4.0,0.0,7.0
4,6.0,9.0,98.0,15.0,61,391,456.0,41.0,121.0,139.0,40,1177,1261,2.0,338,147,6.0,53.0,0.0,55.0,28.0,296.0,0.0,0.0,541.0,0.0,72.0,34.0,136.0,172,1241.0,180,81,0.0,3.0,0.0,110,2.0,4.0,7.0,12.0,11.0
5,6.0,8.0,99.0,15.0,66,410,470.0,45.0,125.0,148.0,40,1235,1284,2.0,361,150,6.0,64.0,0.0,54.0,26.0,298.0,0.0,0.0,553.0,0.0,72.0,34.0,137.0,173,1246.0,195,81,0.0,3.0,0.0,121,5.0,3.0,7.0,12.0,10.0
6,6.0,9.0,114.0,15.0,65,415,466.0,41.0,124.0,148.0,42,1227,1269,1.0,358,151,6.0,66.0,0.0,53.0,28.0,295.0,0.0,0.0,546.0,0.0,70.0,34.0,138.0,168,1250.0,195,78,0.0,3.0,0.0,123,5.0,4.0,7.0,12.0,8.0
7,6.0,8.0,127.0,15.0,66,413,475.0,43.0,127.0,150.0,42,1241,1286,2.0,368,153,6.0,68.0,0.0,53.0,28.0,298.0,0.0,0.0,555.0,0.0,72.0,33.0,137.0,173,1255.0,195,82,0.0,3.0,0.0,123,5.0,4.0,7.0,13.0,11.0
8,6.0,7.0,125.0,15.0,65,414,469.0,48.0,125.0,149.0,42,1243,1287,2.0,364,151,6.0,67.0,0.0,55.0,28.0,296.0,0.0,0.0,551.0,0.0,67.0,34.0,137.0,175,1249.0,191,80,0.0,3.0,0.0,125,5.0,4.0,7.0,12.0,9.0
9,6.0,7.0,125.0,15.0,66,413,471.0,47.0,126.0,150.0,42,1235,1279,2.0,364,146,6.0,66.0,0.0,54.0,27.0,298.0,0.0,0.0,548.0,0.0,63.0,34.0,138.0,171,1245.0,192,81,0.0,3.0,0.0,120,5.0,4.0,7.0,13.0,10.0
10,6.0,9.0,124.0,15.0,66,412,472.0,47.0,125.0,147.0,42,1243,1290,2.0,368,153,6.0,67.0,0.0,55.0,27.0,297.0,0.0,0.0,547.0,0.0,69.0,34.0,137.0,174,1266.0,196,80,0.0,3.0,0.0,125,5.0,4.0,6.0,12.0,11.0
11,6.0,8.0,125.0,15.0,66,416,474.0,47.0,126.0,146.0,41,1243,1281,2.0,367,151,6.0,68.0,0.0,55.0,27.0,295.0,0.0,0.0,556.0,0.0,70.0,34.0,138.0,173,1249.0,196,79,0.0,3.0,0.0,124,5.0,4.0,7.0,11.0,11.0
12,6.0,9.0,126.0,15.0,66,412,469.0,47.0,127.0,148.0,42,1246,1284,2.0,370,152,6.0,67.0,0.0,55.0,27.0,296.0,0.0,0.0,556.0,0.0,68.0,34.0,138.0,174,1257.0,196,81,0.0,3.0,0.0,122,5.0,4.0,5.0,12.0,11.0
13,6.0,8.0,125.0,15.0,66,413,469.0,47.0,126.0,149.0,42,1234,1279,2.0,366,149,6.0,68.0,0.0,55.0,28.0,298.0,0.0,0.0,551.0,0.0,68.0,34.0,138.0,173,1251.0,195,82,0.0,3.0,0.0,125,5.0,4.0,6.0,11.0,11.0
14,6.0,9.0,127.0,15.0,66,416,472.0,48.0,127.0,149.0,41,1247,1281,2.0,370,152,6.0,67.0,0.0,54.0,28.0,299.0,0.0,0.0,550.0,0.0,67.0,34.0,138.0,173,1260.0,195,82,0.0,3.0,0.0,123,5.0,4.0,7.0,13.0,11.0
15,6.0,9.0,126.0,15.0,66,414,475.0,47.0,126.0,148.0,42,1250,1290,2.0,369,152,6.0,68.0,0.0,53.0,28.0,299.0,0.0,0.0,556.0,0.0,68.0,34.0,138.0,174,1262.0,197,82,0.0,3.0,0.0,121,5.0,4.0,7.0,13.0,11.0
16,6.0,9.0,127.0,14.0,63,417,474.0,48.0,127.0,149.0,42,1248,1288,2.0,368,152,6.0,67.0,0.0,54.0,28.0,298.0,0.0,0.0,555.0,0.0,71.0,34.0,138.0,175,1256.0,197,81,0.0,3.0,0.0,125,5.0,4.0,7.0,13.0,11.0
17,6.0,9.0,126.0,15.0,66,414,475.0,48.0,127.0,149.0,42,1247,1286,2.0,369,152,6.0,67.0,0.0,55.0,28.0,297.0,0.0,0.0,555.0,0.0,68.0,34.0,138.0,172,1257.0,196,81,0.0,3.0,0.0,124,5.0,4.0,7.0,13.0,11.0
18,6.0,9.0,124.0,15.0,65,417,470.0,47.0,126.0,149.0,40,1244,1285,2.0,366,152,6.0,67.0,0.0,55.0,28.0,296.0,0.0,0.0,556.0,0.0,72.0,33.0,138.0,170,1254.0,195,81,0.0,3.0,0.0,125,5.0,4.0,7.0,13.0,10.0
19,6.0,9.0,126.0,15.0,66,416,475.0,47.0,126.0,145.0,41,1248,1283,2.0,365,152,6.0,67.0,0.0,53.0,27.0,299.0,0.0,0.0,555.0,0.0,72.0,34.0,138.0,174,1257.0,194,82,0.0,3.0,0.0,123,5.0,4.0,6.0,12.0,10.0
20,6.0,9.0,125.0,15.0,66,416,476.0,48.0,127.0,149.0,42,1252,1291,2.0,369,153,6.0,68.0,0.0,53.0,28.0,296.0,0.0,0.0,554.0,0.0,71.0,33.0,138.0,174,1262.0,195,81,0.0,3.0,0.0,125,5.0,4.0,6.0,13.0,9.0
21,5.0,9.0,125.0,15.0,65,411,476.0,47.0,127.0,150.0,41,1243,1283,2.0,367,153,6.0,67.0,0.0,52.0,28.0,295.0,0.0,0.0,554.0,0.0,71.0,34.0,138.0,175,1252.0,196,82,0.0,3.0,0.0,124,5.0,4.0,6.0,13.0,10.0
22,6.0,9.0,126.0,15.0,66,414,470.0,47.0,125.0,150.0,42,1246,1284,2.0,367,151,6.0,66.0,0.0,53.0,26.0,297.0,0.0,0.0,553.0,0.0,72.0,33.0,138.0,173,1249.0,192,82,0.0,3.0,0.0,123,5.0,4.0,6.0,13.0,11.0
23,6.0,7.0,120.0,15.0,66,415,468.0,48.0,124.0,145.0,42,1225,1278,2.0,361,152,6.0,65.0,0.0,52.0,26.0,294.0,0.0,0.0,544.0,0.0,67.0,33.0,138.0,174,1249.0,192,80,0.0,2.0,0.0,122,5.0,4.0,6.0,12.0,11.0
24,2.0,7.0,122.0,0.0,1,18,1.0,0.0,0.0,0.0,0,44,8,0.0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,4.0,0.0,1.0,0,23.0,2,9,0.0,0.0,0.0,0,0.0,0.0,1.0,2.0,1.0
25,2.0,7.0,123.0,0.0,2,17,1.0,0.0,0.0,0.0,0,10,7,0.0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,4.0,0.0,1.0,0,22.0,2,0,0.0,0.0,0.0,0,0.0,0.0,1.0,2.0,1.0
26,2.0,7.0,120.0,0.0,1,17,1.0,0.0,0.0,0.0,0,10,20,0.0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,3.0,0.0,1.0,0,7.0,2,1,0.0,0.0,0.0,0,0.0,0.0,1.0,2.0,1.0
27,2.0,7.0,123.0,0.0,2,16,1.0,0.0,0.0,0.0,0,10,20,0.0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,1.0,0,5.0,2,0,0.0,0.0,0.0,0,0.0,0.0,1.0,2.0,1.0
28,2.0,7.0,124.0,0.0,1,17,1.0,0.0,0.0,0.0,0,11,20,0.0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,1.0,0,5.0,1,1,0.0,0.0,0.0,0,0.0,0.0,1.0,2.0,1.0
29,2.0,7.0,122.0,0.0,1,3,4.0,2.0,0.0,0.0,1,6,15,0.0,1,0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1,2.0,0,0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0
30,5.0,2.0,5.0,15.0,73,440,512.0,50.0,133.0,153.0,44,1360,1408,2.0,449,157,7.0,70.0,0.0,61.0,28.0,342.0,0.0,1.0,587.0,0.0,70.0,33.0,142.0,181,1295.0,204,89,0.0,3.0,0.0,128,5.0,4.0,5.0,13.0,16.0
31,6.0,2.0,5.0,15.0,72,458,510.0,49.0,134.0,155.0,45,1368,1416,2.0,456,161,7.0,70.0,0.0,61.0,29.0,341.0,0.0,1.0,598.0,0.0,73.0,33.0,143.0,184,1303.0,205,89,0.0,3.0,0.0,131,5.0,4.0,6.0,14.0,17.0
32,6.0,2.0,5.0,15.0,75,461,524.0,52.0,150.0,154.0,48,1413,1466,2.0,461,159,6.0,70.0,0.0,61.0,29.0,346.0,0.0,12.0,601.0,0.0,74.0,33.0,143.0,184,1325.0,206,90,0.0,3.0,0.0,134,5.0,4.0,9.0,14.0,42.0
33,8.0,5.0,7.0,54.0,187,1138,1424.0,124.0,540.0,179.0,107,3826,3483,3.0,1184,318,10.0,320.0,18.0,190.0,31.0,579.0,1.0,79.0,1726.0,0.0,205.0,74.0,415.0,578,3000.0,350,166,2.0,181.0,9.0,335,45.0,110.0,325.0,778.0,987.0
34,9.0,5.0,9.0,57.0,196,1263,1548.0,144.0,628.0,191.0,115,4016,3574,3.0,1313,363,10.0,349.0,21.0,199.0,31.0,645.0,1.0,85.0,1897.0,0.0,222.0,74.0,457.0,726,3258.0,370,178,2.0,191.0,9.0,381,51.0,123.0,350.0,808.0,1085.0
35,10.0,5.0,7.0,55.0,197,1277,1564.0,151.0,642.0,197.0,114,4032,3588,3.0,1336,369,10.0,347.0,23.0,197.0,30.0,665.0,1.0,87.0,1931.0,0.0,225.0,74.0,466.0,760,3314.0,371,178,2.0,187.0,9.0,392,53.0,125.0,353.0,800.0,1077.0
36,10.0,5.0,7.0,59.0,202,1305,1585.0,153.0,650.0,198.0,116,4104,3600,3.0,1353,373,10.0,357.0,23.0,197.0,30.0,668.0,1.0,114.0,1988.0,0.0,228.0,75.0,475.0,770,3365.0,370,177,2.0,189.0,9.0,395,53.0,126.0,354.0,807.0,1109.0
37,9.0,4.0,6.0,57.0,195,1260,1526.0,148.0,617.0,196.0,112,3942,3484,3.0,1296,359,10.0,350.0,22.0,185.0,28.0,655.0,1.0,105.0,1894.0,0.0,213.0,77.0,458.0,727,3258.0,365,176,2.0,181.0,9.0,379,49.0,124.0,349.0,807.0,1017.0
38,10.0,4.0,6.0,59.0,207,1308,1599.0,153.0,645.0,199.0,114,4098,3605,3.0,1370,374,10.0,371.0,24.0,199.0,31.0,678.0,1.0,126.0,2010.0,0.0,229.0,76.0,466.0,767,3377.0,376,183,2.0,190.0,9.0,397,53.0,128.0,363.0,842.0,1101.0
