"Sample","Patient","Cohort","ReadType","Read1","Read2"
"1001200613_A1","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_A1__N531Barcode_701-502_S1_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_A1__N531Barcode_701-502_S1_R2_001.fastq.gz"
"1001200613_B1","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_B1__N531Barcode_701-513_S2_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_B1__N531Barcode_701-513_S2_R2_001.fastq.gz"
"1001200613_C1","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_C1__N531Barcode_701-503_S3_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_C1__N531Barcode_701-503_S3_R2_001.fastq.gz"
"1001200613_D1","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_D1__N531Barcode_701-515_S4_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_D1__N531Barcode_701-515_S4_R2_001.fastq.gz"
"1001200613_E1","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_E1__N531Barcode_701-505_S5_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_E1__N531Barcode_701-505_S5_R2_001.fastq.gz"
"1001200613_F1","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_F1__N531Barcode_701-516_S6_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_F1__N531Barcode_701-516_S6_R2_001.fastq.gz"
"1001200613_G1","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_G1__N531Barcode_701-506_S7_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_G1__N531Barcode_701-506_S7_R2_001.fastq.gz"
"1001200613_H1","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_H1__N531Barcode_701-517_S8_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_H1__N531Barcode_701-517_S8_R2_001.fastq.gz"
"1001200613_A2","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_A2__N531Barcode_701-507_S9_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_A2__N531Barcode_701-507_S9_R2_001.fastq.gz"
"1001200613_B2","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_B2__N531Barcode_701-518_S10_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_B2__N531Barcode_701-518_S10_R2_001.fastq.gz"
"1001200613_C2","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_C2__N531Barcode_701-508_S11_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_C2__N531Barcode_701-508_S11_R2_001.fastq.gz"
"1001200613_D2","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_D2__N531Barcode_701-520_S12_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_D2__N531Barcode_701-520_S12_R2_001.fastq.gz"
"1001200613_E2","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_E2__N531Barcode_701-510_S13_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_E2__N531Barcode_701-510_S13_R2_001.fastq.gz"
"1001200613_F2","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_F2__N531Barcode_701-521_S14_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_F2__N531Barcode_701-521_S14_R2_001.fastq.gz"
"1001200613_G2","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_G2__N531Barcode_701-511_S15_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_G2__N531Barcode_701-511_S15_R2_001.fastq.gz"
"1001200613_H2","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_H2__N531Barcode_701-522_S16_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_H2__N531Barcode_701-522_S16_R2_001.fastq.gz"
"1001200613_A3","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_A3__N531Barcode_702-502_S17_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_A3__N531Barcode_702-502_S17_R2_001.fastq.gz"
"1001200613_B3","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_B3__N531Barcode_702-513_S18_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_B3__N531Barcode_702-513_S18_R2_001.fastq.gz"
"1001200613_C3","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_C3__N531Barcode_702-503_S19_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_C3__N531Barcode_702-503_S19_R2_001.fastq.gz"
"1001200613_D3","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_D3__N531Barcode_702-515_S20_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_D3__N531Barcode_702-515_S20_R2_001.fastq.gz"
"1001200613_E3","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_E3__N531Barcode_702-505_S21_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_E3__N531Barcode_702-505_S21_R2_001.fastq.gz"
"1001200613_F3","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_F3__N531Barcode_702-516_S22_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_F3__N531Barcode_702-516_S22_R2_001.fastq.gz"
"1001200613_G3","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_G3__N531Barcode_702-506_S23_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_G3__N531Barcode_702-506_S23_R2_001.fastq.gz"
"1001200613_H3","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_H3__N531Barcode_702-517_S24_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_H3__N531Barcode_702-517_S24_R2_001.fastq.gz"
"1001200613_A4","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_A4__N531Barcode_702-507_S25_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_A4__N531Barcode_702-507_S25_R2_001.fastq.gz"
"1001200613_B4","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_B4__N531Barcode_702-518_S26_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_B4__N531Barcode_702-518_S26_R2_001.fastq.gz"
"1001200613_C4","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_C4__N531Barcode_702-508_S27_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_C4__N531Barcode_702-508_S27_R2_001.fastq.gz"
"1001200613_D4","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_D4__N531Barcode_702-520_S28_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_D4__N531Barcode_702-520_S28_R2_001.fastq.gz"
"1001200613_E4","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_E4__N531Barcode_702-510_S29_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_E4__N531Barcode_702-510_S29_R2_001.fastq.gz"
"1001200613_F4","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_F4__N531Barcode_702-521_S30_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_F4__N531Barcode_702-521_S30_R2_001.fastq.gz"
"1001200613_G4","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_G4__N531Barcode_702-511_S31_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_G4__N531Barcode_702-511_S31_R2_001.fastq.gz"
"1001200613_H4","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_H4__N531Barcode_702-522_S32_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_H4__N531Barcode_702-522_S32_R2_001.fastq.gz"
"1001200613_A5","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_A5__N531Barcode_703-502_S33_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_A5__N531Barcode_703-502_S33_R2_001.fastq.gz"
